Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,75,2,288.12,152.72,6
down,63,4,271.88,142.26,8
right,65,4,282.28,149.68,10
up,50,4,297.24,156.12,12
down,53,4,271.36,139.28,14
left,48,8,270.76,139.54,16
up,64,8,276.68,141.26,18
right,29,8,283.08,144.04,22
right,52,8,271.72,134.22,24
up,65,8,278.96,139.68,26
right,65,8,279.96,137.12,28
left,64,8,289.76,143.2,30
up,53,8,288.64,142.7,32
right,45,8,272,130.86,34
right,45,8,271.64,128.18,36
up,63,8,278.6,133.38,38
down,52,8,271.16,125.74,40
left,46,16,272.28,124.24,42
left,53,16,280.08,127.1,44
right,60,16,294.64,136.86,46
up,47,16,266.48,117.74,48
left,28,16,254.8,111.2,50
down,27,16,267.4,115.96,52
right,35,16,275.44,120.36,54
down,40,16,281.4,123.72,56
up,46,16,274.72,118.02,58
up,52,16,273.24,116.44,60
down,59,16,287.32,125.04,62
left,47,16,267.48,112.28,64
left,39,16,263.68,108.68,66
up,38,16,279.56,116.82,68
right,37,16,271.88,112.18,70
left,47,16,274.92,110.9,72
down,49,32,270.4,109.44,74
up,37,32,267.04,106.02,76
right,43,32,270,106.2,78
left,49,32,268.72,104.18,80
right,66,32,273.4,106.76,82
down,55,32,273.12,105.06,84
down,51,32,290.44,115.28,86
right,48,32,281.16,107.34,88
down,45,32,280.96,105.22,90
right,43,32,266.8,98.52,94
up,47,32,272.48,97.08,96
left,56,32,268.48,95.22,98
right,57,32,281.6,100.46,100
up,42,32,280.72,101.08,102
down,52,32,273.8,93.76,104
left,29,32,286.28,100.86,106
left,53,32,274.2,93.66,110
right,59,32,281.4,94.98,114
down,209,32,277.12,89.68,116
down,42,32,293.8,97.08,118
right,34,64,272.88,83.76,120
up,44,64,275.48,84.4,124
right,41,64,287.36,90.02,126
left,34,64,280.84,84.7,130
right,33,64,294.4,90.78,132
up,42,64,292.44,89.36,134
down,33,64,276.16,78.6,136
right,42,64,301.48,91.82,138
down,41,64,297.4,85.76,140
down,47,64,319.64,98.56,142
up,45,64,316.76,96.74,144
right,28,64,289.44,79.88,146
left,46,64,313.12,92.4,148
right,35,64,293.76,80.62,150
left,46,64,293.4,78.86,152
up,40,64,275.96,68.74,156
left,27,64,280.24,68.92,158
up,40,64,292.72,74.22,160
down,46,64,303.28,78.84,162
right,46,64,305.64,79.56,164
up,34,64,301.16,75.62,166
up,40,64,322.68,85.84,168
left,42,64,321.16,86.2,170
up,39,64,316.44,82.38,172
right,23,64,322.88,82.5,174
up,31,64,319.56,80.22,176
right,33,64,326.88,82.02,178
down,39,128,330.48,84.96,180
up,44,128,321.68,78.38,182
down,35,128,326.48,79.52,184
left,38,128,325.08,77.82,186
right,47,128,323.56,76.8,188
up,25,128,319.84,73.86,190
right,40,128,332.72,79.74,192
left,42,128,335.6,79.14,194
down,45,128,331,75.96,196
up,42,128,337.32,79.18,198
right,34,128,332.68,75,200
left,26,128,342.52,79.34,202
down,27,128,322.88,67.88,204
right,43,128,333.88,72.44,206
down,43,128,354,83.4,208
up,42,128,346.72,78.58,210
down,50,128,351.36,78.44,212
left,35,128,341.88,73.2,214
