Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
up,47,2,274.64,145.76,6
down,36,2,267.48,140.86,8
up,50,4,274,144.9,10
right,48,4,290.92,151.34,12
left,62,8,278.52,143.82,14
left,54,8,274.16,140.52,16
down,55,8,283.92,143.78,18
up,45,8,275.44,138.52,20
right,57,8,261.48,128.98,22
up,54,8,275.36,137.44,24
left,53,16,281.36,139.38,26
up,48,16,260.12,126.84,28
down,45,16,285.08,139.4,30
right,25,16,284.2,137.54,32
up,48,16,283.44,135.02,34
down,48,16,270.92,128.02,36
right,45,16,271.4,127.82,38
right,47,16,292.2,139.52,40
up,50,16,288.04,136.12,42
left,66,16,292.68,134.72,44
left,72,16,280.16,129.64,46
right,44,16,283.84,130.22,48
right,38,16,266.2,118.68,50
right,46,16,288.28,130.18,52
down,42,16,269,118.46,54
down,43,16,277.68,121.68,56
up,54,16,268.84,115.98,58
left,49,32,278.36,121.18,60
down,46,32,285.84,123.28,62
up,34,32,273.32,114.96,64
up,46,32,269.04,110.92,66
right,51,32,293.12,124.94,68
down,44,32,291.04,122.14,70
up,34,32,286.32,120.3,74
right,42,32,282.68,114.22,76
right,40,32,280.44,110.58,78
up,39,32,274.12,108.44,80
left,48,32,295.96,117.24,82
left,47,32,272.44,101.62,84
up,40,32,283.6,108.88,86
up,37,32,296.12,115.46,88
right,45,64,279.4,104.34,90
left,44,64,283.44,104.42,94
up,44,64,271.52,95.96,96
right,47,64,279.84,101.18,98
up,48,64,285.08,102.58,100
down,37,64,284.12,99.22,102
down,41,64,282.56,99.58,104
left,22,64,262.12,88.04,106
up,51,64,291.04,101.46,108
left,54,64,304.28,107.4,112
left,42,64,289.92,97.74,114
right,40,64,284.24,93.62,116
up,49,64,295.2,98.24,118
right,47,64,308.16,103.58,122
right,39,64,314.84,107.74,124
left,39,64,287.4,89.82,126
down,37,64,292.96,91.74,128
up,37,64,303.04,96.2,130
down,36,64,304.16,95.96,132
up,27,64,294.76,88.46,134
right,41,64,320.24,104.04,136
down,42,64,302.88,91.26,138
down,42,64,311.64,93.14,140
right,46,64,317.64,98.62,142
up,44,64,330.16,101.42,146
left,42,128,321.4,95.34,148
right,49,128,321.88,94.86,152
down,42,128,333.28,98.32,154
left,40,128,324,94.62,156
down,39,128,324.8,91.32,158
down,38,128,327.64,93,160
left,33,128,323.56,89.68,162
up,46,128,317.72,86.78,164
down,42,128,331.88,92.86,166
left,27,128,330.8,89.92,168
down,35,128,326.32,87.6,170
right,51,128,339.56,92.7,172
up,40,128,339,91.4,176
right,261,128,331.64,85.96,180
left,36,128,338.64,88.32,182
left,54,128,340.8,87.86,184
right,38,128,326.8,79.26,186
up,31,128,323.84,76.14,188
up,47,128,325.2,76.68,190
right,46,128,325.36,75.1,194
up,39,128,329.16,75.54,196
left,45,128,331.88,75.2,198
down,22,128,318.44,67.82,200
up,40,128,344.76,80.92,202
down,38,128,330.6,70.42,204
up,35,128,325.16,66.02,206
right,53,128,327.64,67.5,208
left,28,128,320.4,63.06,210
down,42,128,329.24,66.1,212
down,45,128,335.72,68.8,214
down,49,128,340.32,70.04,216
up,33,128,349.72,76.18,218
down,29,128,332.04,63.98,220
up,39,128,342.12,70.32,222
right,35,128,333.72,62.92,224
up,37,128,356.48,73.12,226
left,38,128,347.44,68.34,228
right,38,128,350.16,67.28,230
up,36,128,349.68,67.6,232
left,37,128,347.64,64.14,234
down,37,128,356.76,69.72,236
left,30,128,336.2,55.46,240
right,52,128,352.96,63.82,242
right,38,128,356.16,63.3,244
right,35,128,350.92,62.08,246
down,25,128,360.92,65.4,248
left,31,128,355,59.8,250
up,34,128,358.16,59.88,252
right,37,128,375.84,68.08,254
down,30,128,368.44,65.26,256
up,36,128,369.52,63.7,258
right,30,128,373.16,65.64,260
up,28,128,368.56,60.26,264
down,24,128,361.84,55.16,266
right,27,128,373.2,61.84,268
left,41,128,373.12,58.94,270
up,33,128,378.08,62.06,272
up,39,128,387.32,65.1,274
right,36,128,387.56,64.02,276
up,32,128,379.36,60.16,278
left,35,128,393.92,65.36,280
up,46,128,404.88,68.9,282
left,49,128,414.2,73.42,284
down,34,128,426.52,78.6,286
right,41,128,449.88,91.16,288
