Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,52,4,271.12,143.56,8
down,52,4,271.32,141.18,10
right,60,8,264.24,138.02,14
down,59,8,267.56,136.28,16
left,55,8,277.56,139.96,18
left,50,8,269.12,136.72,20
left,46,8,305.88,153.76,22
right,45,8,263.64,127.64,24
down,59,8,281.36,138.72,26
right,54,8,271.28,134.06,28
up,49,8,287.2,139.86,30
left,36,8,279.24,133.22,32
left,49,8,287.08,139.1,34
right,46,8,276.36,130.54,36
down,45,8,272.44,126.08,38
up,37,8,272.88,124.82,40
down,54,8,270.64,126,42
up,32,8,281.48,128.32,44
down,40,8,270.64,124.18,46
left,30,8,296.16,136.32,48
up,42,16,279.24,125.74,50
up,48,16,272.08,119.48,52
up,54,16,271.72,119.98,54
right,41,16,268.68,118.3,56
down,38,16,279.96,122.9,58
right,32,32,278.08,120.14,60
down,41,32,276.76,118.6,62
up,22,32,280.44,119.38,64
left,47,32,277.56,115.78,66
right,32,32,287.84,121.3,70
up,29,32,266.56,108.46,72
up,44,32,281.56,114.64,74
left,45,32,297.96,122.3,76
right,32,32,298.44,121.4,78
left,24,32,271.64,104.1,80
up,52,32,279.24,108.66,82
left,42,32,288.4,112.94,84
right,43,32,280.2,108.34,86
down,41,32,285.6,108.04,90
left,34,32,279.96,101.98,92
down,37,64,289.84,107.06,94
right,33,64,285.28,103.42,96
up,32,64,280.72,101.94,98
left,42,64,282.04,100.24,100
down,40,64,283.6,98.98,104
down,40,64,284.36,99.16,106
left,32,64,286.84,100.5,108
down,38,64,286.92,97.7,110
up,42,64,296.04,104.28,112
right,43,64,283.48,93.34,114
down,56,64,287.32,96,116
up,48,64,275.88,89.44,118
left,38,64,286.68,90.84,120
down,32,64,281.8,90.6,122
right,42,64,287.96,90.94,124
down,44,64,294.56,93.34,126
up,31,64,295.08,92.98,130
right,50,64,283.72,86.06,132
left,39,64,289.16,86.9,134
right,29,64,291,87.62,136
up,45,64,297.04,88.9,138
left,42,64,295.8,86.02,140
up,40,64,287.72,80.48,142
up,39,64,292.44,83.6,144
down,43,64,299.6,85.44,146
up,50,64,299.24,86.02,148
left,41,64,295.44,81,152
up,29,64,299.84,82.82,154
down,28,64,302.64,81.88,156
right,29,64,311.04,84.28,158
left,38,64,311.24,83.84,160
down,45,64,334.64,96.72,162
right,26,64,312.48,83.66,166
up,34,128,325.48,89.48,168
up,40,128,324.28,86.96,170
left,40,128,332.92,92.06,172
right,41,128,321.8,83.4,174
down,44,128,328.08,84.92,176
left,42,128,336.84,87.94,178
left,42,128,329.6,84.22,180
right,47,128,326.52,80.44,182
down,40,128,345.56,93.06,184
right,45,128,356.2,95.28,186
left,39,128,330.76,81.5,188
up,36,128,317.28,73.36,190
right,26,128,329.92,77.78,192
left,26,128,314.12,67.96,196
down,28,128,321.28,69.68,198
up,32,128,321.56,70.26,200
up,46,128,333,74.64,202
left,37,128,331.72,72.1,204
right,32,128,335.16,73.22,208
left,36,128,324.96,68.06,210
down,24,128,325.96,65.14,212
left,37,128,324.6,62.96,214
up,21,128,326.68,63.28,218
right,34,128,333.36,64.82,220
right,36,128,322.28,57.14,222
up,37,128,339.96,66.66,224
left,37,128,337.24,64.3,226
up,169,128,350.68,69.74,228
down,37,128,339.36,62.9,230
right,24,128,338.52,60.06,232
right,34,128,338.16,59.52,234
up,26,128,356.96,69.86,236
left,45,128,358.48,70.18,238
right,37,128,355.8,65.12,240
down,46,128,360.84,66.84,242
left,39,128,357.76,62.94,244
up,34,128,347.28,59.08,246
left,33,128,367.8,67.74,248
up,37,128,354.36,59.74,252
down,34,128,357.72,59.56,254
left,37,128,363.36,62.14,256
up,19,128,362.68,59.48,258
right,42,128,358.56,56.8,260
up,23,128,362.16,57.5,262
up,52,128,357.24,54.32,264
right,49,128,362.36,54.82,266
up,30,128,365.36,55.96,268
left,32,128,387.36,65.8,270
up,31,128,369.44,56,272
down,24,128,379.04,59.98,274
left,31,128,396.84,68.58,276
down,32,128,393.36,64.28,278
right,27,128,425.68,81.78,280
down,31,128,448,93.4,282
down,43,128,448.88,90.44,284
left,44,128,459.36,96.8,286
down,40,128,447.12,88.16,288
up,39,128,450.56,89.7,290
left,43,128,447.48,87.96,294
up,37,256,452.44,85.28,296
left,41,256,438.8,77.9,298
right,42,256,464.36,92.24,300
down,36,256,456.08,84.58,302
up,37,256,452.68,81.84,304
down,50,256,442.16,77.1,306
right,49,256,437.72,73.2,308
left,51,256,438.08,71.66,310
left,50,256,434.64,70.5,312
down,39,256,437.68,70.02,314
up,26,256,443.04,71.96,316
up,50,256,442.6,70.22,318
up,37,256,440.64,67.68,320
down,29,256,442.52,68.46,322
up,37,256,434.72,62.6,324
left,29,256,436.96,63.92,326
down,42,256,439.72,64.92,328
up,31,256,436.32,59.46,332
left,37,256,445.8,64.58,334
left,31,256,454.08,67.8,336
left,39,256,449.12,64.7,338
right,17,256,449.96,63.18,340
down,29,256,449.8,63.06,342
right,35,256,454.12,62.44,344
down,33,256,447.2,58.88,346
up,34,256,466.28,67.24,348
up,34,256,456.68,60.86,350
left,35,256,469.24,67.46,352
right,28,256,472.84,70,354
down,30,256,467.16,62.4,356
left,26,256,468.52,64.22,358
left,40,256,469.64,63.12,360
up,29,256,471.12,62.34,362
down,29,256,465,57.12,364
right,39,256,473.92,60.7,366
up,33,256,468.76,56.4,370
up,34,256,474.76,58.92,372
right,31,256,477.44,59.02,374
right,30,256,475.2,56.74,376
up,27,256,478.84,58.66,378
right,33,256,487.28,62.6,380
left,22,256,471.2,49.92,382
left,26,256,467.48,47.78,386
right,25,256,474.44,50.24,388
down,29,256,460.88,41.12,390
right,32,256,475.48,48.38,392
left,29,256,469.08,43.1,394
up,33,256,475.96,46.24,396
left,32,256,483.48,49.48,398
down,32,256,477.2,45.76,400
left,22,256,484.76,47.08,402
right,33,256,490.56,50.24,404
left,26,256,500.64,53.9,406
left,32,256,498.36,52.1,408
up,31,256,514.64,58.8,412
left,28,256,510.2,55.62,414
up,33,256,520.56,60.52,416
left,47,256,530.96,63.24,418
up,315,256,531.76,64.9,420
left,35,256,533.12,63.34,422
down,29,256,523.24,56.24,424
down,44,256,529.84,60.52,426
left,33,256,524.48,55.12,430
up,28,256,530.44,57.38,432
right,38,256,530.8,55.92,434
up,30,256,517.12,45.54,436
left,38,256,535.56,55.32,438
right,30,256,521.16,46.46,440
down,28,256,527.72,48.06,442
right,30,256,535.72,54.16,444
up,30,256,538.04,53.28,446
left,27,256,544.6,57.68,448
right,24,256,532.08,48.3,452
left,22,256,535.08,47.02,454
down,25,256,541.48,49.8,456
up,35,256,543.52,49.48,458
up,28,256,553.76,53.72,460
right,43,256,561.48,56.2,464
down,40,256,567.84,59.46,466
up,20,256,558.08,51.44,468
left,23,256,558.32,49.7,470
right,26,256,562.24,52.86,472
down,18,256,552.88,47.02,474
down,30,256,563.88,51.06,476
left,23,256,556.96,46.24,478
right,25,256,554.68,44.32,480
up,29,256,562.28,46.02,482
left,29,256,564.28,46.16,484
up,23,256,563.8,45.12,486
up,31,256,562,43.44,488
down,31,256,564.72,43.62,490
down,31,256,566.4,43.52,492
down,25,256,566.04,42.96,494
up,33,256,563.92,40.96,498
down,43,256,558.12,35.52,500
left,20,256,556.84,31.96,502
up,29,256,571.08,39.82,504
left,34,256,571.92,37.26,506
right,27,256,568.08,34.62,508
up,23,256,579.24,39.74,510
down,27,256,575.56,37.64,512
up,25,256,564.24,29.9,514
left,20,256,573.56,34.54,516
up,21,256,571.28,31.66,518
right,25,256,571.72,31.4,520
up,25,256,576.04,32.54,522
down,23,256,577.96,32.7,524
left,22,256,581.92,33.5,526
right,18,256,595.68,41,528
up,28,256,597.52,40.96,530
right,23,256,599.32,39.64,532
left,23,256,611.92,46.1,534
up,20,256,618,47.48,536
right,24,256,616.92,46.64,538
left,25,256,630,53.22,540
down,24,256,646.36,61.5,542
right,26,256,647.64,58.58,544
down,32,256,661.4,63.94,546
right,31,256,670.32,70.5,550
down,29,256,692.12,79.26,552
up,30,256,677.56,71.46,554
left,47,256,684.44,71.62,556
down,41,256,698.52,77.52,558
down,41,512,701.24,79.6,560
up,22,512,699.96,78.28,562
down,51,512,706.08,80.38,564
up,39,512,696.12,72.74,566
right,38,512,704.32,78.78,570
right,33,512,701.48,73.78,572
left,35,512,700.08,73.62,574
right,34,512,704.04,70.86,576
right,38,512,706.08,73.6,578
down,25,512,699.44,66.84,580
up,19,512,698.96,68.74,582
right,35,512,709.72,71.74,584
left,42,512,703.76,67.34,586
up,42,512,709.8,71.16,588
down,44,512,706.24,67.18,590
down,37,512,708.64,65.62,592
right,23,512,718.2,69.68,594
left,38,512,713.92,68.56,596
up,48,512,707.04,63.18,598
right,202,512,711.08,62.84,600
up,43,512,724.8,70.78,602
left,27,512,731.16,70.4,604
left,45,512,733.04,71.54,606
right,35,512,732.16,71.1,608
up,31,512,716.96,61.08,610
right,36,512,723.44,63.6,612
left,46,512,724.76,61,614
down,37,512,721.72,60.72,616
left,46,512,729.92,65.36,618
down,46,512,723.6,59.04,620
left,34,512,731.68,63.48,622
right,36,512,722,57.76,624
down,30,512,719.2,54.02,626
left,29,512,719.92,53.38,628
left,33,512,722.4,53,630
right,24,512,723.8,52.8,632
down,31,512,730.2,55.96,634
right,39,512,736,58.46,636
up,41,512,732,55.18,638
up,44,512,740.88,59.08,640
right,31,512,744.88,61.16,642
left,34,512,738.56,53.44,646
down,21,512,747.84,56.98,648
down,27,512,752.28,57.96,650
right,31,512,748.44,55.5,652
left,35,512,752,56.72,654
up,34,512,760.96,59.38,656
left,35,512,767.64,62.2,658
down,33,512,767.92,62.18,660
up,27,512,772.96,62.58,662
down,36,512,784.44,68.4,664
down,35,512,783.36,64.8,666
right,36,512,780.4,62.64,668
left,31,512,778.52,60.78,670
left,43,512,778.36,58.92,672
down,56,512,768.48,54.04,674
left,30,512,782.28,60.42,676
right,22,512,777.52,56.3,680
down,23,512,783.12,57.44,682
up,29,512,783.8,57.06,684
left,27,512,779,54.3,686
up,23,512,789,58.22,688
left,28,512,781.36,52.86,690
left,33,512,788.68,57.34,692
right,19,512,778.64,49.14,694
right,31,512,779.8,47.6,696
up,24,512,776.36,46.6,698
down,25,512,773,42.04,700
left,30,512,783.16,47,702
down,30,512,786,47.68,704
up,21,512,790.84,48.58,706
up,33,512,781.48,42.88,708
left,33,512,788.48,45.5,710
right,37,512,796.84,49,712
up,34,512,801.88,49.22,714
up,27,512,796.96,47.82,716
up,24,512,796.76,47.64,718
down,26,512,793.68,42.86,720
right,32,512,795.96,45.2,722
left,23,512,799.56,44.72,724
down,25,512,796.68,40.72,726
down,24,512,804.92,44.36,728
right,28,512,805.56,44.9,730
right,28,512,807.76,44.12,732
down,31,512,808.6,43.5,734
right,37,512,809.72,42.86,736
up,33,512,807.56,41.52,738
left,30,512,808.88,40.54,740
up,37,512,813.28,41.58,742
down,38,512,811.72,40.38,744
down,22,512,816.4,40.94,746
left,18,512,812.52,38.6,748
down,25,512,826.12,43.18,752
left,24,512,826.44,41.36,754
up,30,512,829.76,43.8,756
left,23,512,827.08,40.48,758
down,16,512,832.24,42.54,760
up,30,512,829.44,38.32,764
left,22,512,827.4,37.36,766
up,27,512,825.76,34.24,768
right,26,512,835.68,39.18,770
up,28,512,833.88,38.06,772
left,24,512,835.48,38.54,774
