Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,34,4,280.16,146.78,6
down,44,4,283.04,148.98,8
right,41,4,271.2,142,10
left,35,4,275.6,144.6,12
up,46,4,285.28,148.38,14
up,48,8,275.28,143.3,16
up,45,8,281.24,142.98,18
left,44,8,270.56,135.9,22
right,46,8,278.92,139.64,24
left,44,16,276.08,136.82,26
down,44,16,272.2,132.06,28
down,46,16,278.8,137.38,30
right,47,16,276.96,134.22,32
right,46,16,268.8,129.26,34
left,40,16,272.48,127.42,36
up,37,16,276.08,130.96,38
down,43,16,276.56,128.64,40
right,32,16,264.56,123.52,42
right,43,16,286.56,133.12,44
down,44,16,291.36,135.2,46
up,43,16,270.28,120.7,48
right,49,16,287.68,132.3,50
up,36,16,276.92,122.86,52
right,43,16,268.6,116.84,54
left,41,16,271.36,118.9,56
up,34,16,281.24,120.82,58
down,32,16,278.68,120.06,60
left,33,16,289.64,125.64,64
right,35,16,298.64,127.32,66
left,30,16,283.84,119.18,68
left,38,16,272.76,111.72,70
left,58,16,286.4,118.22,74
up,40,32,275.8,109.08,76
left,38,32,277.12,110.46,78
down,28,32,270.04,106.22,80
right,36,32,285.12,113.62,82
left,30,32,272.68,105.72,86
right,25,32,255.24,94.12,88
down,27,32,261.52,95.7,92
left,24,32,274.64,101.88,94
left,30,32,266.28,95.5,96
right,25,32,276.76,99.6,98
down,28,32,274.6,98.62,100
up,28,32,266.44,91.36,102
right,29,32,282.92,101.38,104
up,34,32,288.64,102.92,106
up,32,32,282.6,98,108
up,33,32,276.6,94.9,112
left,22,32,274.32,92.6,114
down,31,32,278.32,91.06,116
left,27,64,287.96,94.62,118
left,32,64,281.84,91.3,120
right,31,64,282.16,87.58,124
up,22,64,264.64,76.74,126
right,30,64,293.16,90.34,128
up,21,64,285.76,86.16,130
down,30,64,288.8,89.88,132
left,21,64,276.16,80.56,136
down,27,64,297.56,91.96,138
up,31,64,285.88,81.68,140
