Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,57,4,283.52,148.48,8
down,55,4,269.8,141.2,10
right,66,4,296.2,154.02,14
up,61,8,282.84,144.4,16
down,67,8,282.08,143.78,18
left,66,8,270.12,136.82,20
down,65,8,284.48,144,22
up,58,8,289.12,144.64,26
down,43,8,280.76,139.18,28
up,56,8,275.6,134.06,30
left,64,8,274.64,132.52,32
right,52,8,273.52,130.72,34
right,54,8,268.88,130.12,36
left,26,8,265.6,127.26,38
down,53,16,269.28,126.92,40
down,45,16,274,126.38,42
right,49,16,291.6,134.76,44
down,47,16,279.4,128.44,46
left,42,16,270.08,122.18,48
down,45,16,271.72,123.46,50
down,45,16,269.64,119.42,52
down,50,16,257.92,111.48,54
left,54,32,285.96,127.14,58
left,67,32,272.44,116.8,60
right,43,32,291.84,125.78,62
left,36,32,265.08,111.32,64
right,47,32,272.88,114.54,66
down,53,32,275,114.68,68
up,45,32,272.76,111.22,70
right,50,32,292,122.08,72
right,51,32,283.88,115.54,74
up,43,32,301.84,122.98,76
down,34,32,265.72,103.1,80
right,40,64,285.84,112.18,82
right,44,64,285.72,111.8,84
up,45,64,295.72,117.68,86
right,34,64,286.64,110.8,88
left,34,64,291.92,111.96,92
down,44,64,296.36,115.4,96
down,41,64,285.16,106.96,98
right,43,64,286.36,104.1,100
left,44,64,277.56,96.78,102
down,48,64,293.48,104.7,106
right,40,64,288.36,100.82,108
left,59,64,282.92,96.4,110
left,38,64,291.2,100.14,112
right,51,64,293.4,100.78,114
left,31,64,288.36,96.38,116
down,31,64,285.6,93.24,118
right,26,64,272.6,85.1,120
down,42,64,270.4,83.16,124
left,33,64,254.84,73.32,126
up,28,64,281.52,85.46,128
left,32,64,278,81.1,130
up,44,64,293.16,88.86,134
right,34,64,294.12,90.76,136
left,29,64,286,85.02,138
up,32,64,298.52,89.72,140
right,45,64,281.2,79.66,142
up,54,64,295.28,84.12,144
left,24,64,279.72,75.76,146
down,29,64,286.4,77.94,148
left,22,64,276.68,71.2,150
up,28,64,299.64,84.46,152
down,33,64,283.04,74.76,154
down,29,64,286,75.04,156
right,37,64,292.64,75.1,158
up,31,64,311.08,83.28,160
down,41,64,325.08,91.98,162
right,40,64,325.68,89.56,164
up,30,128,321.84,87.82,166
left,37,128,322.24,86.58,168
right,29,128,317.96,82.6,170
down,27,128,324.24,85.26,172
left,34,128,331.28,88.62,176
up,34,128,331.2,85.4,178
right,40,128,314.16,76.04,180
up,44,128,323.36,79.38,184
up,33,128,326.4,78.84,186
down,28,128,333.04,80.1,188
left,36,128,327.92,78.46,192
up,29,128,328.36,76.14,194
down,29,128,315.4,67.44,196
right,23,128,327.04,72.82,198
right,32,128,330.32,74.9,200
up,30,128,328.08,72,202
down,44,128,331.92,72.76,204
right,24,128,331.84,72.1,206
left,31,128,330.56,68.18,208
right,27,128,345.96,75.62,210
right,30,128,333.52,69.62,212
right,30,128,335.32,68.42,216
down,37,128,336.24,68.66,218
up,22,128,330.36,62.68,220
left,26,128,350.76,71.6,222
down,30,128,338,64.74,224
up,105,128,359.32,77.02,226
down,28,128,327.52,56.06,228
down,43,128,349.68,67.3,230
right,31,128,342.56,62.68,232
right,43,128,356.84,68.8,234
right,33,128,353.52,65.68,236
up,29,128,346.72,64.5,238
down,27,128,352.52,64.36,240
up,22,128,359.32,68.88,242
up,32,128,356.44,66,244
left,25,128,349.52,59.08,246
up,28,128,351.8,58.86,248
right,35,128,352.72,57.78,250
left,28,128,357.72,59.08,252
up,32,128,353.24,56,254
up,32,128,363.92,62.5,256
right,26,128,368.04,62.18,258
down,29,128,371.68,64.7,260
right,35,128,353.04,51.66,262
left,28,128,360.08,55.76,264
right,23,128,355.76,51.42,268
up,33,128,361.32,52.86,270
left,29,128,373.92,57.42,272
down,27,128,365.88,54.96,274
right,23,128,374.32,55.98,276
down,25,128,379.16,57.82,278
up,18,128,370.28,54.46,280
down,31,128,390,62.42,282
up,28,128,390.04,62.94,284
down,32,128,385.44,57.54,286
right,29,128,384.88,55.9,288
down,26,128,386.2,56.5,290
up,36,128,391.92,58.56,292
right,32,128,384.92,51.72,294
up,30,128,428.48,75.62,296
down,35,128,420.28,67.94,298
right,34,128,432.6,74.8,300
right,33,128,430.72,73.62,302
up,39,128,442.96,78.62,304
left,31,256,439.88,75.06,306
down,28,256,453.12,82.24,308
right,34,256,451.68,79.56,310
up,18,256,439.48,72.36,312
down,30,256,447.56,74.88,316
left,26,256,446.24,72.1,318
right,39,256,446.8,72.26,320
up,30,256,447.8,70.98,324
left,28,256,449.4,71.58,326
down,26,256,445.24,69.34,330
down,26,256,444.92,65.28,332
right,35,256,453.76,68.62,334
left,25,256,445.88,63.1,336
left,33,256,452.76,67.56,338
down,27,256,449.84,63.48,342
down,40,256,453.48,63.04,344
left,32,256,448.4,59.26,346
down,32,256,470.64,71.24,348
up,30,256,460.28,63.2,350
right,30,256,467.52,67.42,352
left,34,256,456.12,59.6,354
right,25,256,455.96,56.12,356
up,24,256,460.96,59.08,358
down,25,256,465,61.1,360
left,37,256,485.12,68.74,362
down,31,256,466.6,58.24,364
up,38,256,467.88,58.32,366
right,25,256,466.36,58.14,368
right,41,256,463.56,55.52,372
down,27,256,472.84,56.82,374
down,28,256,457.12,46.92,376
left,29,256,458.92,48.02,378
down,22,256,471.08,52.4,380
up,30,256,474.4,54.3,382
left,26,256,470.6,49.98,384
up,193,256,474.2,51.34,386
down,35,256,484.32,57.38,388
up,28,256,481.32,52.58,390
left,41,256,471.64,45.62,392
down,24,256,490.8,55.18,394
left,30,256,489.08,54.14,396
left,20,256,500.08,58.58,398
up,35,256,489.76,52.8,400
down,28,256,507.48,58.68,402
left,22,256,492.76,50.1,404
left,30,256,504.64,54.9,406
up,32,256,501.16,51.88,410
up,33,256,512.92,56.54,412
right,30,256,521.76,61.98,414
right,34,256,525.08,63.78,416
down,29,256,520.32,58.14,418
up,13,256,526.56,61.44,420
up,32,256,525.6,58.9,424
down,38,256,526.36,58.34,426
right,22,256,525.76,54.9,428
up,30,256,533.36,58.72,430
right,31,256,529.76,56.72,432
down,33,256,527.4,53.8,434
right,36,256,542.08,60.36,438
down,23,256,538.04,55.64,440
up,27,256,532.52,51.52,442
up,28,256,530.16,49.06,444
up,28,256,536.44,52.24,446
down,29,256,533.36,49.82,450
up,18,256,530.44,46.38,454
up,29,256,530.24,43.96,456
down,25,256,534.04,44.06,458
right,25,256,536.88,44.56,460
down,36,256,543.64,46.96,462
right,26,256,568.96,60.14,464
right,32,256,554.24,50.7,466
down,27,256,564.52,55.94,468
left,29,256,569.56,56.86,470
right,25,256,561.24,50.54,472
up,35,256,559.24,48.42,474
down,22,256,571.84,55.26,476
up,23,256,567.2,51,478
down,25,256,564,49.4,480
down,25,256,558.88,45,482
up,19,256,562.32,45.14,484
up,28,256,565.2,45.04,486
right,24,256,562.52,42.94,488
down,24,256,569.88,46.84,490
right,18,256,567.96,42.12,492
left,28,256,566.84,42,494
down,27,256,577.8,48.46,496
left,25,256,577.04,46.1,498
down,28,256,577,44.84,500
up,18,256,571.32,42,502
up,31,256,577.16,42.38,504
left,19,256,576.72,42.08,506
left,20,256,572.6,38.02,508
right,16,256,584.12,44.34,512
left,13,256,577.44,39.8,514
right,23,256,586.68,42.08,516
up,20,256,594.48,44.66,520
left,21,256,589.48,40.38,524
right,20,256,597.88,41.54,526
right,24,256,599.04,41.84,528
up,24,256,599.48,40.66,532
down,21,256,610.32,44.76,534
down,25,256,602.64,40.44,536
left,25,256,612.24,43.42,538
up,26,256,607.32,40.52,540
left,23,256,632.24,50.7,542
down,28,256,635.68,52.56,546
up,29,256,622.68,43.32,550
right,22,256,610.4,35.98,552
down,25,256,636.6,46.98,554
left,23,256,658.76,58.28,556
left,27,256,645.56,50.92,558
up,33,256,667.68,61.98,560
right,34,256,679.44,65.72,562
down,39,256,688.88,70.24,564
left,30,256,684.64,69.08,566
down,40,256,699.76,74.54,568
down,33,256,687.2,67.86,570
right,29,256,690,67.86,572
up,30,256,687.12,65.02,574
right,24,256,687.04,61.96,578
up,30,256,686.28,60.56,580
right,35,256,700.04,67.16,582
up,33,256,700.6,66.84,584
right,31,256,706.08,69.52,586
right,32,256,720.72,74.8,588
up,36,512,709.96,66.76,590
left,32,512,721.92,73.78,592
right,33,512,717.32,69.98,594
down,35,512,715.64,70.58,596
up,31,512,720.8,70.32,598
down,23,512,717.8,67.62,600
down,28,512,730.84,74.48,602
up,17,512,721.4,67.78,604
up,43,512,730.44,70.76,606
left,35,512,725.08,66.7,608
right,32,512,727.6,67.26,610
up,23,512,715.96,58.74,612
left,38,512,720.28,59.3,614
left,28,512,725.12,62.18,616
up,30,512,731.12,65,618
down,31,512,722.32,59.18,620
right,30,512,725.36,60.46,622
down,33,512,736.2,65.6,624
up,18,512,720.6,53.86,626
left,30,512,722.68,54.18,628
down,29,512,718.48,49.88,630
right,30,512,724.04,54.06,632
up,28,512,734.08,57.46,634
right,27,512,728.92,52.86,638
up,28,512,732.88,53.56,642
up,27,512,732.8,52.2,644
down,26,512,740.2,55.2,646
up,37,512,730.96,48.48,648
left,32,512,735.12,51.1,650
up,21,512,740.44,52.66,652
right,20,512,729.56,43.02,654
down,28,512,743.4,49.9,656
right,31,512,753.76,55.94,658
up,32,512,756.92,55.28,660
right,29,512,768.36,61.08,662
up,31,512,777.8,65.36,664
right,36,512,780.92,64.04,666
left,36,512,787.44,68.2,668
left,35,512,779.36,62.14,670
down,29,512,776.36,59.76,672
up,18,512,782,61.22,674
right,37,512,780.96,60.78,676
up,38,512,784.32,59.68,678
up,29,512,778.68,57.6,680
down,34,512,783.44,58.22,682
left,36,512,776.6,54.54,684
up,30,512,794.8,63.06,686
left,47,512,776.56,50.96,688
right,27,512,786.44,55.82,690
left,28,512,786.24,55.06,692
right,27,512,782.12,49.54,696
up,31,512,798.92,58.44,698
left,24,512,787.72,50.92,700
right,28,512,786.32,48.12,702
up,31,512,789.64,49.78,704
up,25,512,791.08,51.18,706
right,30,512,786,44.62,708
left,29,512,793.76,48.26,710
left,26,512,796.48,47.74,712
right,34,512,796.92,47.28,714
up,26,512,797.8,48.34,716
right,23,512,796.32,44.34,718
up,39,512,819.88,57.6,722
down,34,512,809.6,50.32,724
right,18,512,813.68,51,728
up,30,512,817.28,50.24,730
down,25,512,819.88,52.56,732
left,32,512,822.36,50.22,734
left,35,512,819.4,47.26,736
down,26,512,813.92,43.86,738
down,26,512,815.12,42.88,740
right,31,512,815.64,44.24,742
down,27,512,812.28,40.38,746
right,21,512,816.6,40.84,748
down,26,512,810.04,37.86,752
left,17,512,821.36,39.96,754
left,27,512,814.92,35.42,756
left,25,512,823.2,39.24,758
down,23,512,812.88,32.2,760
right,21,512,812.84,29.58,762
right,21,512,811.76,28.74,764
up,167,512,813.56,29.1,766
down,22,512,815.2,29.34,768
down,18,512,815.68,28.68,772
up,27,512,821.88,30.28,774
down,27,512,815.28,24.6,776
up,23,512,822,25.88,778
left,24,512,826.24,27.4,780
right,34,512,834.36,31.18,782
up,18,512,835.24,29.5,784
up,21,512,853.84,39.62,786
left,21,512,845.8,34.58,788
right,44,512,852.48,37,792
up,18,512,848.44,33.72,796
left,14,512,852.4,33.94,798
down,20,512,853.48,32.44,800
right,21,512,866.96,38.56,804
up,25,512,894.12,51.38,806
right,23,512,899.64,52.54,808
right,29,512,909.76,57.18,810
down,30,512,914.44,60.14,812
right,29,512,908.48,56.06,816
left,25,512,907.92,52.5,818
down,32,512,908.96,51.44,820
right,27,512,906,50.68,822
right,32,512,914,52.76,824
left,24,512,912.04,51.76,826
right,26,512,904.64,44.7,828
left,38,512,902.24,43.94,830
right,23,512,911.8,46.72,832
up,26,512,903.8,43.18,834
up,27,512,906.36,41,836
left,25,512,918.04,45.64,838
down,44,512,911.68,42.74,840
up,25,512,912.84,41.52,842
right,36,512,913.28,41.46,844
down,25,512,917.52,43.24,846
right,23,512,916.64,41.56,848
left,20,512,921.24,41.98,850
right,28,512,917.32,39.36,852
down,22,512,923.52,40.98,854
left,20,512,930.52,43.32,856
down,20,512,930.84,42.88,858
left,26,512,937.72,45.54,860
down,21,512,935.28,44.08,862
left,27,512,946.92,49.14,866
right,19,512,948.6,47.98,868
down,26,512,935.6,38.96,870
right,22,512,938.72,39.3,872
right,22,512,936,35.82,874
down,23,512,947.04,41.04,878
right,18,512,941.88,37.24,880
up,24,512,942.68,36.82,882
up,19,512,944.88,35.74,884
right,27,512,944.32,35.28,886
left,18,512,946.24,35.36,888
down,25,512,947.28,34.8,890
right,26,512,946.08,33.36,892
up,21,512,945,30.66,894
left,17,512,949.08,31.04,896
up,19,512,954.84,34.12,898
right,29,512,957.24,33.46,900
up,24,512,960.4,35.76,902
left,33,512,955.04,31.4,904
right,32,512,956.32,30.24,906
up,22,512,960.44,32.08,908
down,62,512,963,32.2,910
left,20,512,966.16,31.68,912
down,36,512,973.32,34.72,914
left,30,512,981.36,38.2,916
down,41,512,994.6,45.6,918
down,26,512,994.2,43.88,920
down,32,512,992.88,40.5,922
left,29,512,1000.76,46.46,926
right,27,512,994.32,38.92,928
down,26,512,998.52,40.06,930
right,26,512,1004,42.32,932
right,29,512,1003.04,41.2,934
left,24,512,1003.84,40.46,936
up,21,512,1001.04,37.46,940
up,92,512,1005.56,38.18,942
right,30,512,1006.64,38.94,944
right,38,512,1008.44,37.42,946
up,35,512,1007.76,35.5,948
right,40,512,1007.8,34.1,950
up,24,512,1006.64,33.88,952
left,21,512,1010.44,33.1,954
left,28,512,1010.56,31.94,956
down,22,512,1015.32,33.72,960
left,29,512,1021.88,36.42,962
left,27,512,1019.2,33.3,964
down,33,512,1015.8,29.32,966
down,28,512,1022.72,31.54,968
right,28,512,1022.2,31.14,970
up,25,512,1023.2,30.4,972
left,27,512,1026.48,31.94,974
down,35,512,1029.68,33.48,976
down,24,512,1029.16,31.12,978
left,33,512,1030.04,30.92,980
up,19,512,1028.44,28.48,982
down,23,512,1030.72,27.98,984
down,25,512,1030.52,27.62,986
down,31,512,1037.6,30.7,988
down,25,512,1048.68,34.74,990
left,30,512,1042.04,30.7,992
up,22,512,1043.08,28.58,994
right,25,512,1043.96,28.3,996
down,26,512,1042.96,27.04,998
right,21,512,1048.8,30.32,1000
right,25,512,1048.88,28.24,1004
