Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,53,4,264.32,138.68,8
down,49,4,277.8,144.06,10
right,60,4,268.2,138.18,12
left,49,8,281.84,146.14,14
left,56,8,285,148.34,16
up,37,8,281.2,143.9,18
right,49,8,278.36,140.96,20
up,47,8,284.4,143.3,22
left,44,8,288.8,144,24
up,63,8,275.52,137.8,26
left,53,8,275.28,134.5,28
left,57,8,282.04,140.02,30
left,79,8,277.16,134.96,32
left,87,8,300,144.8,34
right,49,8,279.16,130.82,38
right,69,8,269.72,125.92,40
right,65,8,279.64,128.94,42
left,45,8,276,124.92,44
right,44,8,280.44,129.66,46
right,51,8,280.8,130.7,48
up,46,16,297.56,137.78,50
left,62,16,270.56,120.46,52
left,42,16,259.32,111.9,54
left,61,16,286.08,126.66,56
up,49,16,271,117.6,58
down,47,16,260.08,108.98,60
up,48,16,264.48,112.9,62
up,56,16,266.84,110.5,64
left,42,16,272.6,114.44,66
right,44,16,285.32,122.34,68
right,196,16,271.36,110.06,70
left,32,16,285.24,116.24,74
down,38,32,281.52,112.46,76
up,48,32,269,106.26,78
down,37,32,285.4,113.02,80
right,35,32,266.52,103.32,82
left,36,32,268.08,102.82,84
right,30,32,277.08,107.38,86
right,43,32,276.16,105.96,88
down,56,32,260.76,95.18,90
down,44,32,277.32,102.66,92
right,39,32,261.24,94.68,94
left,34,32,263.96,93.12,96
down,44,32,265.64,94.42,98
up,45,32,282.24,101.08,100
down,29,32,280.16,96.16,102
right,35,32,282.04,99.46,104
up,37,32,285.68,100.32,106
left,33,32,279.08,92.92,108
up,39,32,291.64,102.38,110
down,33,32,295.24,103,112
right,31,64,288.76,97.64,114
down,39,64,283.56,91.68,116
left,36,64,307.4,104.24,118
up,36,64,280.16,90.2,120
down,38,64,292.36,94.42,122
right,58,64,293.28,94.94,124
up,71,64,295.8,94.34,126
up,62,64,298.6,96.34,128
right,37,64,288.12,89.42,130
left,31,64,280.32,82.12,132
up,36,64,291.76,87.82,134
down,36,64,276.88,78.34,136
up,46,64,293.92,88.28,138
left,36,64,274.12,74.6,140
down,34,64,291.44,85.78,142
left,40,64,288.84,81.58,144
right,43,64,309.36,93.24,146
up,31,64,287.64,77.5,148
up,40,64,298.24,82.04,150
down,41,64,276.08,70.74,152
left,21,64,282.92,74.36,154
down,31,64,280.96,70.88,156
down,34,64,281.84,71.84,158
right,34,64,286.16,72.04,160
right,33,64,284.92,71.5,162
down,42,64,289.2,71.72,164
up,20,64,285.44,67.72,166
left,28,64,287.16,69.96,168
down,25,64,301.44,75.12,170
right,36,64,302.8,74.2,172
down,34,64,293.96,68.52,174
up,38,64,307.84,73.4,176
right,49,64,291.8,66.76,178
up,48,64,316.76,77.58,180
up,36,64,310.88,74.28,184
left,39,64,306.12,69,186
right,38,64,333.24,82.42,188
up,31,64,324.4,76.62,190
left,32,64,339.28,84.06,192
down,41,128,329,76.46,194
up,39,128,317.16,68.44,196
left,43,128,334.92,77.62,198
up,41,128,341.16,82.44,200
down,40,128,336.56,75.44,202
left,26,128,325.8,68.16,204
up,56,128,334.76,73,206
left,34,128,329.92,69.8,208
up,47,128,344.44,76.42,210
down,32,128,341.56,71.82,212
down,45,128,345.08,73.78,214
left,33,128,352.12,74.98,218
left,38,128,352.44,74.9,220
down,38,128,365.52,81.18,222
up,35,128,351.2,73.36,226
up,48,128,357.84,73.82,228
left,35,128,351.6,69.72,230
up,35,128,349.52,66.46,232
up,40,128,346.4,64.86,234
down,19,128,342.88,61.24,236
right,35,128,357.2,66.5,238
up,25,128,364.56,72,240
up,48,128,361,68.76,242
left,37,128,371.84,71.92,244
up,34,128,357.12,63.08,246
down,29,128,358.48,63.96,248
left,39,128,357.36,63.28,250
down,29,128,361.8,63.82,252
right,30,128,355.64,58.82,254
down,30,128,351.68,55.82,256
