Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,34,4,256.84,135.62,8
left,46,4,293.08,154.08,10
down,44,8,277.92,146.68,14
down,42,8,269.24,138.84,16
left,49,8,270,136.56,18
right,48,8,265.68,132.2,20
up,41,8,270.08,134.36,22
up,39,8,277.04,137.42,26
right,41,8,270.68,131.98,28
up,42,8,274.44,132.06,30
left,31,8,266.64,127,32
right,31,8,286.88,137.7,34
right,48,8,283.36,134.34,36
down,44,8,271.52,126.52,38
left,41,8,286.92,135.64,40
up,41,8,281.72,128.44,42
up,40,8,280.6,129.8,44
right,39,16,274.52,122.9,46
right,48,16,283.04,130.18,48
left,35,16,273.76,122.44,50
up,34,16,277.6,124.66,52
right,44,16,281.48,124.9,54
down,33,16,267.88,115.84,56
up,45,16,284.4,124.46,58
left,37,32,286.56,122.98,60
down,35,32,275,117.6,62
left,37,32,291.48,125.68,64
left,34,32,263.56,110,66
up,34,32,268.72,110.54,68
left,29,32,262.92,106.88,70
up,40,32,272.52,109.64,72
up,35,32,275.64,111.4,74
up,35,32,273.84,109.42,76
left,29,32,268.24,104.2,80
down,37,32,277.52,109,82
down,39,32,267,102.02,84
left,28,32,269.48,101.28,86
down,37,32,279.04,107.5,88
left,32,32,276.72,103.48,90
up,33,32,285.32,107.24,92
left,28,32,274.4,99.58,94
up,32,32,286.52,106.74,96
right,31,64,284.28,103.16,98
down,32,64,294.04,107.14,102
left,34,64,291.28,104.54,104
up,30,64,291.48,103.24,108
right,25,64,286.24,95.9,110
up,32,64,279.52,93.34,112
up,31,64,284.72,95.22,116
down,31,64,288.84,96.5,118
up,23,64,283.12,92.52,120
right,21,64,294.68,95.8,122
right,29,64,286.52,92.18,126
left,33,64,301.56,98.06,128
left,28,64,288.56,89.78,130
down,31,64,301.44,94.64,132
down,23,64,284.44,86.58,134
left,23,64,281.08,81.06,136
right,18,64,288.36,87.12,138
down,41,64,289.76,83.7,140
left,29,64,300.36,89.14,142
right,31,64,300.88,87.64,144
right,30,64,297.68,84.6,146
right,32,64,289.24,80.72,148
up,28,64,299.48,82.76,150
right,27,64,297.88,83.06,152
up,22,64,278.48,70.94,154
down,25,64,273.08,67.32,156
left,24,64,275.88,66.28,158
up,22,64,300.36,78.24,160
right,22,64,314.4,85.28,162
down,23,64,321.12,87.1,164
right,32,64,325.12,87.04,166
down,30,128,327.44,89.22,168
up,26,128,326.08,86.96,170
up,31,128,317.28,81.58,172
up,28,128,328.72,84.62,174
right,35,128,334.12,87.8,176
down,23,128,325.16,81.98,178
up,23,128,320.92,79.14,180
right,20,128,316.88,75.56,182
up,26,128,319.36,75.92,184
down,25,128,324.64,78.12,186
right,21,128,319.92,73.7,188
left,26,128,328.84,77.96,190
up,16,128,312.8,68.48,194
left,27,128,325.2,74.1,196
up,22,128,334.28,76.76,198
right,31,128,340.68,78.56,200
up,25,128,332.72,73.92,202
down,27,128,348.52,81.78,204
left,26,128,354.2,81.58,206
right,27,128,361.56,86.94,208
up,21,128,336.8,72.2,210
right,26,128,358.16,82.08,214
up,28,128,357.6,81.12,216
left,24,128,364.16,82.48,218
up,21,128,348.68,71.86,220
up,24,128,347.84,71.4,222
left,29,128,359.72,76.32,224
right,21,128,351.68,70.74,226
up,28,128,352.32,70.32,228
up,24,128,341.36,62.8,230
right,20,128,359.88,72.42,232
up,26,128,363.96,73.66,234
up,23,128,348.52,63.54,236
left,24,128,364,72.14,240
up,17,128,351.48,62.12,242
right,18,128,362.92,67.54,244
left,22,128,366,67.12,246
up,19,128,369.52,69.46,248
up,21,128,357.32,59.12,250
right,24,128,362.64,63.44,254
left,22,128,368.76,64.24,256
left,23,128,357.84,56.92,258
left,26,128,360.52,56.8,260
left,22,128,378.2,65.2,262
up,22,128,363.48,59.42,264
left,16,128,359.88,51.98,266
down,19,128,368.92,57.58,268
right,21,128,375.56,59.54,270
down,25,128,390.44,66.26,272
left,22,128,379.24,59.16,274
right,24,128,398.76,70.98,276
up,17,128,387.44,61.44,278
left,17,128,383.32,58.86,280
up,27,128,406.2,72.04,282
down,17,128,395.28,63.04,284
right,15,128,376.8,53.86,288
up,14,128,408.92,67.2,290
down,17,128,402.56,64.72,292
left,17,128,411.12,68.12,294
down,25,128,426.04,72.96,296
right,24,128,421.52,68.42,298
up,23,128,437,77.42,300
left,20,128,437.64,76.96,302
right,29,128,448.36,81.48,304
up,20,128,449.6,81.4,306
left,21,256,450.56,79.16,308
up,24,256,443.72,75.56,310
down,26,256,443.96,75.92,312
up,20,256,447.92,76.56,314
right,28,256,454.44,81.42,316
down,30,256,446.2,71.46,318
left,20,256,443.24,70.8,322
right,12,256,434.96,63.58,324
up,18,256,447.88,68.94,326
left,23,256,463.24,76.9,328
right,22,256,450.64,66.94,330
up,23,256,461.64,73.5,332
right,25,256,460.08,71.02,336
down,14,256,450.12,63.34,338
up,21,256,453.4,65.7,340
down,20,256,450.44,62.96,342
up,27,256,447.88,59.5,344
up,24,256,443.88,55.04,346
down,28,256,454.72,61.88,348
up,18,256,458.64,62.68,350
right,22,256,461.56,62.14,352
up,21,256,470.96,67.24,354
right,26,256,466.96,64.4,356
down,19,256,477.48,69.7,358
left,17,256,456.84,54.54,360
left,38,256,468.44,59.38,362
up,25,256,478.68,66.54,366
up,18,256,467.16,56.8,368
left,15,256,472.12,57.48,370
left,26,256,474.64,57.74,372
up,23,256,477.56,58.64,376
right,25,256,472.92,55.68,378
up,22,256,482.2,60.32,380
up,23,256,478.56,55.42,382
down,25,256,483.76,59.42,384
left,44,256,481.96,55.76,386
down,32,256,481.04,54.72,388
right,23,256,482.36,54.46,390
right,22,256,478.2,49.98,392
left,17,256,472.84,47.08,394
down,23,256,477.84,47.66,396
right,42,256,470.6,42.8,398
up,25,256,483.36,48.06,400
down,36,256,487.64,48.48,402
left,41,256,503.68,58.22,406
down,28,256,526.84,68.32,408
up,30,256,520.68,62.66,410
left,31,256,513.6,57.56,412
left,31,256,519.72,59.92,414
down,25,256,519.12,58.4,416
right,41,256,523.96,60.14,418
up,21,256,523.04,57.36,420
up,25,256,527.88,61.36,422
left,26,256,525.52,58.82,424
right,21,256,527.28,58.88,426
up,18,256,523.72,55,428
left,31,256,527.24,56.64,430
right,19,256,531.76,57.68,434
down,18,256,522.32,51.3,436
right,21,256,520.4,47.1,438
up,25,256,522.76,49.5,442
left,17,256,520.08,45.1,444
down,22,256,521.4,46.12,446
left,51,256,523.76,44.22,448
right,38,256,525.76,46.1,452
up,26,256,535.44,47.92,454
left,32,256,528.32,42.36,456
down,35,256,532.92,44.64,458
left,22,256,528.16,39.94,460
right,39,256,544.68,47.38,462
right,53,256,545.16,47.88,464
up,38,256,554.48,51.5,466
up,36,256,551.88,47.74,468
right,37,256,562.92,52.32,470
up,32,256,561.04,52.26,472
left,29,256,569.52,54.76,474
left,28,256,565.48,51.72,476
right,39,256,565.08,50.76,480
up,30,256,574.56,54.14,482
right,38,256,564.28,46.66,484
up,23,256,572.2,50.66,488
up,27,256,576.68,50.48,490
up,32,256,569.28,44.66,492
left,36,256,574.96,48.44,494
up,36,256,588.32,53.2,496
left,34,256,586.64,50.98,500
left,59,256,581.84,45.76,502
right,40,256,586.2,48.54,504
up,27,256,586.04,47.98,506
left,33,256,584.8,44.42,508
left,29,256,587.92,45.86,510
right,50,256,601.48,51.96,512
right,40,256,587.92,43.86,514
left,32,256,597.88,47.52,516
down,33,256,607.72,51.78,518
down,34,256,623.56,58.7,520
right,34,256,633.24,63.56,522
down,40,256,655.44,73.86,524
right,39,256,660.64,75.54,526
down,31,256,676.36,83.52,530
up,28,256,656.92,70.44,532
right,35,256,690.24,85.98,534
up,42,256,701.72,91.52,536
down,37,256,681.4,80.18,538
left,47,256,688,82.96,540
up,45,256,697.84,85.24,542
down,40,256,704.52,91.16,546
right,21,256,684.96,77.24,548
left,36,256,680,72.46,550
up,40,256,688.52,75.74,552
right,30,256,688.8,75.32,554
up,39,512,710.4,87.92,556
right,36,512,704.88,80.36,558
down,38,512,708.68,82.24,562
right,26,512,700.4,76.18,564
left,37,512,714.72,83.84,566
down,31,512,705.88,79.82,568
down,28,512,701.6,75.2,570
right,25,512,701.56,73.7,572
left,32,512,700.76,71.64,574
left,34,512,697.04,68.62,576
up,47,512,712.76,76.88,578
up,33,512,699.4,68.16,580
right,34,512,704.04,69.14,582
left,34,512,711.04,72.74,584
up,38,512,702.16,67.16,586
left,33,512,706.28,69.4,588
right,30,512,695.6,61.54,590
left,33,512,703.72,63.92,592
up,26,512,697.84,60,594
right,46,512,698.56,59.02,596
down,52,512,707.88,63.04,598
up,40,512,712.08,62.78,602
down,30,512,709.28,60.36,604
left,34,512,703.16,55.34,606
down,32,512,712.28,59.26,608
left,32,512,717.6,61.2,610
left,31,512,713.04,57.58,612
up,29,512,710.64,55.72,614
down,30,512,721.28,61.68,616
up,17,512,714.4,54.86,618
up,19,512,712.76,52.6,622
right,29,512,704.48,46.76,624
down,36,512,714.52,52.96,626
up,38,512,715.8,50.72,628
up,30,512,710.96,47.34,630
right,26,512,715.52,47.24,632
down,28,512,735.4,57.62,634
up,37,512,727.96,52.88,636
right,51,512,727.6,51.56,638
down,20,512,727.24,50.96,640
left,28,512,736.12,55.38,642
left,35,512,736.8,53.9,646
right,27,512,735.56,52.46,648
up,22,512,733.04,47.44,650
left,27,512,733.88,46.1,652
down,22,512,741.64,50.36,654
left,24,512,736.64,47.6,656
down,32,512,736.8,46.32,658
left,27,512,734.24,43.88,660
right,21,512,739.4,47,662
down,23,512,739.8,44.84,664
up,21,512,733.24,40.36,666
left,27,512,744.16,43.38,668
down,25,512,750.88,47.12,670
right,16,512,762.4,52.66,672
up,35,512,761.36,51.34,674
up,24,512,769.84,55.96,676
up,30,512,781.04,58.56,678
down,31,512,781.2,58.9,680
right,26,512,781.52,55.32,682
down,30,512,791.24,60.3,684
left,31,512,790.44,59.6,686
up,24,512,786.96,56.38,688
right,31,512,791.72,58.2,690
left,17,512,781.16,51.7,694
up,21,512,786.16,52.1,696
down,31,512,793.16,54.82,698
left,39,512,789.44,52.32,700
down,29,512,791.64,52.48,702
right,22,512,794.08,51.84,704
up,24,512,790.2,47.78,706
left,29,512,791.96,48.8,708
down,26,512,797,52.1,710
down,26,512,804.6,52.9,712
left,19,512,804.24,50.9,714
left,28,512,810.36,53.66,716
up,46,512,814.04,53.94,718
up,31,512,814.36,56.06,720
left,24,512,813.36,53.32,722
up,27,512,816.84,52.82,724
right,28,512,815.2,54.36,726
right,26,512,813.84,49.24,728
down,24,512,813.6,50.18,730
left,27,512,818.72,51.8,732
down,95,512,813.48,46.56,734
up,32,512,816.92,47.14,736
left,31,512,815.48,46.18,738
down,28,512,812.4,42.3,740
left,34,512,817.44,44.32,742
up,31,512,807.88,36.92,744
up,26,512,814.8,40.96,746
up,22,512,820.4,42.44,748
up,32,512,814.56,39.56,750
left,27,512,824,42.34,752
right,25,512,814.52,37.12,754
left,26,512,811.68,33.64,758
right,21,512,803.04,27.26,760
down,15,512,817.08,34.96,762
up,24,512,815.16,33.08,764
right,23,512,809.04,26.64,766
down,25,512,817.72,30.46,768
right,26,512,826.36,33.58,772
right,23,512,838.2,38.8,774
right,22,512,834.56,34.64,776
left,24,512,833.16,33.8,780
right,17,512,837.84,33.02,782
up,18,512,837.56,31.3,784
left,19,512,837.72,30.62,786
down,24,512,849.48,36.6,788
down,22,512,846,34.16,790
up,16,512,853.92,37.04,792
right,20,512,874.96,46.1,794
down,27,512,883.32,50.24,796
up,29,512,863.6,39.44,798
left,25,512,887.64,50.84,800
right,24,512,888.72,50.52,802
right,28,512,887.36,48.52,804
down,28,512,897.48,52.1,808
down,28,512,902.52,53.66,810
up,28,512,906.68,54.94,812
down,28,512,904.72,51.82,814
left,20,512,906.48,51.9,816
down,64,512,905,49.32,818
left,36,512,911.92,52.72,820
down,28,512,914.52,53.64,822
left,34,512,918.32,54.6,824
down,36,512,916.44,51.42,826
down,20,512,910.68,48.38,828
