Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,52,2,260.56,137.54,6
right,51,2,282.84,147.22,8
right,59,4,262.32,136.26,10
up,70,4,288.2,148.46,12
up,88,8,280.12,142.96,14
left,88,8,263.32,134.22,16
down,55,8,263.2,132.12,18
left,51,8,276.16,139.46,20
down,53,8,266.6,132.4,22
right,46,8,288.96,143.12,24
left,54,8,280.68,139.04,26
up,49,8,285.04,141.16,28
right,49,8,275.16,133.1,30
down,59,8,258.92,124.06,32
down,47,8,273.48,129.76,34
right,50,16,287.84,140.04,36
up,49,16,272.88,129.26,38
up,46,16,277.24,128.34,40
left,61,16,268.6,122.56,42
up,46,16,259.64,118.1,46
right,58,16,272.36,121.6,48
up,53,16,272.28,122.5,50
left,50,16,271.2,120.66,52
left,43,16,277.84,121.44,54
right,46,16,269.16,117.16,56
left,39,16,277.48,120.68,58
right,50,16,279,119.94,62
up,45,32,271.56,113.26,64
down,55,32,276.84,116.14,66
down,41,32,290.2,122.94,68
up,43,32,264.84,104.92,70
down,32,32,275.64,112.08,72
up,30,32,267.24,106.02,74
down,47,32,280.56,115.32,76
left,36,32,266.12,103.72,78
right,44,32,290.48,118.36,80
left,53,32,285.28,111.2,84
down,33,32,267.88,100.62,86
left,52,32,276.88,107.24,88
left,41,32,277.88,103.98,90
down,43,32,278.04,105.54,92
left,31,32,279.48,102.48,94
left,41,32,284.36,103.48,96
right,35,32,296.6,109.9,100
left,34,32,268.88,93.5,102
right,40,32,271.56,93.4,104
left,27,32,273.48,96.82,106
up,38,32,270.08,94.76,108
down,33,32,275.8,94.62,110
left,37,32,274.4,90.36,112
left,19,32,270.44,88.1,114
down,39,32,284.88,93.88,116
up,35,32,271.44,87.98,120
right,20,32,266.6,81.58,122
left,37,32,290.8,92.96,124
down,37,32,272.56,81.86,126
left,36,32,299.32,95.06,128
right,33,32,293.84,91.18,130
down,52,32,286.6,88.12,134
right,28,32,303.48,95.18,136
up,19,32,283.24,82.54,138
right,29,32,279.12,78.04,140
up,30,32,296.84,86.88,142
right,38,32,285.28,79.86,144
right,28,32,294.16,83.5,148
up,30,32,272.68,68.42,150
left,32,32,298.88,82.52,154
down,42,32,288.32,74.96,156
left,53,32,291.6,75.6,158
up,34,32,313.72,86.62,160
left,32,64,308,82.4,162
down,45,64,305.92,79.74,164
down,44,64,301.48,76.24,166
left,45,64,309.76,80.04,168
right,32,64,305.12,74.4,170
left,46,64,319.32,83.66,174
right,43,64,303.48,73.6,176
left,26,64,293.64,66.5,178
up,210,64,302.76,70.78,180
down,32,64,300.6,68.28,182
left,31,64,318.2,75.78,184
down,42,64,309.8,70.8,186
left,68,64,302.12,66.02,188
left,44,64,308.92,67.76,190
up,46,64,309.88,67.74,192
down,49,64,309.96,66.84,196
down,48,64,317.52,68.42,198
right,31,64,340.44,79.5,200
down,36,64,324.76,71.18,202
up,44,128,333,72.48,204
right,45,128,352.84,84.2,206
left,32,128,331,69.86,208
down,30,128,334.44,69.9,210
right,25,128,330.96,66.76,212
up,32,128,343.8,74.36,214
right,29,128,342.36,70.2,216
up,36,128,347.64,72.8,218
left,35,128,345.96,72.24,220
up,36,128,352.24,73.14,222
up,35,128,346.12,70.04,224
down,34,128,347.36,69.78,226
up,38,128,361.12,77.48,228
right,42,128,338.08,62.72,230
down,42,128,361.52,73.46,232
left,28,128,343.68,61.52,234
right,23,128,346.28,61.94,236
left,31,128,353.84,65.58,240
down,29,128,351.24,63.28,242
right,17,128,360.76,66.54,244
right,35,128,343.52,54.3,246
right,31,128,356.04,60.34,248
left,48,128,347.84,56.46,250
up,32,128,335.4,47.6,252
left,30,128,344.16,52.22,254
down,27,128,352.84,54.84,256
right,35,128,354.28,55.3,258
down,27,128,350.8,52.74,260
up,35,128,344.48,46.72,264
left,36,128,374.72,62.16,266
left,38,128,376.08,62.02,268
right,35,128,360.92,52.6,270
left,41,128,359.56,49.42,272
right,26,128,368.88,54.44,276
down,33,128,376.88,56.86,280
down,30,128,374.64,53.34,282
left,27,128,396.76,64.42,284
up,26,128,389.12,59.62,286
right,31,128,404.52,65.92,288
left,30,128,434.64,81.32,290
down,41,128,434.44,82.1,292
up,40,128,434.92,78.58,294
left,34,128,456.08,91.08,296
right,31,128,436.64,79.2,298
down,40,128,442.16,79.9,300
left,42,256,453.64,85.38,302
down,42,256,457.16,86.24,304
right,45,256,442.6,76.18,306
down,46,256,464.12,86.76,308
down,44,256,450.8,79.74,310
right,40,256,456,82.6,312
up,27,256,457.32,79.82,314
left,49,256,462.04,82.72,316
up,36,256,449.04,74.24,318
down,33,256,446.44,70.36,320
right,34,256,471.12,85.12,322
left,26,256,450.44,72.8,324
up,24,256,448.96,71.36,326
down,40,256,450.56,68.58,328
right,36,256,460.44,73.76,330
right,36,256,458.04,71.8,332
up,35,256,459.2,71.52,334
down,36,256,446.28,63.38,338
right,46,256,448.68,60.64,342
down,33,256,445.64,57.56,344
left,17,256,449.24,59.48,346
up,28,256,455.36,61.92,348
