Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,49,4,265.2,141.38,6
down,49,4,285.12,149.62,8
up,48,4,280.68,146,10
left,45,4,266,138.12,12
up,56,4,282.72,145.7,14
left,53,8,279.96,143.28,18
down,60,8,264.48,132.36,22
up,55,8,266.28,132.1,24
right,51,8,284.96,142.4,26
right,80,8,282,139.46,28
left,58,8,276.28,135.7,30
up,52,8,273.64,130.7,32
left,64,8,276,131.7,34
up,46,16,266.64,124.42,36
right,43,16,273.68,129.94,38
left,40,16,290.84,136.64,42
right,54,16,273.36,124.44,44
left,63,16,269.6,122.72,46
up,57,16,275.6,123.08,48
down,46,16,278.84,126.78,50
up,36,16,263.52,116.68,52
right,36,16,269.68,118.68,54
left,51,16,273.72,119.5,56
left,45,16,274.08,119.7,58
down,44,16,265.32,112.62,60
right,248,16,268.96,114.96,62
down,52,16,285.8,123.24,64
left,36,16,266.8,111.2,66
down,40,16,285.56,120.04,68
right,37,16,278.24,114.1,70
down,48,16,270.2,110.4,72
right,78,16,287.2,116.58,74
left,50,16,271.68,109.18,76
right,36,16,262.48,101.48,78
up,57,16,292.36,118.46,80
left,46,16,265.56,100.64,82
up,46,32,273.88,104.98,84
left,41,32,269,100.82,86
up,41,32,267,99.54,88
right,53,32,284,105.76,90
down,45,32,279.64,103.96,92
left,40,32,268.84,98,94
down,31,32,280.88,102.66,96
down,49,32,291.92,109.32,98
down,46,32,275.08,99.12,100
up,37,32,289.96,104.62,102
right,48,32,283,97.56,104
down,47,64,276.28,94.58,106
right,45,64,268.04,88.64,108
up,57,64,279.92,95.36,110
left,54,64,283.76,95.86,112
up,41,64,301.56,105.58,114
up,36,64,280.2,91.42,118
up,37,64,276.28,88.4,120
down,27,64,279.72,88.48,122
right,51,64,289.64,91.72,124
up,37,64,291.04,92.32,126
up,48,64,292.64,92.5,128
up,45,64,290.08,90.92,130
up,47,64,293.2,89.92,132
right,39,64,287.84,86.5,134
left,49,64,287.16,85.6,136
down,34,64,291.92,84.7,138
left,37,64,300.36,89.9,140
left,38,64,295.84,87.2,144
left,44,64,307.96,91.64,146
left,38,64,302.8,85.9,148
left,37,64,316.12,91.92,150
right,31,64,315.92,91.86,152
right,46,64,309.68,86.48,154
