Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,57,4,264.88,140.08,10
up,60,4,278.32,143.9,12
down,71,4,261.52,135.9,14
up,73,4,269.32,137.08,16
up,54,4,280.76,142.2,20
left,71,4,281.24,141.74,22
left,51,4,271.96,134.66,24
up,55,8,269.68,131.52,26
down,52,8,285.48,139.78,28
right,36,8,276.8,134.82,30
right,63,8,269.8,128.62,32
up,50,8,265.08,125.62,34
left,51,8,286.84,137.28,36
down,61,8,282.92,132.22,38
up,51,8,278.28,128.56,42
left,52,8,276.44,124.96,46
down,66,8,271.32,120.38,48
left,50,8,270.92,120.7,50
right,45,16,287.96,129.04,52
right,53,16,286.8,126.78,56
left,53,16,277.88,120.58,58
left,45,16,272.68,117.78,60
left,48,16,273.24,118.56,62
down,55,16,259.72,106.82,64
down,56,16,259.56,108.5,66
left,49,16,287.64,120.7,68
right,50,16,268.48,110.06,70
left,47,16,273.48,109.7,72
up,36,16,274.64,111.38,74
right,46,16,285.44,116.78,76
up,48,16,283.8,115.62,78
left,46,16,275.2,108.76,80
up,43,32,271.44,103.4,82
left,44,32,294.56,117.56,86
down,55,32,265.48,98.46,90
down,172,32,277,103.12,92
down,36,32,282.08,105.88,94
right,40,32,275.36,99.9,96
up,40,32,274.72,97.98,100
up,40,32,284.4,101.96,102
down,31,32,264.52,89.8,104
left,30,32,269.96,91.24,106
left,39,32,266.96,88.7,108
down,39,32,275.16,93.1,110
up,38,32,266.64,87.34,112
right,46,32,273,90.86,114
up,43,32,279.96,94.76,116
left,31,32,290.08,98.94,118
right,46,32,284.96,93.82,120
right,41,32,282.32,91.1,122
left,38,32,278.16,87.76,124
down,39,32,286.16,90.02,126
left,30,64,280,84.14,128
right,38,64,290.56,90.4,130
right,41,64,299,92.82,132
down,38,64,302.12,94.42,134
up,59,64,295.96,89.58,136
right,42,64,290.48,84.42,138
down,26,64,296.6,86.22,140
right,43,64,308.08,93.16,142
down,138,64,309.92,94.3,144
down,38,64,300.28,84.66,146
left,38,64,308.76,90.7,148
down,44,64,328.92,98.78,150
up,38,64,322.28,94.18,152
right,59,64,327.2,94.76,154
up,49,64,346.28,106.02,156
up,41,64,333.36,98.42,158
right,51,128,323.28,90.82,162
up,41,128,338.2,97.54,164
up,41,128,327.12,89.96,166
right,40,128,320.36,85.06,168
up,30,128,338.36,95.4,170
right,42,128,335.32,91.36,172
up,45,128,328.36,85.9,174
left,32,128,328.96,85.62,176
right,33,128,331.52,86.56,178
up,41,128,340.8,90.02,180
down,48,128,343.12,89,182
right,29,128,338.88,87.38,184
up,41,128,341.6,87.6,186
up,42,128,334.4,81.88,188
left,30,128,337.84,83,190
up,42,128,340.84,83,192
left,38,128,328.72,75.5,194
right,39,128,342.28,82.12,196
right,41,128,344.16,84.26,198
down,37,128,333.84,75.52,200
left,27,128,323.2,68.56,202
up,23,128,338.16,75.68,204
left,37,128,332.04,71.58,206
right,36,128,337.92,72.96,208
left,38,128,341.04,73.96,210
up,34,128,332.4,69.06,212
