Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,50,4,264.24,140.08,6
left,53,4,277.16,146.32,8
up,61,4,275.32,142.14,10
up,62,4,273.92,141.02,12
right,53,4,266.88,137.78,14
left,57,4,275.36,140.1,16
down,62,8,280.44,143.56,18
down,56,8,280.84,140.92,20
up,52,8,287.32,143.86,22
right,55,8,276.64,137.1,24
left,63,8,279.24,137.98,26
up,46,8,275.6,135.38,30
right,38,8,262.44,126.08,32
down,33,8,276.12,132.88,34
left,33,8,259.24,122.44,36
down,41,16,269.52,126.6,38
down,42,16,295.8,139.5,40
down,43,16,258.16,117.42,44
down,56,16,277.64,127.32,46
left,46,16,266.96,119.22,48
right,42,16,274.36,124.56,50
right,42,16,274.92,121.62,52
right,41,16,274.84,121.42,54
down,46,16,278.2,119.86,56
up,53,16,274.36,117.52,58
down,46,16,281.36,119.96,60
left,41,32,271.8,114.52,62
down,36,32,263.92,108.9,64
right,47,32,258.96,106.5,66
right,41,32,276.28,117.02,68
up,52,32,274.8,112.5,70
left,31,32,268.68,109.46,72
left,43,32,261.92,103.58,74
right,54,32,266.96,107.12,76
up,40,32,256.64,99.24,78
right,35,32,276.24,107.6,80
right,41,32,276,109.08,82
right,44,32,267.96,102.32,84
left,40,32,270.08,102.08,86
down,50,32,280.88,106.8,88
left,43,32,271.88,101.04,90
right,40,32,303.08,118.26,92
up,30,32,265.96,94.94,94
up,38,32,275,99.68,96
up,45,32,270.2,96.02,100
left,23,32,259.8,89.06,102
right,44,32,289.04,103.54,104
down,35,32,286.08,99.16,106
up,31,32,277.8,93.84,108
right,38,32,268.04,90.2,110
up,40,32,274.2,91.68,112
right,44,32,293.72,100.18,114
left,43,32,265.08,81.2,116
right,33,32,259.8,79.24,118
up,39,32,271.24,84.92,120
left,43,32,267,82.08,124
right,34,32,262.8,77.56,126
left,41,32,282.92,86.42,128
left,42,32,296,94.26,130
left,35,32,281.24,83.26,132
right,40,32,274.56,80.68,134
up,40,64,267.4,74.6,138
up,43,64,274.4,77.56,140
left,42,64,283.68,79.16,142
right,30,64,270,68.94,144
left,33,64,274.96,71.48,146
left,40,64,282.64,76.44,150
left,41,64,272.32,69.54,152
up,38,64,275.96,69.82,154
left,37,64,275.36,68.36,158
up,49,64,289.64,72.88,160
right,38,64,314.88,84.66,162
up,42,64,312.04,82.48,164
right,58,64,316.4,82.8,166
right,47,64,322.96,87.64,168
up,43,64,320.16,84.26,170
right,43,64,318.36,82.26,172
down,31,64,327.2,84.68,174
right,42,128,322.44,83.56,176
up,38,128,330.24,87,178
down,38,128,330.24,83.68,180
up,51,128,327.2,82.08,182
left,52,128,324.84,80,184
right,53,128,340.88,88.16,186
up,43,128,320.64,73.74,188
up,57,128,333.96,81.12,190
down,55,128,333.2,80.38,192
down,58,128,334.12,79.26,194
down,56,128,325.36,72.8,196
left,56,128,323.04,71.38,198
right,40,128,327.56,74.08,200
left,33,128,334.8,74.54,202
right,31,128,316.96,63.26,204
right,52,128,315.6,63.14,206
up,33,128,322.4,66.18,210
left,11,128,293.36,47.84,212
right,31,128,329.8,67.52,214
down,25,128,332.36,67.6,216
right,25,128,336.88,67.66,218
right,34,128,331.12,64.14,220
down,31,128,335.12,64.3,222
up,32,128,349.56,69.66,224
right,26,128,343.52,67.24,226
left,26,128,349.12,70.4,230
right,37,128,347.44,65,234
down,30,128,348.08,64.62,236
left,35,128,344,61.08,238
left,31,128,343.16,59.76,240
left,41,128,337.32,55.98,242
left,27,128,330.76,49.46,244
up,23,128,349.08,59.5,246
right,23,128,344.92,54.76,248
right,26,128,347.72,57.5,250
down,25,128,348.68,55.34,252
left,33,128,345.8,52.44,254
down,26,128,351.88,55.88,256
left,33,128,355.96,56.74,258
down,35,128,357,55.02,260
left,35,128,362.44,57.52,262
right,33,128,363.2,59.12,264
down,39,128,355.16,52.62,266
left,38,128,358.44,51.32,268
right,30,128,365.24,55.2,270
down,23,128,365.24,54.56,272
left,34,128,371.36,55.36,274
right,25,128,362,49.44,278
up,37,128,361.48,48.36,280
down,33,128,360.64,46.28,282
right,29,128,393.52,63.3,284
down,28,128,387.28,56.86,286
left,36,128,398.28,63.3,288
up,34,128,398.68,64.64,290
down,30,128,421,73.54,292
right,36,128,420.56,69.92,294
up,34,128,432.56,77.38,296
left,40,128,436.96,78.88,298
down,38,256,446.48,81.14,300
down,40,256,452.12,85.4,302
left,43,256,442.72,76.54,304
down,36,256,454.52,84.1,306
up,51,256,444.24,76.04,308
down,203,256,447.72,76.74,310
right,30,256,464.24,84.88,314
up,37,256,449.2,76.08,316
left,42,256,450.24,73.42,320
up,38,256,459.64,79.18,322
right,51,256,462.88,78.9,324
down,33,256,460.4,77.48,326
up,25,256,453.8,70.24,328
left,42,256,455.6,70.26,330
down,37,256,468.12,76.18,332
right,45,256,460.04,72.56,334
down,27,256,454.84,69.84,338
down,29,256,449.88,61.82,340
up,26,256,456.4,64.28,342
right,29,256,464.92,70.38,344
down,29,256,462.28,66.62,346
down,32,256,454.4,62.24,348
down,49,256,461.68,64.82,350
up,30,256,465.4,64.92,352
down,33,256,462.48,60.84,354
right,22,256,466.68,64.26,356
left,36,256,471.8,66.4,358
up,25,256,466.8,60.56,360
left,30,256,471.92,61.12,362
right,24,256,466.52,60.06,364
down,35,256,463.56,56.5,366
left,34,256,483.24,66,368
down,24,256,474.28,60.42,370
left,46,256,474.32,57.56,372
right,44,256,474.76,58.24,374
down,32,256,471.48,54.86,376
down,22,256,485.12,62.32,378
up,31,256,472.4,52.44,380
right,31,256,475.52,52.64,382
right,31,256,474.64,52.82,384
down,29,256,478.12,53.52,386
left,34,256,483.12,54.44,388
left,35,256,487.52,56.52,390
up,27,256,482.88,51.68,392
right,22,256,486.32,53.86,394
up,26,256,488.6,54.62,396
left,29,256,496.08,56.12,398
left,32,256,489.88,51.66,400
up,34,256,489.36,49.84,404
up,35,256,503.4,55.22,406
up,29,256,499,54.26,408
right,29,256,501.56,52.78,410
left,29,256,504.24,52.02,412
up,34,256,511.96,56.96,414
right,34,256,519.48,60.04,416
left,23,256,518.44,60.1,418
right,27,256,511.72,52.9,420
down,28,256,512.72,53.2,422
right,26,256,519.4,56.7,424
right,34,256,513.8,52.18,426
right,34,256,514.88,51.92,428
up,31,256,508.96,46.78,430
up,29,256,515.88,49.48,432
left,30,256,516.52,47.54,434
left,36,256,520.68,48.9,436
left,32,256,520.36,49.98,438
down,35,256,527.08,51.52,440
up,28,256,540.56,56.48,442
down,37,256,542.44,56.98,444
down,30,256,532.36,49.54,446
left,27,256,532.24,49.56,448
down,31,256,531.12,47.42,450
right,20,256,544,53.58,452
right,34,256,531.84,44.04,456
up,26,256,542.12,48.84,458
up,47,256,541.44,48.24,460
left,37,256,541.28,46.1,462
left,28,256,541.72,43.02,464
down,28,256,548.64,49.46,468
down,32,256,556.12,51.7,470
left,23,256,550.48,45.74,472
up,33,256,567.88,53.64,474
right,20,256,555.6,47.16,476
down,25,256,560.48,48.26,478
down,31,256,572.56,52.86,480
down,34,256,564.2,48.1,482
down,29,256,562.2,45.38,484
left,18,256,558.72,42.06,486
up,27,256,560.32,43.28,488
right,19,256,554.88,38.34,490
down,32,256,561.08,41.44,492
down,29,256,559.4,37.8,496
left,20,256,561.96,38.38,498
down,26,256,576.32,45.32,500
right,20,256,582.44,47.06,502
down,28,256,579.4,44.96,504
up,45,256,579.76,43.38,506
left,49,256,581.48,43.1,508
up,40,256,584.56,43.5,510
right,19,256,587.72,43.84,512
left,22,256,573.8,34.2,516
down,30,256,592.04,43.64,518
left,53,256,590.56,42.72,520
down,44,256,592.88,41.62,524
left,20,256,601.48,43.6,526
up,30,256,616,49.86,528
up,30,256,619.88,51.24,532
right,31,256,630.08,55.04,534
left,27,256,624.16,48.96,536
down,46,256,637.76,57.76,538
up,44,256,651.48,65.1,540
right,34,256,665.84,69.16,542
up,43,256,696.28,84.54,544
left,30,256,697.52,84.7,546
right,29,256,693.6,81.58,548
up,35,512,710.92,89.74,550
right,38,512,706.12,85.64,552
down,37,512,695.4,77.36,554
down,37,512,699.72,81.6,556
right,32,512,716.36,89,558
up,61,512,706.16,82.5,560
down,42,512,710.04,84.32,562
left,33,512,711.04,82.6,564
