Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
up,53,4,272.92,144.06,8
left,65,4,271.4,141.26,10
left,60,4,281.36,146.68,12
left,59,4,281.68,146.76,14
left,46,4,277.84,142.76,16
left,56,4,279.08,139.78,18
down,63,4,268.92,134.52,20
left,57,4,275.28,137.96,22
up,66,8,278.36,139.16,24
up,72,8,278.28,137.48,26
left,47,8,277.8,135.12,28
right,49,8,269.48,131.28,30
left,56,8,281.12,137.26,32
right,46,8,273.04,131.12,36
down,35,8,246.92,112.68,38
right,64,8,266.4,122.44,40
down,247,8,280.48,132.84,42
left,47,16,270.36,123.14,44
down,48,16,273.28,123.94,46
up,47,16,280.8,127.52,48
up,45,16,273.24,122.8,50
left,45,16,268.48,117.68,52
down,37,16,272.56,122.52,54
right,47,16,288.52,128.72,58
right,44,16,287.36,125.22,60
down,35,32,275.2,118.3,62
up,44,32,279.08,117.06,64
down,52,32,281.92,119.84,68
down,38,32,261.6,107.22,70
right,48,32,273.56,110.58,72
up,42,32,309.76,132.52,74
left,33,32,257.04,99.2,76
down,32,32,276.32,109.8,78
right,26,32,272.48,106.9,80
left,29,32,258.36,97.56,82
right,27,32,261.6,97.54,84
down,40,32,281.32,107.24,86
right,29,32,284.48,108.76,88
left,32,32,286.8,108.28,90
right,28,32,265.04,94.14,92
up,25,32,268.72,95.46,96
right,35,32,277.88,100.24,98
left,51,32,286.16,103.88,100
down,36,64,283,100.4,102
left,39,64,300.96,109.92,104
up,41,64,282.92,97.34,108
up,45,64,272.12,92.42,112
right,29,64,271.44,86.36,114
down,30,64,278.96,90.02,116
down,35,64,275.6,88.84,118
up,33,64,294.44,98.76,120
right,37,64,288.36,91.76,122
right,38,64,290.04,93.52,124
left,42,64,287.2,88.18,126
right,37,64,283.12,87.64,128
down,39,64,292.08,91.42,130
down,33,64,281.08,83.82,132
up,34,64,298.96,92.62,134
left,27,64,294.08,86.54,136
right,37,64,301.04,90.62,138
left,28,64,290.48,84.88,140
up,36,64,297.12,87.7,142
up,37,64,302.52,88.64,146
up,37,64,292.8,79.58,148
down,41,64,315.36,92.62,150
left,33,64,294.8,80.8,152
right,37,64,312.2,90,154
down,25,64,315.88,91.64,156
up,38,64,304.92,83,160
left,34,64,314.52,85.18,162
right,39,64,316.64,86.32,164
down,43,64,314.28,83.1,166
down,41,64,325.4,88.22,168
right,37,64,318.48,83.78,170
right,45,128,338.48,92.14,172
down,36,128,325,85,174
right,34,128,324.92,81.26,176
left,31,128,322.96,80.74,178
right,37,128,331.4,83.54,180
down,49,128,327.2,82.56,182
left,33,128,327.68,81.02,184
right,30,128,323.92,77.2,186
left,28,128,333.32,83.5,188
left,35,128,332.16,81.78,190
down,31,128,340.32,83.02,192
right,27,128,313.68,67.66,194
up,22,128,316.92,68.1,196
left,20,128,325,72.58,198
up,23,128,308.52,62.42,200
right,31,128,317.64,67.16,202
right,33,128,319.88,66.12,204
down,37,128,317.56,63.92,206
up,36,128,322.68,64.54,208
left,34,128,315.52,59.46,210
up,35,128,310.96,56.14,212
right,44,128,341.32,72.3,214
down,34,128,334.36,65.48,216
left,34,128,346.52,71.94,218
up,48,128,353.32,74.78,220
down,39,128,348.16,70.58,222
up,34,128,344.2,67.84,224
down,27,128,347.76,67.8,226
up,31,128,348.4,68.8,230
right,37,128,343.48,63.08,232
down,44,128,352.56,67.26,234
up,839,128,351.56,65.54,236
down,40,128,367.92,74.72,238
right,32,128,346.28,60.86,240
right,38,128,355.12,63.84,242
down,38,128,347.96,59.3,246
down,27,128,348,57.5,248
right,30,128,329,46.94,250
left,35,128,339.12,51.08,252
left,33,128,333.24,46.38,254
up,19,128,335.6,46.5,256
right,29,128,354.56,53.2,258
down,20,128,355.24,55.74,260
right,34,128,372.32,62.3,264
up,43,128,363.04,54.92,266
left,41,128,404.08,76.34,268
up,33,128,386.6,65.8,270
up,41,128,384.64,64.56,272
left,44,128,412.64,79.38,274
up,37,128,429.8,84.8,276
left,39,128,442.16,91.04,278
down,42,128,437.68,89.7,280
down,43,128,437.84,87.22,282
