Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,53,2,269.96,142.26,6
left,50,4,263.08,138.62,10
left,57,4,273.24,142.28,12
down,53,4,292.96,150.4,14
left,44,4,282.24,145.34,16
up,56,4,254.44,128.22,20
down,57,8,284.04,140.16,22
right,52,8,289.88,144.5,24
left,59,8,274.16,135.32,26
up,49,8,266.52,128.82,28
down,35,8,261.04,125.62,30
down,51,8,276.4,135.58,32
right,39,8,270.88,131.52,34
right,48,8,286.6,136.58,36
down,49,16,267.32,126.48,38
down,59,16,277,128.7,40
right,54,16,256.6,119.06,42
up,34,16,277.4,127.66,44
up,52,16,283.72,130.02,46
down,47,16,278.44,125.82,48
up,49,16,280.6,127.14,50
right,48,32,290.16,131.6,52
right,46,32,264.92,116.46,54
down,58,32,277.24,121.34,56
left,51,32,280.56,122.42,60
up,43,32,272.44,116.86,62
left,46,32,287.6,124.88,64
down,42,32,262.16,110.36,66
down,50,32,301.36,129.52,70
up,45,32,269.96,110.56,72
down,35,32,287.36,116.58,74
down,46,32,272.36,108.08,76
left,34,32,277.92,111.72,78
right,45,32,265.36,102.38,82
down,40,32,273.44,105.88,84
right,40,32,276.76,106.24,86
right,44,32,279.48,108.14,88
left,43,32,269.04,99.88,90
left,35,32,269.32,97.52,92
down,30,32,265.72,95.04,96
down,51,32,270.96,98.32,98
up,48,32,279.68,100.36,100
left,35,32,265,91.54,102
down,49,32,295.32,104.74,104
left,36,32,286.08,99.54,106
down,34,32,276.72,92.72,108
right,33,32,279.12,93.1,110
up,34,64,289.32,97.48,112
right,26,64,287.8,97.74,114
down,31,64,298.12,100.54,116
down,45,64,299.28,99.6,118
right,38,64,286.64,92.32,120
down,28,64,283.68,88.66,122
right,41,64,291.2,93.32,126
right,40,64,296.56,94.42,128
left,32,64,288.32,87.32,130
right,41,64,311.68,100.82,132
left,35,64,301.8,93.26,134
down,35,64,303.68,92.58,136
right,38,64,297.48,88.66,138
up,21,64,298.32,88.38,140
left,23,64,311.2,95.1,142
left,44,64,314.52,94.18,144
down,44,64,312.68,91.66,146
right,38,64,308.84,90.18,150
down,24,64,296.16,80.38,152
up,35,64,312.12,87.72,154
right,41,64,326.28,95.6,156
left,42,64,312.4,85.92,158
down,34,128,325,91.04,160
right,42,128,332.6,94.08,162
left,48,128,330.44,92.26,164
right,38,128,339.36,97.56,166
up,48,128,324.4,85.12,168
right,52,128,331.56,89.76,170
left,29,128,321.72,83.68,172
up,36,128,329.88,86.1,176
down,50,128,331.12,84.78,178
right,33,128,322.56,79.66,182
down,37,128,328.24,80.46,184
left,39,128,333.04,81.72,186
right,44,128,338.68,85.82,188
up,34,128,324.44,75.72,190
right,41,128,332.36,80.76,192
left,53,128,344.28,81.42,194
right,36,128,322.64,71.38,198
up,35,128,340.44,79.36,200
right,46,128,347.36,81.6,202
down,48,128,344.48,78.24,204
up,51,128,344.72,77.34,206
right,41,128,353.84,80.14,208
up,42,128,348.88,79.1,210
down,34,128,361.8,83.38,212
up,39,128,346.24,74.18,214
right,53,128,356.24,79.96,216
right,46,128,366.68,82.48,218
right,39,128,364.08,81,220
up,47,128,347.8,70.56,222
up,56,128,355.68,74.84,224
up,42,128,357.64,75.26,226
left,35,128,354.76,72.88,228
down,45,128,360.44,74.18,230
right,29,128,356.2,70.1,232
up,33,128,356.52,68.74,234
right,42,128,349.36,65.08,238
left,38,128,355,64.58,240
left,30,128,359.84,68.46,242
right,39,128,352.4,61.56,244
right,33,128,356.24,62.24,246
up,29,128,375.44,75.32,248
down,29,128,364.92,65.14,250
down,39,128,366.68,65.98,252
left,30,128,362.44,61.5,254
down,31,128,347.04,51.68,256
left,31,128,365.84,63.48,258
up,36,128,361.88,58.46,260
down,30,128,382.44,69.84,262
right,31,128,360.24,56.42,264
up,32,128,380.52,64.92,266
right,34,128,380.16,65.26,268
right,30,128,365.12,53.76,270
down,30,128,372.72,57.86,272
left,29,128,365.88,54.54,276
up,38,128,357.4,46.24,280
right,196,128,385.4,59.86,282
up,30,128,391.84,62.52,286
up,29,128,368.32,45.7,288
right,29,128,365.92,42.06,290
down,30,128,380.2,52.96,292
left,25,128,376.72,49.04,294
right,17,128,361.36,38,296
left,20,128,360.68,36.42,298
right,28,128,375.56,46.94,302
right,26,128,369.52,38.44,304
up,24,128,395.28,53.84,306
