Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,42,2,273.88,145.96,6
right,42,4,272.8,141.98,8
right,43,4,279.6,144.7,10
up,48,8,271.72,140.5,12
right,48,8,273.16,139.54,14
left,46,8,271.48,138.2,16
left,47,8,270.28,135.82,18
down,34,8,271.64,137,20
right,48,8,272.16,137.04,22
left,42,8,281.92,139.62,24
up,44,8,280,140.86,26
right,49,8,289.44,142.86,28
up,48,8,272.36,132.96,32
left,37,8,259.56,122.82,34
right,15,8,262.04,123.92,38
left,34,8,270.32,127.08,40
right,36,8,274.32,128.12,42
up,45,8,262,121.72,44
left,42,8,290.68,133.04,48
right,44,8,262.12,115.28,52
up,45,16,288.6,128.64,54
down,36,16,263.04,115.46,56
left,24,16,278.36,120.94,58
up,41,16,260.32,107.88,60
up,41,16,272.96,115.94,62
left,41,32,299.6,129.02,64
right,39,32,268.64,111.06,66
up,32,32,275.48,114.64,68
down,39,32,275.24,113,70
right,43,32,274.08,112.06,72
left,41,32,274.6,111.9,74
down,41,32,283.04,115.8,76
right,43,32,289.76,119.32,78
up,34,32,282.48,110.84,80
down,45,32,303.4,122.36,82
up,43,32,274.6,105.68,84
up,67,32,282.24,109.06,86
down,33,32,269.36,101.02,88
up,30,32,283.56,107.22,90
left,30,32,282.92,104.36,92
left,32,64,283.68,105.3,94
right,37,64,282.36,102.26,96
down,43,64,285.16,103.52,98
right,41,64,286.44,104.54,102
right,39,64,282.76,99.1,104
right,37,64,292.68,106.66,106
up,27,64,292.04,102.38,108
right,32,64,292.52,101.58,110
left,37,64,284.48,98.22,112
right,40,64,305.48,107.18,114
right,37,64,284.72,93.28,116
down,37,64,289.68,95.64,118
up,36,64,284.16,90.68,120
left,37,64,287.68,91.12,122
up,34,64,298.72,98.1,124
up,38,64,292.56,92.66,126
left,28,64,280.12,84.68,128
up,36,64,291.16,89.94,130
right,32,64,288.2,86.9,132
down,35,64,295,89.22,134
right,36,64,284.72,81.72,136
left,34,64,305,93.84,138
left,41,64,299.12,88.94,140
right,36,64,299.36,86.92,142
up,34,64,293.24,83.1,144
right,29,64,295.04,83.38,146
left,36,64,275.76,72.66,148
up,34,64,295.64,81.08,150
right,33,64,299.72,84.22,152
up,26,64,297.28,79.22,154
left,39,64,302.6,81.14,156
left,38,64,317.44,90.14,158
down,38,64,317.96,88.08,160
right,35,64,309.2,82.58,162
down,31,64,307.56,82.36,164
up,18,64,297.08,74.92,166
down,19,64,294.12,71.8,168
up,38,64,298.08,71.94,170
left,36,64,308,78.16,172
up,34,64,319.32,85.56,174
up,33,64,305.48,72.78,176
up,34,64,308.88,75.24,178
left,30,64,308.32,73.5,180
left,33,64,323.12,81.3,182
down,28,64,325.44,79.96,184
left,26,64,322.36,76.22,186
up,35,64,327.6,77.9,188
down,33,64,322.04,74.96,190
up,40,64,335.28,79.5,192
right,35,128,320.4,72.38,194
up,34,128,336.2,78.94,196
down,26,128,328.24,73.36,198
right,28,128,327.28,70.92,200
left,20,128,328.48,73.32,202
down,29,128,337.68,74.04,204
right,31,128,321.88,64.98,206
up,38,128,334.28,70.38,208
down,40,128,331.28,68.64,210
right,26,128,334.92,69.78,212
up,32,128,333.32,68.76,214
down,30,128,333.2,67.52,216
left,23,128,333.84,66.9,218
right,33,128,335.68,67.46,220
up,25,128,331.84,62.94,222
right,32,128,336.44,66.42,224
left,23,128,325.04,57.18,226
right,27,128,343.88,67.06,228
up,21,128,319.12,51.96,230
left,30,128,337.72,61.42,234
down,21,128,325.12,50.06,236
right,23,128,325.44,50.54,238
up,30,128,352.32,63.14,240
down,33,128,366.72,69.18,242
up,26,128,365.4,69.34,244
right,25,128,358.72,64.22,246
up,30,128,354.04,61.08,248
left,19,128,358.56,60.82,250
left,22,128,358.24,60.16,254
right,14,128,353.32,56.3,256
up,29,128,364.48,60.92,258
down,29,128,355.92,57.2,260
right,27,128,355.4,53.28,264
left,30,128,359.16,54.32,266
up,36,128,388.44,66.62,268
up,30,128,399.84,73.84,270
right,36,128,409.8,77.84,272
up,44,128,433.6,89.7,274
down,30,128,417.36,79.2,276
right,31,128,422.72,81.22,278
up,33,128,444.28,93.24,280
down,40,128,430.2,83.72,284
up,40,128,434.88,81.9,286
left,36,128,441.84,85.4,288
down,46,128,441.24,84.38,290
right,24,128,451.68,89.46,292
left,33,128,452.96,90.1,294
right,46,128,446.92,84.4,296
up,39,256,446.2,82.32,298
down,37,256,450.28,83.86,300
up,37,256,444.92,79.88,302
left,37,256,454.08,84.92,306
right,37,256,456.4,84.18,308
left,37,256,448.24,77.58,310
down,28,256,441.04,74.38,312
down,37,256,449.44,79.14,314
down,31,256,454.44,79.16,316
right,24,256,444.6,71.9,318
down,36,256,455.72,75.76,320
right,27,256,443.92,68.24,324
down,26,256,441.28,66,326
left,21,256,460.04,74.74,328
left,34,256,459.36,74.96,330
up,38,256,460.96,71.42,334
left,37,256,467.96,74.76,336
left,40,256,469.36,75.22,338
left,33,256,467.44,72.74,342
up,32,256,457.44,66.14,346
right,31,256,459.72,65.42,348
down,26,256,462.4,64.74,350
left,24,256,459.72,61.26,352
down,26,256,464.96,64.18,354
up,33,256,459.52,58.18,356
left,28,256,465.08,62.42,358
right,37,256,473.92,64.18,360
down,34,256,472.84,63.28,362
left,32,256,465.92,56.98,366
left,32,256,473.6,59.9,368
down,35,256,469.24,57.1,370
up,38,256,474.08,59.02,372
right,31,256,474.32,57.54,374
up,30,256,481.88,62.42,376
right,33,256,481.4,60.26,378
up,33,256,470.56,53.06,380
right,25,256,476.04,55.28,382
down,27,256,477.04,53.68,384
right,29,256,468.64,47.5,386
up,31,256,477.28,51.4,388
left,28,256,473.92,49.28,390
down,25,256,487.44,54.76,392
left,22,256,486.04,52.86,394
up,25,256,491.36,53.62,396
left,27,256,493.76,56.2,398
up,27,256,494.72,54.06,400
right,35,256,496.96,54.2,402
right,35,256,496.84,54.7,404
down,23,256,498,51.8,408
right,28,256,500.8,50.96,412
left,25,256,503.08,51.8,414
up,24,256,515.12,56.64,416
right,37,256,520.44,57.88,418
down,31,256,519.84,57.04,420
up,33,256,526.32,59.7,422
up,35,256,526.44,58.88,424
down,23,256,528.88,59.72,426
down,28,256,523.52,54.94,428
up,31,256,522,51.66,430
left,27,256,519.84,50.74,432
left,35,256,523.24,51.32,434
up,30,256,522.56,51.1,436
right,23,256,524.68,50.32,438
left,31,256,529.4,51.48,442
down,27,256,524.12,46.42,444
right,38,256,532.52,50.74,446
right,32,256,536.68,50.92,448
down,33,256,534.4,48.66,452
right,23,256,533.56,45.24,454
left,34,256,536.6,46,456
right,30,256,537.84,45.8,458
left,29,256,541.6,48.26,460
down,28,256,540.84,45.54,462
down,29,256,542.56,45.3,464
up,24,256,532.24,39.86,466
right,29,256,538.08,40.92,468
right,35,256,538.28,39.1,470
left,24,256,540.6,40.34,472
up,26,256,542.04,40.96,474
right,29,256,540.12,39.34,476
down,30,256,559,47.4,478
left,31,256,556.84,44.38,480
up,30,256,560.32,44.76,482
left,26,256,572.24,50.44,484
right,35,256,561.28,44.46,486
left,34,256,558.72,41.24,488
up,31,256,562.8,42.88,490
left,31,256,565.72,44.18,492
up,27,256,568.04,44.3,494
right,29,256,575.64,47.02,496
right,28,256,560.32,36.92,498
up,32,256,569.4,41.04,500
left,16,256,576.92,43.4,502
down,24,256,573.48,40.54,504
left,25,256,578.08,43.32,506
up,26,256,581.16,44.42,508
left,29,256,578.28,40.06,510
up,33,256,587.44,44.74,512
left,22,256,582.76,40.82,514
right,18,256,600.88,51.86,516
up,30,256,605.52,51.66,518
right,37,256,597.96,46.42,520
left,40,256,600.76,46.16,522
right,17,256,593.92,38.58,524
down,29,256,603,45.12,526
left,33,256,608.96,47.64,528
down,31,256,602.2,41.86,530
left,25,256,624.56,52.9,532
up,32,256,643.6,62.98,534
up,32,256,663.44,73.34,536
left,36,256,677.84,78.18,538
down,44,256,691.64,86.02,540
up,33,256,701.2,89.3,542
right,33,256,701.16,88.5,544
down,36,512,703.56,87.68,546
left,32,512,701.68,85.38,550
left,40,512,706.8,86.32,554
left,41,512,714.48,89.24,558
right,32,512,702.44,80.6,560
right,37,512,699.08,76.92,562
right,44,512,712.88,85.46,564
left,35,512,698.56,73.68,566
down,52,512,701.32,74.38,568
up,41,512,698.96,72.1,570
left,36,512,704.44,74.92,572
up,39,512,713.76,78.5,576
left,31,512,707.24,72.42,578
up,35,512,718.48,76.76,580
left,33,512,717.6,76.3,582
right,32,512,710,70.26,584
up,42,512,714.92,73.24,586
up,42,512,713.48,72.34,588
up,33,512,703.88,65.2,590
right,31,512,702.2,62.86,592
right,32,512,703.68,61.58,596
up,37,512,699.84,57.22,598
right,37,512,709.68,63.62,600
right,34,512,707.08,59.98,602
up,35,512,727.32,71.58,604
left,28,512,716.4,63.26,606
up,42,512,717.48,61.74,608
up,42,512,720,62.52,610
right,29,512,724.08,63.66,612
left,32,512,726.52,62.8,614
left,43,512,721.36,60.88,616
down,37,512,728.6,61.64,618
left,31,512,724.6,59.18,620
right,31,512,726.6,60.14,622
down,37,512,734.28,63.68,624
right,31,512,734.4,62.78,626
up,18,512,738.08,62.8,628
down,29,512,738.4,62.6,630
down,29,512,727.84,56.8,632
up,26,512,732.32,57.48,634
left,27,512,732.8,56.12,636
right,22,512,728.96,51.5,638
right,32,512,730.76,53.26,640
left,31,512,731.52,50.82,642
up,32,512,733.04,50.88,644
up,30,512,736.08,50.88,646
down,24,512,739.76,53.14,648
left,32,512,751.52,58.92,650
right,39,512,751.28,57.82,652
left,41,512,762.44,62.08,654
down,31,512,764,62.92,656
up,32,512,756.48,56.1,658
down,40,512,758,56.62,660
right,34,512,763.24,56.84,664
left,25,512,769.76,58.32,668
right,41,512,765.76,55.44,670
up,28,512,766.92,56.04,672
left,34,512,769.96,55.74,676
left,27,512,760.48,46.76,678
down,33,512,765,48.9,680
up,36,512,772.64,53.56,682
right,27,512,784.76,58.98,684
down,35,512,784.8,55.44,686
right,24,512,794.32,61.14,688
up,37,512,792.08,59.04,690
right,29,512,787.6,56.78,692
up,22,512,787,54.38,694
right,23,512,782.76,49.12,696
right,37,512,793.56,54.42,700
left,18,512,788,49.7,704
down,13,512,785.72,46.98,706
right,23,512,796.76,52.62,708
down,33,512,796.4,51.12,710
up,31,512,789.64,45.56,712
down,22,512,793.96,46.44,714
up,23,512,793.96,43.82,716
right,29,512,806.52,50.48,718
right,30,512,802.12,47.66,720
up,31,512,801.88,46.2,722
up,35,512,806.84,48.36,724
left,25,512,805,46.6,726
down,26,512,812.28,48.64,728
left,32,512,811.36,45.98,730
up,28,512,813.88,46.52,732
down,35,512,814.24,45.24,734
up,20,512,810.28,44.18,738
down,26,512,819.8,46.04,740
up,31,512,813.04,42.6,744
up,28,512,817.04,42.8,746
