Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,56,2,286.24,151.66,6
left,58,4,275.68,145.72,8
down,74,4,269.72,139.92,10
up,47,4,282.24,148.08,12
up,59,4,283.8,147.82,14
left,47,4,284.04,145.12,16
left,62,4,269.72,137.78,18
up,57,8,259.52,130.2,20
right,67,8,285.48,142.56,22
up,62,8,260.92,128.64,24
up,45,8,274.16,134.58,26
up,50,8,259.32,127.26,28
down,42,8,264.64,128.58,32
up,38,8,279.2,132.44,34
down,57,16,276.92,130.6,36
right,48,16,261.08,124.62,38
right,53,16,280.32,131.94,40
left,27,16,264.52,119.86,44
up,41,16,284.88,131.06,46
left,70,16,273.08,122.44,48
down,82,16,278.36,126.6,50
down,472,16,289.48,128.9,52
left,47,16,280.96,126.1,54
left,54,16,277.4,121.46,56
right,27,16,278.8,120.74,58
down,53,32,275.84,117.94,60
right,62,32,264.96,113.32,64
left,59,32,282.2,118.22,66
right,52,32,271.88,111.24,70
up,48,32,269.92,108.4,72
up,69,32,269.44,108.56,74
right,33,32,285.2,113.54,76
down,45,32,269.72,106.66,78
right,51,32,276.72,108.22,80
up,42,32,281.6,110.64,82
right,52,32,282.2,110.58,84
left,42,32,274.2,104.14,86
down,51,32,291.36,113.26,88
left,44,32,287.28,109.32,90
right,49,32,283.96,105.54,92
left,52,32,280.76,101.44,96
up,39,32,289.6,105.14,100
up,38,32,301.64,109.22,104
down,33,32,270.2,92.16,106
down,55,32,298.84,106.84,108
right,49,32,285.48,98.86,110
down,49,64,290.84,100.8,114
down,51,64,289.36,98.14,116
up,41,64,283.4,91.24,118
down,35,64,282.72,90.22,120
left,44,64,279.32,87.14,122
right,32,64,286.8,90.6,124
down,43,64,294.64,93.54,126
up,41,64,295.08,92.92,128
down,31,64,267.16,77.12,130
down,49,64,292.08,90.66,132
down,46,64,280.76,83.66,134
left,38,64,289.04,84.96,136
right,32,64,279.24,79.66,138
down,37,64,286.96,84.32,140
up,37,64,293.16,86.32,142
down,21,64,270.12,73.18,144
down,29,64,287.12,80.14,146
right,27,64,286.12,76.92,150
right,33,64,288.24,76.12,152
down,43,64,295.24,79.56,154
left,26,64,283.04,72.78,156
right,25,64,293.52,76.96,160
left,34,64,296.28,75.34,162
right,40,64,287.44,71.08,166
