Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,39,4,266.84,140.86,6
left,42,4,264.24,137.66,8
down,51,4,275.32,146.24,10
up,53,4,278.4,143.68,12
left,48,4,283.6,145.32,14
down,48,8,275.44,138.66,16
right,50,8,284.6,142.92,18
down,87,8,269.8,135.66,20
up,53,8,283.72,142,22
up,62,8,281.04,140.22,24
left,57,8,298.8,148.6,26
down,53,8,282.12,140.04,28
down,61,8,282.72,137.36,30
right,61,16,283.04,136.18,32
up,58,16,280.48,134.62,34
up,64,16,278.44,132.6,36
down,42,16,279.96,131.82,38
right,247,16,263.8,120.74,40
left,48,16,276.96,127.86,44
right,53,16,290.12,131.92,46
down,37,16,262.4,116.46,48
up,49,16,275.36,124.26,50
down,44,16,273.08,119.62,52
right,31,16,258.16,111.12,54
down,32,16,281.28,123.46,56
left,32,16,275.92,119.56,58
up,32,16,279.48,119.66,62
left,40,32,275.32,117.66,64
left,42,32,278.68,115.82,66
up,43,32,274.12,111.82,70
down,42,32,270.96,108.08,72
down,48,32,280.88,113.08,74
right,29,32,276.8,112.94,76
up,52,32,272.08,106.02,78
right,58,32,277.2,109.74,80
left,55,32,287.12,113.38,82
up,44,32,292.84,116.22,84
down,44,32,287.24,110.78,86
up,52,32,273.4,101.62,88
down,39,32,270.44,99.44,90
down,50,32,279.88,103.82,92
left,54,32,276,99.66,94
right,46,32,270.4,97.74,96
up,57,32,275,96.54,98
down,30,32,273.92,96,100
left,47,64,273.84,95.48,102
down,61,64,296.24,105.88,104
up,39,64,282.88,98.82,106
left,33,64,284.12,97.58,108
up,33,64,280.08,95,110
right,24,64,298.72,105.1,112
left,31,64,272.4,88.86,114
down,56,64,297.68,102.16,116
right,41,64,295,97.8,118
left,37,64,291.32,95.44,120
up,45,64,307.52,104.74,122
left,55,64,287.28,91.98,124
right,24,64,308.68,101.9,126
up,31,64,292.68,93.64,128
left,50,64,293.44,90.96,132
down,59,64,306.68,97.96,134
up,49,64,299.56,93.78,136
down,50,64,294.92,88.06,138
down,55,64,282.76,79.36,140
right,39,64,293.08,85.72,142
down,32,64,313.12,93.64,146
left,43,64,312.36,94.28,148
left,41,64,318.52,92.96,150
down,54,64,310.48,88.4,152
left,47,64,344.84,106.68,154
down,32,128,331.6,96.44,156
up,33,128,314.64,88.08,158
left,35,128,327.2,93.9,160
left,60,128,330.08,94.4,162
right,75,128,330,92.96,164
left,57,128,339,96.02,168
left,51,128,321.76,84.06,170
right,42,128,337.28,92.36,172
right,39,128,321.4,83.24,174
down,68,128,326.6,84.72,176
left,60,128,327.8,85.42,178
left,45,128,342.52,92.02,180
right,37,128,319.2,77.32,182
left,28,128,322,78.2,184
right,33,128,323.36,75.7,186
up,31,128,318.12,73.74,190
right,34,128,328.88,76.24,192
down,24,128,315.28,67.88,194
left,40,128,328.16,74.5,196
up,45,128,336.32,77.2,198
up,36,128,331.44,73.32,202
up,34,128,320.48,66.06,204
up,42,128,327.52,69.46,206
right,36,128,340.6,75.1,208
right,35,128,334.4,70.5,210
left,37,128,338.24,73.2,212
up,63,128,338.76,72.02,214
down,44,128,330.64,65.62,216
left,35,128,332.2,66.1,218
down,39,128,336.52,66.12,220
up,33,128,350.32,75.52,222
left,35,128,335.12,64.94,224
down,22,128,350.24,70.76,228
right,28,128,351.32,68.94,230
left,35,128,336.52,60.68,234
down,44,128,348.76,65.22,236
right,23,128,363.76,71.84,238
right,29,128,335.4,54.16,240
down,27,128,343.24,57.78,242
right,32,128,360.68,68.04,244
down,32,128,348.52,57.42,246
left,18,128,352.2,60.26,248
up,35,128,361.48,62.86,250
up,32,128,339.64,49.84,252
right,32,128,358,58.9,254
right,33,128,349.68,54.92,256
down,30,128,358.76,56.54,258
right,28,128,352.96,54.06,260
up,36,128,346.56,48.24,264
down,35,128,361.84,55.68,266
left,32,128,356.36,51.28,268
right,29,128,347.48,45.42,270
right,28,128,357.76,48.74,272
up,20,128,363.12,49.98,274
left,31,128,362.24,48.58,276
left,38,128,360.72,46.86,278
left,34,128,365.96,49.28,280
down,28,128,368.8,50.66,282
down,28,128,358.96,45.1,284
left,25,128,372.12,51.18,286
up,27,128,357.12,41.2,288
right,24,128,358.2,40.6,292
left,23,128,363.68,41.16,294
left,26,128,368.4,42.36,296
left,32,128,363.48,38.32,298
up,27,128,369.92,42,300
down,16,128,385.68,49.76,302
up,24,128,403.92,58.82,304
right,18,128,396,52.22,306
right,28,128,403.84,54.14,310
up,21,128,393.32,47.92,314
right,22,128,393.32,43.84,316
down,36,128,400.72,48.32,318
left,26,128,403.76,48.46,320
down,26,128,412.96,53.5,322
right,24,128,415.04,51.92,324
left,36,128,434.36,63.56,328
