Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,52,4,271.36,142.62,6
right,51,4,276.44,143.94,8
left,60,4,281.88,147.36,10
left,60,4,269.96,139.32,12
right,57,4,285.28,144.86,14
down,57,4,285.08,143.34,16
down,55,8,275.44,138.3,18
down,57,8,267.2,133.68,20
right,53,8,290.2,148.66,22
down,61,8,286.48,143.46,24
left,32,8,262.92,127.56,26
down,48,8,283.32,136.16,28
up,33,8,270.88,133.16,30
left,54,8,296,144.2,32
left,51,8,294.56,141.8,34
down,42,8,259.72,122.08,36
left,52,8,291.08,138.72,38
right,43,8,266.12,124.92,40
down,55,16,273.28,126.8,44
right,47,16,293.04,138.26,46
up,43,16,291.68,135.42,48
left,55,16,283,126.92,50
up,36,16,256.8,111.82,54
right,31,16,263.6,113.68,56
down,106,32,268.04,115.26,58
left,67,32,275.64,122.36,60
right,41,32,281.6,121.22,62
down,36,32,270.48,113.86,64
down,50,32,272.56,114.58,66
left,72,32,280.28,117,68
right,31,32,271.36,109.94,70
left,36,32,264.84,106.04,72
right,65,32,283.08,114.66,74
up,42,32,281.4,115.4,76
down,52,32,270.16,105.56,78
right,253,32,267.52,104.04,82
down,49,32,275.6,106.28,84
down,52,32,280.12,110.22,86
right,47,32,272.64,99.98,88
up,33,32,272.44,100.96,90
left,32,32,263.2,97.16,92
up,36,32,274.84,100.24,94
left,35,32,274.92,99.52,96
down,45,32,277.36,99.56,98
right,37,32,285.8,102.02,100
down,37,32,266.56,88.7,104
left,42,32,282.72,97.54,108
left,35,32,270.16,89.3,110
right,29,32,284.4,97.98,112
up,26,64,286.2,96.02,114
down,32,64,273.68,88.86,118
up,52,64,285.16,92.52,120
right,37,64,283.76,92.76,122
down,25,64,273.68,84.64,124
right,25,64,271.96,82.24,126
right,32,64,273.08,80.96,128
up,30,64,271.96,80.74,130
left,39,64,274.44,81.98,132
up,45,64,259.2,70.7,134
down,25,64,284.08,81.06,136
left,35,64,285.28,83.86,138
up,37,64,286.72,82.7,140
down,28,64,270.04,72.34,142
left,48,64,275.84,76.72,144
right,42,64,287.28,79.8,146
up,29,64,272.04,68.88,148
down,35,64,276.8,71.96,150
up,24,64,293.24,79.1,152
left,43,64,291.92,77.04,154
right,46,64,318.88,90.1,156
up,37,64,303.32,81.34,158
left,28,64,305.8,80.96,160
left,54,64,317.76,86.06,162
down,50,64,332.64,94.4,164
left,62,128,335.52,94.48,166
left,55,128,332.88,90.98,168
up,48,128,329.52,88.14,170
up,45,128,330.04,87.44,172
down,27,128,310.48,76.6,174
left,125,128,330.48,86.62,176
up,30,128,322.56,81.72,178
down,56,128,331.72,86.84,180
right,54,128,316.12,76.2,182
up,46,128,323.08,78.04,184
right,36,128,326.04,79.94,186
left,37,128,342.96,87.6,188
down,81,128,331.08,78.54,190
left,62,128,325.76,73.3,192
right,36,128,334.24,77.9,194
up,39,128,320.8,70.24,196
left,39,128,327.88,71.88,198
up,27,128,327.72,72.66,200
right,56,128,335.48,74.82,202
up,62,128,331.12,70.72,204
right,68,128,358.84,85.92,206
up,37,128,346.52,78.8,208
up,36,128,340.68,74.34,212
up,38,128,352.48,78.14,214
down,55,128,345,73.46,216
right,45,128,340.32,69.82,218
up,36,128,332.88,64.38,220
right,27,128,330.36,61.62,224
down,26,128,345.12,68.68,226
up,27,128,354.92,72.36,228
right,85,128,347.92,67.48,230
right,74,128,353.56,67.66,232
up,27,128,355.72,69.72,234
down,22,128,344.16,62.5,238
down,34,128,360.16,67.72,240
left,71,128,355.68,65.74,244
right,49,128,354.48,62.3,246
down,28,128,353.28,60.14,248
down,37,128,364.76,64.96,250
left,27,128,374.16,69.58,254
left,33,128,359.52,58.52,256
down,82,128,358.56,58.76,258
down,39,128,358.36,56.84,260
right,57,128,357.16,54.76,262
left,71,128,365.76,58.66,264
up,42,128,363.92,57.6,266
right,30,128,378.04,64.34,268
up,89,128,365.84,54.8,270
left,29,128,367.2,55.4,272
left,28,128,369,55.36,274
down,58,128,380.16,60.38,276
right,36,128,361.04,48.28,278
down,29,128,361.64,47.72,280
right,60,128,368.8,51.86,282
left,56,128,365.56,49.18,284
right,38,128,361.24,43.86,286
left,33,128,370.84,47.48,288
up,22,128,394.92,61.7,290
left,27,128,387.56,55.28,292
down,54,128,393.88,58.5,294
right,35,128,392.36,57.02,298
right,43,128,391.44,53.92,300
left,22,128,360.2,34.7,302
right,26,128,420.52,67.48,304
up,42,128,435.2,74.36,306
right,63,128,444.28,76.28,310
down,64,128,434.12,69.76,312
right,28,128,453.32,78.46,314
down,62,256,445.88,74.62,316
up,38,256,454.16,76.48,320
right,52,256,448.4,70.06,322
down,58,256,454.64,73.08,324
left,68,256,463.64,77.24,326
right,83,256,444.16,65.18,328
down,72,256,460.36,72.56,330
left,39,256,450.32,67.68,332
down,46,256,449,64.64,334
up,47,256,459.04,69.7,336
right,33,256,472.72,74.12,338
left,90,256,466.36,71.02,340
down,39,256,467.72,72.24,342
left,48,256,468.84,71.26,344
left,32,256,461.84,64.58,348
up,23,256,471.64,69.12,350
up,41,256,474.32,69.38,352
right,39,256,469.4,65.76,354
down,32,256,475.24,67.44,356
left,43,256,472.64,64.54,358
left,35,256,468.12,61.5,360
up,45,256,457.64,55.98,364
up,48,256,471.28,60.04,366
down,49,256,465.08,55.28,370
right,30,256,465.76,52.64,372
left,42,256,471,56.42,374
right,31,256,480.44,60.68,376
up,27,256,474.56,56.7,380
down,26,256,473.36,52.6,382
up,43,256,475.44,53.9,384
left,36,256,485.32,58.78,386
left,35,256,474.6,50.68,388
right,26,256,474.72,48.82,390
up,26,256,471.68,46.48,392
left,26,256,482.16,51.02,394
right,27,256,479.16,48.28,396
left,22,256,475.2,44.42,398
right,27,256,472.52,42.72,402
up,24,256,469.4,39.06,404
up,18,256,468.2,37.02,406
left,24,256,477.16,39.82,408
down,22,256,471.84,35.52,410
right,29,256,489.32,45.14,412
up,27,256,497.28,48.14,414
left,19,256,496.16,46.94,416
right,29,256,499,45.48,420
left,33,256,500.28,44.8,424
up,26,256,499.56,43.84,426
down,19,256,497.48,40.28,428
left,15,256,505.04,44.56,430
up,33,256,522.64,53.98,432
up,29,256,521.12,51.02,434
right,19,256,519.88,46.64,436
right,32,256,521.24,46.78,438
up,26,256,526.28,51.04,440
left,33,256,529.12,50.6,442
right,38,256,513.2,39.46,444
down,21,256,524.28,46.72,446
up,18,256,519.96,42.4,448
right,26,256,526.6,45.2,450
left,25,256,538.12,51.32,452
down,29,256,531.48,45.8,456
right,34,256,544.16,49.62,458
up,33,256,551.08,55.64,462
up,30,256,553.12,51.18,464
up,246,256,548.48,48.18,466
down,46,256,550.48,48.1,468
right,20,256,546.92,45.66,470
up,41,256,551.28,45.46,472
left,25,256,548.56,44.2,474
right,23,256,553.96,44.66,476
right,27,256,555.96,44.34,478
right,52,256,559.92,46.88,480
right,56,256,565.4,47.42,482
up,47,256,565.2,47.76,484
left,23,256,559.8,42.78,486
right,42,256,562.52,43.64,488
down,38,256,565.44,44.34,490
left,42,256,565.04,42.84,492
left,39,256,571.64,45.14,494
right,30,256,569.16,42.86,496
down,43,256,570.28,40.44,498
right,38,256,579.76,48.34,500
left,17,256,575.12,43.9,502
up,23,256,578.2,43.12,504
right,23,256,572.8,39.08,506
right,28,256,584.36,44.22,508
up,25,256,576.8,39.38,510
left,41,256,576.96,38.9,512
up,25,256,578.32,38.72,514
right,34,256,577.92,37,516
up,25,256,587.04,41.18,518
down,27,256,580.36,36.54,520
left,27,256,579.92,34.96,522
up,28,256,580.72,32.62,524
right,29,256,591.92,37.86,526
up,35,256,588.28,35.14,528
left,30,256,597.88,39.7,530
right,28,256,598.92,40.38,532
down,30,256,601.88,39.38,534
up,31,256,615.6,46.88,536
left,34,256,608.6,42.7,538
down,29,256,627.48,50.8,540
down,52,256,619.96,46.42,542
right,21,256,622.4,46.78,544
up,28,256,631.36,48.18,546
right,38,256,634.52,49.62,548
down,46,256,657.76,61.24,550
right,48,256,660.84,62.1,552
right,51,256,668.16,65.42,554
down,48,256,671.28,64.96,556
right,38,256,679.56,69.04,558
up,38,256,684.04,69.16,560
down,40,256,697.2,76.44,562
up,41,256,687.04,69.2,564
up,51,256,695.36,74.4,566
left,41,256,684.4,66.12,568
up,36,256,687.96,66.76,570
right,33,256,692.84,69.82,572
down,44,256,695.8,68.76,574
right,43,512,715.88,79.2,576
down,37,512,702.44,72.06,578
right,37,512,709.24,74.58,580
up,33,512,709.64,71.62,582
left,29,512,694.8,62.58,584
up,36,512,701.64,65.62,586
left,30,512,701.64,65.54,588
right,31,512,710.28,67.8,590
left,23,512,700.32,62.82,592
right,36,512,707.92,65.72,594
down,35,512,694.44,56.5,596
up,35,512,704.12,60.78,598
right,36,512,696.32,55.16,600
down,32,512,703.6,59.04,602
left,22,512,696.92,54.7,604
up,25,512,706.88,58,606
up,40,512,704.8,56.62,608
down,24,512,705.44,54.94,610
left,27,512,714.84,58.56,612
down,29,512,715.64,58.64,614
down,36,512,706.8,51.5,618
right,27,512,708.44,50.86,620
up,34,512,709.76,51.72,622
up,35,512,721.2,57.26,626
left,26,512,721.32,55.66,628
right,35,512,714.08,49.26,630
up,26,512,722.84,52.22,632
up,36,512,733.64,57.62,636
left,32,512,727.92,51.74,638
right,32,512,727.28,52.2,640
left,17,512,719.76,45.26,642
right,38,512,735.04,53.26,644
up,25,512,735.88,51.6,646
up,41,512,738,52.08,648
up,43,512,745.92,57.62,650
down,48,512,741.68,51.22,652
up,24,512,738.72,48.86,654
up,26,512,742.08,51.1,656
right,27,512,739.96,48.44,658
up,33,512,755.6,56.88,660
left,26,512,738.08,43.36,662
up,22,512,741.72,44.74,664
right,27,512,764.04,57.5,666
up,29,512,765.12,54.3,668
down,28,512,780.32,62.26,670
left,29,512,787.56,66.48,672
up,46,512,778.56,60.52,674
left,35,512,782.08,61.18,676
right,28,512,778.88,59.18,678
down,26,512,779.12,56.78,680
up,39,512,780,55.84,682
left,21,512,785.32,59.62,684
right,35,512,777.28,53.16,688
left,23,512,788.04,56.78,690
down,47,512,790.64,56.6,692
down,29,512,785.4,53.42,696
left,28,512,799,58.82,698
left,37,512,798.64,57.3,700
down,27,512,796.56,54.62,702
down,35,512,791.28,52.18,706
down,38,512,795.52,50.1,708
left,24,512,789.68,47.46,710
down,24,512,786.32,44.6,712
left,25,512,797.04,49.42,714
left,25,512,787.52,42.34,716
up,40,512,793.96,44.2,718
left,152,512,793.88,43.92,722
up,175,512,799.84,43.62,724
left,130,512,804.2,45.78,726
up,121,512,801.84,41.88,728
left,72,512,804.96,44.06,730
left,28,512,809.16,45.16,732
up,22,512,804.76,42.7,734
down,20,512,815.96,46.84,736
left,31,512,814.44,43.62,740
down,31,512,812.92,42.86,742
up,24,512,811,39.64,744
right,37,512,821.4,44.48,746
up,31,512,815.8,38.96,748
up,28,512,818.96,41.1,750
down,29,512,817.32,38.66,752
left,33,512,828.76,45.14,754
down,23,512,828.72,42.8,756
up,17,512,820.36,35.96,760
left,23,512,826.68,38.06,762
down,28,512,839.56,44.22,764
down,39,512,835,38.94,766
down,26,512,826.16,33.78,768
left,35,512,835.56,38.84,770
down,30,512,843.4,43.62,772
right,25,512,835.64,36.82,774
down,33,512,836.76,36.08,776
up,27,512,830.84,32.18,778
right,28,512,848.56,40.64,780
down,25,512,847.56,39.2,782
left,33,512,868.92,48.26,784
left,27,512,860.76,42.28,786
down,29,512,877.56,51.32,788
right,36,512,891.12,59.1,790
down,32,512,898.76,60.76,794
right,39,512,902.84,60.6,796
up,44,512,899.56,57.92,798
down,42,512,907.56,61.38,800
down,36,512,903.8,60.92,802
up,50,512,907.24,58.12,804
right,53,512,906.08,55.66,806
up,57,512,912.96,58.16,808
right,50,512,907.92,55.16,810
right,51,512,912.6,57.42,812
left,49,512,905.48,52.46,814
down,51,512,917,56.16,816
left,56,512,925.08,61.34,820
right,42,512,917.76,55.4,822
right,44,512,919.72,55.42,826
right,45,512,920.2,52.98,828
right,45,512,914.52,48.22,830
right,267,512,913.76,45.92,834
left,30,512,916.8,47.84,836
up,25,512,915.92,45.62,838
up,34,512,922.88,47.82,840
right,37,512,923.64,46.54,842
down,38,512,928.68,48.46,844
right,29,512,919.6,42.08,848
up,45,512,925.92,45.32,850
down,46,512,937.6,50.16,852
left,33,512,939.28,47.58,854
up,41,512,947.32,54.02,856
right,38,512,944.64,49.34,858
left,38,512,943.56,49.76,860
down,38,512,946.28,48.92,862
left,33,512,945.2,47.4,864
right,41,512,947.12,46.74,866
up,39,512,948.56,46.54,868
down,35,512,948.76,45.36,870
up,50,512,948.76,43.48,874
left,31,512,955.8,47.54,876
up,33,512,945.36,38.96,878
left,37,512,946.4,40.56,882
down,37,512,945.28,34.58,884
left,38,512,947.92,37.06,886
right,28,512,949.8,38.22,888
down,48,512,951.8,37.12,890
down,51,512,953.88,35.74,892
right,36,512,947.6,31.82,894
left,16,512,944.32,29.86,896
up,42,512,955.44,34.6,898
right,27,512,956.8,34,900
down,38,512,955.2,32.1,902
left,24,512,957.64,32.66,904
up,38,512,962.76,34.64,906
right,20,512,962.96,34.16,908
up,43,512,971.48,37.78,910
down,21,512,966.56,30.74,912
up,27,512,970.76,33.74,914
down,36,512,973.92,34.82,916
right,34,512,971.48,30.98,918
left,59,512,986.8,39.62,920
down,47,512,986.2,37.18,922
up,45,512,993.08,40.84,924
right,45,512,996.6,41.6,928
down,33,512,996.24,40.08,930
left,24,512,995.16,37.78,932
up,28,512,994.2,36.2,934
right,29,512,997.88,35.34,936
down,35,512,1001.24,37.46,938
left,36,512,1004.2,37.76,942
up,19,512,1003.44,35.46,944
right,44,512,1006.88,36.38,946
up,39,512,1012.76,39.22,948
up,36,512,1013.4,36.86,950
up,52,512,1007.2,32.92,952
down,46,512,1013.2,36.44,954
right,63,512,1011.76,33.5,956
up,40,512,1016.76,34.88,960
down,46,512,1019.8,35.68,964
left,26,512,1021.72,35.58,968
left,24,512,1024.36,32.02,970
left,35,512,1027,33.98,972
down,37,512,1023.88,30.16,974
up,42,512,1018.32,25.9,976
left,29,512,1026.04,29.16,978
down,34,512,1027.08,28.88,980
right,36,512,1024.2,26.1,982
up,35,512,1026.88,26.14,984
left,25,512,1026.68,25.64,986
down,26,512,1029.8,25.76,988
down,27,512,1027.72,23.66,992
down,34,512,1036.92,27.4,994
left,21,512,1040,26.22,996
right,33,512,1043.56,29.44,998
up,21,512,1042.8,25.48,1000
left,42,512,1044.08,24.9,1002
right,33,512,1048.84,26.94,1004
down,34,512,1050.84,27.42,1006
left,28,512,1053.4,26.16,1008
left,36,512,1060.4,30.02,1012
right,44,512,1058,26.58,1014
up,43,512,1070.68,33,1018
up,28,512,1061,24.44,1020
left,34,512,1063,25.82,1022
up,37,512,1077.6,31.5,1024
right,42,512,1085.72,36.24,1026
left,27,512,1076.64,28.74,1028
down,28,512,1083.44,31.92,1030
right,44,512,1092,37.16,1032
down,33,512,1097.8,38.3,1034
down,31,512,1101.32,37.1,1036
left,30,512,1103.32,39.2,1038
up,46,512,1115.6,43.84,1040
down,43,512,1140.6,55.08,1042
right,65,512,1142.52,56.28,1044
right,46,512,1152,60.02,1046
up,41,512,1161.92,63.92,1048
right,52,512,1164.68,65.8,1050
up,56,512,1175.32,69.62,1052
right,68,512,1161.96,61.76,1054
up,60,512,1172.76,67.96,1056
left,53,512,1159.72,57.32,1060
up,41,512,1183.56,70.02,1062
right,39,512,1184.76,68.8,1064
down,76,512,1198,75.28,1066
left,43,512,1205.04,75.12,1068
down,49,512,1217.92,81.74,1070
left,64,1024,1216.52,81.7,1072
up,48,1024,1217.52,80.32,1074
right,54,1024,1219.52,82.48,1076
up,63,1024,1219,78.98,1078
right,43,1024,1213.4,76,1080
left,33,1024,1213.96,74.5,1082
up,46,1024,1217.36,76.08,1084
left,43,1024,1213.24,70.64,1086
down,45,1024,1219.76,76.22,1088
right,42,1024,1222.28,73.92,1092
right,51,1024,1232.96,78.88,1094
right,51,1024,1226.92,74.1,1096
down,38,1024,1230.24,74.14,1098
left,48,1024,1229.88,73.68,1100
down,48,1024,1228.4,71.16,1102
right,50,1024,1226.4,68.66,1104
left,29,1024,1223.76,66.54,1106
up,43,1024,1241.72,76.32,1108
left,58,1024,1236.32,70.5,1110
right,42,1024,1230.12,65.84,1112
left,50,1024,1236.04,70.82,1114
up,43,1024,1239.2,69.1,1116
right,45,1024,1240.96,68.22,1118
left,36,1024,1240.44,68.58,1120
down,27,1024,1243.4,69.7,1122
down,53,1024,1239.4,65.38,1124
right,44,1024,1230.64,60.32,1126
left,45,1024,1234.68,60.48,1128
down,30,1024,1235.48,60.52,1130
up,35,1024,1240.96,62.92,1132
up,38,1024,1234.52,58.2,1134
down,29,1024,1233.28,56.32,1136
up,57,1024,1237.12,57.62,1138
up,35,1024,1239.76,56.9,1140
up,38,1024,1241.84,55.88,1142
left,35,1024,1240.84,54.72,1144
down,38,1024,1245.72,57.72,1146
left,39,1024,1248.68,58.38,1148
right,44,1024,1248.8,57.28,1150
down,36,1024,1247,53.3,1152
up,31,1024,1242.36,50.86,1154
right,28,1024,1243.48,49.98,1158
up,35,1024,1244.32,49.14,1160
down,23,1024,1243.84,47.1,1162
up,33,1024,1248.24,49.64,1166
up,29,1024,1250.04,48.86,1168
right,49,1024,1237.92,39.5,1170
up,28,1024,1245.24,42.12,1172
right,34,1024,1250.72,44.96,1174
down,36,1024,1248.8,43.32,1176
right,32,1024,1248.88,43.02,1178
down,27,1024,1265.88,50.66,1180
right,38,1024,1279.8,56.94,1182
left,21,1024,1287.52,59.4,1184
up,31,1024,1290.92,59.8,1186
down,38,1024,1296.72,61.88,1188
right,42,1024,1294.92,59.96,1190
left,34,1024,1299.92,62.66,1192
down,50,1024,1295,57.92,1194
up,34,1024,1290.48,54.32,1196
left,30,1024,1297.32,57.62,1198
down,35,1024,1297.8,56.74,1200
up,41,1024,1299.28,56.54,1204
right,25,1024,1299.04,54.54,1206
left,25,1024,1298.44,52.86,1208
left,37,1024,1297.48,49.84,1210
up,34,1024,1301.24,51.88,1212
right,197,1024,1306.08,53.3,1214
right,37,1024,1297.8,47.44,1216
up,27,1024,1297.52,47.18,1218
down,27,1024,1295.64,44.48,1220
left,59,1024,1294.96,42.74,1222
up,22,1024,1304.44,47.48,1224
right,33,1024,1301.68,43.94,1226
right,34,1024,1306.12,44.34,1230
down,24,1024,1306.28,43.56,1232
right,28,1024,1305.84,42.46,1234
right,30,1024,1315.48,46.94,1236
right,36,1024,1310.04,41.68,1238
down,34,1024,1307.56,39.88,1240
up,27,1024,1304.04,36.74,1242
up,28,1024,1303.2,35.64,1244
down,18,1024,1309.96,37.76,1248
right,22,1024,1316.52,39.06,1250
down,24,1024,1334.04,49.16,1252
up,25,1024,1324.72,41.5,1254
left,28,1024,1331.92,44.98,1256
down,16,1024,1331.4,44,1258
right,20,1024,1335.56,44.76,1260
left,38,1024,1338.24,43.94,1262
down,32,1024,1345.52,46.7,1264
left,71,1024,1347.16,46.64,1266
up,40,1024,1344.68,44.44,1268
up,33,1024,1335.48,39,1270
left,29,1024,1341.4,41.88,1272
left,37,1024,1337.68,36.66,1274
right,50,1024,1343.96,40.74,1276
up,43,1024,1336.96,36.06,1278
down,22,1024,1336.32,33.62,1280
down,32,1024,1345.84,37.92,1284
down,26,1024,1346.12,36.28,1286
right,27,1024,1344.52,34.06,1288
up,30,1024,1353.64,36.88,1290
down,28,1024,1347.2,33.04,1292
left,24,1024,1352,34.46,1296
left,21,1024,1347,30.44,1298
down,19,1024,1344.08,26.16,1300
right,21,1024,1344.44,25.8,1302
left,23,1024,1350.44,27.68,1304
up,22,1024,1349.2,26.48,1306
up,41,1024,1353.88,28.02,1308
down,30,1024,1356.84,28.02,1310
left,17,1024,1354.88,25.92,1312
up,17,1024,1369.48,32.52,1314
right,20,1024,1387.32,42.02,1316
right,32,1024,1400.88,47.94,1318
up,28,1024,1398.56,45.88,1320
right,45,1024,1410.68,53.14,1322
up,28,1024,1408.32,49.8,1324
left,34,1024,1418.84,53.82,1326
up,35,1024,1417.48,51.08,1328
right,30,1024,1423.92,52.86,1330
up,30,1024,1426.76,54,1332
up,36,1024,1429.8,55.9,1336
left,32,1024,1431.32,53.98,1338
right,31,1024,1432.44,53.5,1340
right,35,1024,1432.64,52.1,1344
up,31,1024,1435.32,52.18,1346
down,29,1024,1437.16,51.38,1348
left,47,1024,1437.56,50.08,1350
up,27,1024,1442.64,51.12,1352
right,38,1024,1441.44,51.74,1354
down,30,1024,1450.08,54.46,1356
down,34,1024,1442.04,47.44,1360
left,30,1024,1451.72,52.64,1362
up,26,1024,1453.08,52.38,1364
up,32,1024,1450.92,50.04,1366
left,39,1024,1448.24,47.54,1368
down,30,1024,1461.72,53.72,1370
down,33,1024,1454.24,47.4,1372
up,24,1024,1455.84,45.76,1374
down,19,1024,1452,43.6,1376
right,38,1024,1455.08,45.88,1378
down,33,1024,1455.76,44.12,1380
left,23,1024,1455.68,43.86,1382
right,31,1024,1460.32,45.08,1384
down,33,1024,1462.8,44.98,1386
right,47,1024,1462.96,42.64,1388
down,25,1024,1463.72,43.58,1390
right,25,1024,1463.52,41.34,1392
right,17,1024,1467.8,42.82,1394
down,20,1024,1469.24,43.42,1396
right,41,1024,1466.72,40.42,1398
right,27,1024,1472.56,42.6,1400
left,30,1024,1473.68,42.2,1402
right,30,1024,1472.64,41.66,1404
left,23,1024,1468.84,37.76,1406
left,26,1024,1469.6,36.16,1408
right,28,1024,1467.32,33.18,1410
down,28,1024,1471.96,35.16,1412
up,26,1024,1469.24,33.18,1414
right,31,1024,1471.8,34.5,1416
right,25,1024,1465.84,29.48,1418
left,19,1024,1465.44,28.6,1420
up,27,1024,1479.16,35.52,1422
right,23,1024,1488.44,37.32,1424
up,23,1024,1492.4,39.04,1426
down,27,1024,1499.92,42.74,1428
