Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,57,4,276.04,142.94,8
down,51,4,276.96,146.3,10
up,83,4,280.56,144.46,12
right,63,8,282.88,147.02,14
up,50,8,255.2,130.24,16
left,48,8,277.04,140.02,18
right,62,8,277.56,139.4,20
right,47,8,263,128.96,22
left,59,8,269.72,132.96,24
down,40,8,269.96,133.14,28
down,58,8,279.48,137.2,30
left,34,8,291.04,141.78,32
left,48,16,266,126.92,34
right,63,16,276.52,130.78,36
up,65,16,294.44,140.52,38
up,58,16,275.96,127.18,40
down,46,16,267.2,121.48,42
down,52,16,267.4,122.96,44
up,69,16,266.8,121.14,48
right,71,16,265.76,117.2,50
up,56,16,285.44,128.26,54
left,45,16,268.88,117.54,56
up,45,16,281.76,121.8,58
right,33,16,285.76,126.64,60
left,31,16,268.52,113.9,62
down,43,32,276.36,117.56,64
right,31,32,286.68,121.8,66
up,44,32,280.56,119.14,70
right,41,32,277.8,114.44,72
right,42,32,261.64,102.34,74
up,43,32,274.68,110.92,76
down,28,32,270,107.52,78
down,37,32,273.56,109.98,80
up,58,32,286.72,113.58,82
up,50,32,283.88,109.46,84
left,43,32,277.64,107.38,86
right,44,32,282.32,106.28,88
up,49,64,281.64,107.34,92
up,52,64,288.16,108.74,94
right,43,64,287.44,106,96
right,58,64,287.52,106.38,98
up,42,64,278.8,99.56,100
right,51,64,294.56,106.4,102
right,41,64,294.84,105.74,104
right,49,64,283.4,97.52,106
right,45,64,293.4,105.3,108
up,41,64,285.36,96.2,110
right,44,64,285.68,96.38,112
up,53,64,292.2,99.4,114
down,40,64,285.96,95.12,116
up,27,64,287,93.2,118
right,45,64,282.72,90.58,120
left,35,64,283.04,89.08,122
right,41,64,284.96,92.2,124
right,49,64,296.2,96.48,126
right,52,64,286.88,89.3,128
left,41,64,288.68,87.84,130
up,40,64,281.2,82.48,132
down,50,64,291.76,90.42,134
down,48,64,294.52,88.38,136
down,43,64,284.04,80.96,138
left,30,64,284.04,82.02,142
right,43,64,279.08,75.76,144
left,29,64,289.24,79.6,148
down,41,64,287.8,77.2,150
right,56,64,310.32,88.42,152
up,44,64,302.32,82.86,154
down,39,64,299.56,80.28,158
left,30,64,303.04,79.38,162
up,40,64,311.96,84,164
left,36,64,326.08,89.42,166
right,42,64,334.32,91.98,170
down,31,64,332.52,90.44,172
right,45,128,321.96,83.52,174
left,48,128,329.84,87.44,176
right,41,128,330.2,86.62,180
down,54,128,317.36,76.62,182
right,52,128,328.72,80.78,184
left,28,128,322.52,78.22,186
down,48,128,326.36,80.68,188
up,37,128,324.6,77.26,190
left,30,128,321.96,75.04,192
left,31,128,328.4,75.9,194
down,43,128,330.92,75.74,196
down,32,128,324.96,70.98,198
left,28,128,317.92,66.38,200
up,41,128,322.96,69.82,202
down,19,128,308.92,60.72,204
right,32,128,324.2,66.64,206
left,26,128,324.76,66.4,208
right,33,128,314.16,61.2,210
left,31,128,311.16,57.72,212
left,32,128,318.64,60.62,214
up,24,128,314.44,56.76,216
down,30,128,324.6,60.64,218
right,21,128,303.36,47.98,220
left,34,128,328.56,59.82,222
up,27,128,335.24,63.38,226
right,34,128,329.4,59.12,228
up,34,128,317.52,50.78,230
down,33,128,317,50.14,234
right,27,128,335.4,57.22,236
down,38,128,349.08,64.74,238
left,44,128,343.36,59.22,240
right,34,128,344.96,58.88,242
down,37,128,351.64,60.66,244
right,30,128,358.68,66.7,246
left,38,128,360.72,65.58,248
right,22,128,349.44,56.36,250
right,45,128,371.96,68.56,252
up,35,128,350.48,56.82,254
down,40,128,373.32,66.84,256
up,22,128,360.52,58.46,258
left,23,128,349.56,52.52,262
right,23,128,338.04,43.66,264
up,25,128,352.88,50.6,266
down,29,128,356.08,50.5,268
right,26,128,364.68,55.38,270
right,31,128,365.12,53.12,272
up,33,128,368.36,54.66,274
left,26,128,349.56,43.06,276
up,26,128,372.24,52.7,278
down,25,128,383.48,60.06,280
left,42,128,389.4,60.72,282
down,40,128,396.92,64.46,284
right,52,128,423.04,77.34,286
right,228,128,421.8,74.44,290
down,38,128,427.72,75.16,292
down,34,128,452.08,90.88,294
up,40,128,444.52,82.28,296
right,39,256,442.76,83,298
left,42,256,449.72,83.04,300
up,30,256,444.48,81.48,302
down,30,256,446.08,80.46,304
left,39,256,453.96,82.72,306
left,48,256,454.84,81.9,308
up,35,256,452.88,82,310
down,18,256,454.2,78.66,312
left,33,256,440.52,69.12,314
up,29,256,444.36,71.78,316
right,41,256,454.96,76.96,318
left,46,256,452.68,74.34,320
down,49,256,453.84,74.54,324
up,37,256,457.68,74.14,326
up,36,256,441.08,64.56,328
down,37,256,449.6,67.66,330
up,30,256,444.04,63.18,332
down,37,256,450.84,65.58,334
left,53,256,444,62.36,336
down,27,256,452.08,64.66,338
left,41,256,469.32,75.54,340
up,33,256,448.36,61.62,342
right,47,256,453.84,64.08,344
left,33,256,456.28,63.58,346
up,31,256,455.12,62.56,348
right,34,256,468.28,68.4,352
up,24,256,462.28,63.64,354
up,28,256,463.88,62.08,356
