Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,56,2,270.4,141.52,6
up,62,4,276.76,146.16,8
left,67,4,281.4,147.62,10
left,78,4,287.88,148.54,12
left,60,4,284.68,146.3,14
up,61,4,281.36,141.74,16
down,61,8,278,138.38,18
up,53,8,279.24,139.9,20
right,51,8,283.4,142.96,22
down,63,8,282.08,139,24
left,25,8,250.08,121.14,28
right,45,8,285.36,140,32
left,37,8,268.68,126.28,34
left,61,8,282.8,137,36
right,46,8,277.28,129.56,38
up,50,8,271.72,127.42,40
right,52,8,275.12,127.36,42
up,46,8,268.2,124.88,44
up,60,8,284.84,131.06,46
up,44,8,284.76,130.48,48
left,50,8,264.44,116.18,50
right,46,16,261.92,119.66,52
up,35,16,265.56,115.92,54
up,47,16,271.52,118.78,56
down,47,16,280.68,121.62,58
right,40,16,276.32,119.58,60
left,41,16,284.52,124.08,62
left,40,16,270.12,113.5,64
right,39,16,276.2,116.96,66
up,25,16,274.08,113.3,68
left,43,16,266.64,107.16,70
left,39,16,271.64,109.98,72
up,42,16,284.68,116.22,74
right,38,16,267.04,106.54,76
left,44,16,298.8,122.28,78
right,143,16,273.4,107.98,80
up,41,32,280.2,110.88,84
left,37,32,279.32,108.54,86
right,38,32,288.08,109.54,90
up,45,32,297.28,112.4,92
up,31,32,267.76,95.74,94
right,38,32,292.68,109.62,96
left,30,32,269.56,95.94,98
left,41,32,299.08,112.22,100
left,53,32,278.2,98.96,102
up,44,32,285.08,98.8,104
up,33,32,266.72,88.98,106
down,37,32,285.8,98.42,108
right,30,32,290.52,99.14,110
left,47,32,270.88,87.52,112
left,38,32,275.2,89.54,114
right,43,32,277.04,90.88,116
up,34,64,270.8,84.84,118
left,37,64,291.2,96.2,120
up,38,64,286.6,91.96,122
up,58,64,293.56,93.96,124
left,35,64,286.16,87.84,128
left,35,64,289,89.76,130
up,28,64,279.64,83.64,134
left,34,64,289.16,87.4,136
up,36,64,293.8,87.38,138
up,35,64,300.12,89.18,140
up,42,64,291.84,83.08,142
left,37,64,285.64,78.66,144
right,34,64,281.48,78.12,148
left,41,64,286.08,75.84,150
up,30,64,305.04,86.52,152
up,37,64,307.28,85.02,156
down,35,64,322.24,91.78,158
right,31,64,322.92,90.48,160
down,31,128,323,91.18,162
left,41,128,319.88,85.78,164
right,32,128,340.88,96.32,166
left,31,128,321.36,83.84,168
down,37,128,334,91.7,170
left,41,128,335.04,90.12,172
right,30,128,325.44,84.12,174
right,48,128,321.24,82.52,178
up,45,128,321.6,80.96,182
left,46,128,324.92,81.04,184
left,41,128,321.96,76.62,188
down,38,128,329.52,79.62,190
down,51,128,327.68,75.16,192
right,44,128,319.04,71.5,194
down,35,128,322.56,71.76,196
right,36,128,328.88,73.9,198
right,38,128,324.88,70.12,200
up,34,128,329.2,72.62,204
down,44,128,340.52,77.82,206
right,39,128,332,70.64,208
up,21,128,324.08,66.16,210
down,59,128,323.32,62.86,212
down,107,128,332.72,67.12,214
right,33,128,334.84,68.34,218
left,15,128,321.92,59.24,220
right,36,128,331.28,61.42,222
up,38,128,342.12,68.08,224
up,36,128,341.8,67.2,226
right,34,128,343.76,65.72,228
down,40,128,334.24,58.84,230
right,31,128,333.84,59.3,232
up,30,128,336.8,59.8,234
up,29,128,327,52.9,236
down,17,128,329.44,52.2,238
right,28,128,343.24,59.78,240
up,19,128,332.8,52.44,242
down,27,128,349.6,61.16,244
down,30,128,346.76,58.58,246
left,30,128,357.28,62.42,248
right,30,128,357.16,61.6,250
down,31,128,354.04,58.3,252
down,31,128,355.12,57.8,254
right,29,128,366.2,62.74,256
up,28,128,361.16,60.2,258
right,31,128,374.04,63.76,260
down,38,128,386.72,72.12,262
right,32,128,383.16,68.1,266
right,27,128,391.68,67.36,268
up,33,128,407.28,79.04,270
right,38,128,412.88,78.66,272
up,40,128,436.8,89.32,274
right,39,128,439,92,276
up,32,128,443.72,91.8,278
down,38,128,444.92,89.24,280
left,38,256,455.88,95.46,282
up,38,256,452.44,92.08,284
left,44,256,446.96,88.02,286
right,38,256,450.88,91.2,288
right,59,256,451.8,91.82,290
right,45,256,455.72,92.44,292
down,35,256,442.88,83.7,296
up,37,256,440.56,79.38,298
left,33,256,448.64,84.7,300
left,37,256,444.76,79.32,302
left,37,256,451.48,83.36,306
down,27,256,448.08,76.82,308
left,27,256,445.64,75.98,310
right,19,256,435.32,70.16,312
up,40,256,446.36,74.98,314
up,34,256,444.4,71.34,316
left,33,256,440.6,68.86,320
up,31,256,436.4,64.42,322
up,32,256,442.12,66.72,324
left,24,256,450.48,71.82,326
left,35,256,461.8,76.72,330
down,33,256,459.92,72.06,332
left,29,256,450.72,67.44,334
left,32,256,454.08,67.84,336
up,33,256,449.92,63.5,338
up,33,256,445.48,60.86,340
down,26,256,443.64,58.32,342
down,33,256,447.24,59.66,344
right,29,256,446.68,57.92,348
up,18,256,458.36,62.62,350
right,31,256,447.88,56.62,352
left,20,256,446.68,53.7,354
left,35,256,447.56,54.82,356
left,30,256,445.44,50.72,358
down,28,256,446.28,49.08,360
left,22,256,456.8,55.02,362
down,28,256,453.96,52.54,364
right,26,256,448.64,48.02,366
right,34,256,467.72,57.74,368
up,30,256,467.24,55.46,370
left,28,256,473.48,57.68,372
down,37,256,462.84,52.48,374
up,27,256,455.88,47.34,376
left,27,256,468.76,52.4,378
right,28,256,477.12,56.36,380
down,34,256,474.12,52.08,384
right,30,256,481.88,55.56,386
up,29,256,481.64,55.62,388
down,21,256,477.08,49.88,390
right,29,256,477.32,50.1,392
down,27,256,477.56,50.9,394
down,26,256,475.52,46.38,396
up,19,256,476.04,47.7,398
left,26,256,478.96,47.44,400
left,15,256,475.24,43.78,402
right,15,256,475.08,40.88,404
up,19,256,474,41.04,406
down,22,256,478.8,40.98,408
down,24,256,493.64,49,410
left,35,256,498.2,49.8,412
down,34,256,510.6,56.72,414
up,25,256,498.36,48.7,416
left,31,256,511.2,52.78,418
up,25,256,517.24,55.56,420
up,32,256,529.16,61.9,422
left,24,256,521.6,54.9,424
down,32,256,534.96,61.4,426
up,31,256,531.04,57.98,428
down,29,256,521.48,52.92,430
right,33,256,526.4,55.14,432
up,30,256,524.68,52.92,434
left,30,256,530.64,54.42,436
down,22,256,524.76,50.5,438
left,28,256,530.16,52.02,440
down,23,256,532,53.32,442
right,26,256,522.96,46.28,444
left,20,256,526.44,47.12,446
right,21,256,531.28,47.84,450
up,36,256,538.28,50.62,452
down,27,256,526.72,43.7,454
left,17,256,531.76,43.78,456
up,23,256,539.96,47.74,458
up,24,256,535.68,44.74,462
up,146,256,543.56,46.22,464
down,26,256,529.2,38.04,466
left,47,256,542.48,44.2,468
up,23,256,539.52,40.9,470
left,25,256,539.44,40.12,472
right,22,256,554.64,45.96,474
down,26,256,540.28,38.78,476
right,26,256,557.72,45.18,478
right,25,256,544.4,36.84,480
down,21,256,553.68,42.74,482
up,18,256,551.16,40.16,484
left,26,256,567.96,50,486
left,28,256,564.56,45.52,488
left,28,256,558.96,39.38,490
down,19,256,558,39.02,492
up,26,256,557.48,38.34,494
down,20,256,549.2,31.88,496
left,35,256,563.08,38.08,498
up,35,256,579.96,47.36,500
down,42,256,574.76,42,502
left,27,256,579.44,43.92,504
left,26,256,584.28,46.24,506
down,21,256,580.6,41.84,508
left,25,256,580.8,41.94,512
up,15,256,571.32,33.44,514
left,24,256,574.68,34.4,518
right,18,256,580.84,35.3,520
left,23,256,596.88,44.98,522
down,25,256,600.04,45.6,524
up,18,256,611.48,50.68,528
down,31,256,613.24,47.9,530
left,25,256,610.28,46.02,532
right,20,256,630.52,55.28,534
up,19,256,651.08,68.14,536
up,30,256,651.08,63.4,538
right,40,256,679.64,76.2,540
up,28,256,669.36,72,544
left,30,256,672.56,71.7,546
up,28,256,688.28,77.72,548
left,33,256,692.68,79.16,550
left,40,256,709.52,88.7,552
up,30,512,705.16,85.9,554
right,37,512,703.12,83.68,556
up,36,512,702,80.5,558
down,30,512,706.52,81.58,560
up,27,512,711,83.44,562
right,35,512,708.16,80.68,564
down,30,512,706.92,79.64,566
left,33,512,706.96,77.8,568
up,26,512,705.8,77.54,570
down,32,512,701.68,74.66,572
up,26,512,698.08,69.98,574
down,34,512,696,66.12,576
right,33,512,706.08,72.04,578
up,37,512,709.68,73.06,580
left,50,512,720.08,76.96,582
down,39,512,701.12,67.42,584
down,56,512,698.8,64.02,586
right,28,512,699.84,64.5,588
left,31,512,713.24,71.28,590
down,33,512,715.24,69.28,592
up,55,512,704.12,62.78,594
down,45,512,705.48,61.1,596
right,32,512,719.24,68.54,598
up,26,512,718.96,66.44,600
down,33,512,723.76,70.12,602
up,22,512,724.32,68.06,604
left,28,512,730.12,72.46,606
down,34,512,716.76,62.96,608
down,40,512,719.28,62.1,610
up,19,512,726.44,65.56,612
right,31,512,731.04,67.86,614
down,34,512,727.24,64.28,616
left,32,512,723,61.42,618
left,32,512,727.16,63.82,620
down,29,512,730.2,62.18,622
up,24,512,721.2,55.78,624
down,24,512,718.12,53.48,626
down,27,512,716.48,51.6,628
right,23,512,715.16,49.24,630
down,24,512,730.8,55.84,632
right,26,512,734.36,57.84,634
right,27,512,727.84,53.22,636
down,53,512,737,56.38,640
up,30,512,732.64,51.68,642
down,26,512,731.88,50.24,644
right,21,512,736.76,55.38,646
up,28,512,732.2,48.88,648
up,30,512,736.48,50.2,650
down,31,512,736,50.26,652
right,20,512,729.48,43.5,654
