Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,57,2,271.6,145.92,6
left,69,2,271.76,142.94,8
left,66,4,276.32,141.84,10
left,58,4,260.92,132.32,12
right,59,4,284.84,146.12,14
down,53,4,279.64,144.72,16
right,55,4,284.52,146.64,18
down,47,4,271.84,137.62,20
up,50,8,274.56,136.88,22
left,35,8,284.32,144.56,24
right,197,16,272.4,132.72,26
left,193,16,268.04,130.5,28
left,106,16,276.76,134.72,30
right,751,16,266.68,127.14,32
down,52,16,277.2,130.54,34
right,43,16,285.96,136.26,36
down,62,16,271.2,128.74,38
up,62,16,275.68,129.1,40
down,180,16,277.16,128.44,42
down,50,16,272.56,125.26,46
left,53,16,283.4,129.74,48
up,43,16,267.72,119.68,50
down,55,16,288.76,132.02,52
left,40,16,274.72,122.42,54
left,46,16,273.36,121.24,58
down,47,16,263.48,112,60
left,50,16,268.44,113.96,62
left,46,16,276.28,116.54,64
up,33,16,250.32,101.7,66
down,152,16,267.8,111.72,68
left,39,16,276.88,115.66,70
right,43,16,272.2,111.08,72
left,35,16,259.72,103.28,74
left,40,16,268.24,108.7,76
right,30,16,278.4,111.38,78
left,57,16,277.28,108.66,80
right,43,16,270.04,105.3,82
up,45,16,271.8,105.2,84
left,31,32,274.76,104.84,86
up,40,32,287.2,114.2,88
up,42,32,262.52,94.84,90
left,46,32,284.68,107.9,92
left,45,32,286.8,107.58,94
left,42,32,294.88,111.24,96
down,49,64,284.92,102.88,100
up,49,64,289.04,105.68,102
up,43,64,282.28,98.24,104
right,60,64,296.4,105.88,106
left,41,64,269,90.04,108
right,47,64,287.08,97.94,110
down,60,64,278.04,91.88,114
down,54,64,281.52,90.5,116
left,57,64,290.92,96.38,118
down,45,64,286.52,94.3,120
down,44,64,279.8,89.2,122
left,50,64,285.68,91.86,124
right,42,64,295.72,94.46,126
up,53,64,290,89.7,128
right,42,64,296.44,94.74,132
right,53,64,288.6,88.3,134
up,39,64,290.48,85.8,136
down,45,64,291.96,87.72,138
