Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,53,2,277.08,147.58,6
up,51,4,281.72,147.68,8
down,70,4,284.36,150.52,12
up,70,4,285.52,145.76,14
right,59,4,283.76,144.04,18
up,55,8,277.48,140.12,20
up,58,8,268.44,134.04,22
left,48,8,266.4,132.06,24
left,62,8,274.6,136.12,26
down,73,8,282.4,140.92,30
down,74,8,275.28,132.92,32
right,39,16,273.24,130.5,34
left,36,16,278.48,134.1,36
down,48,16,273.52,126.7,40
right,74,16,292.68,139.14,42
left,61,16,269.32,122.94,44
down,34,16,269.16,121.82,48
right,46,32,282.36,127.12,52
down,35,32,283.72,125.86,54
left,54,32,271.72,118.04,56
up,45,32,271.92,117.22,58
left,52,32,272.88,117.46,60
down,48,32,272.28,114.74,62
up,47,32,274.28,114.78,64
left,50,32,263.88,111,66
down,26,32,272.6,111.82,68
up,54,32,274.2,114.1,70
down,23,32,272.12,110.94,72
left,51,32,269.64,107.76,74
up,45,32,270.4,107.82,76
down,37,32,293.52,120.14,78
up,43,32,278.16,109.5,80
right,33,32,269.44,102.18,82
left,28,32,266.08,101.78,84
right,59,32,280.08,108.18,86
left,44,32,269.88,100.82,88
left,40,32,284.24,106.3,90
left,43,32,290.44,109.46,92
down,58,32,283.84,105.66,94
up,36,32,285.6,106.44,96
up,51,32,285.28,105.28,98
right,36,64,288.2,104.5,100
down,49,64,280.36,99.48,102
left,37,64,271.64,93.62,104
down,52,64,291,101.84,106
down,50,64,286,99.5,108
left,38,64,298.84,103.82,110
left,39,64,286.64,97.26,112
up,37,64,284.08,94.16,114
right,37,64,287.68,95.8,116
up,49,64,284.88,92.9,118
down,36,64,293.04,97.2,120
down,35,64,303.84,101.98,122
right,40,64,281.92,88.14,124
right,50,64,278.28,85.24,126
left,45,64,281.44,84.58,128
down,49,64,293.04,89.92,132
up,45,64,276,79.58,134
left,39,64,271.72,76.24,136
down,35,64,291.24,87.34,138
right,35,64,285.08,82.66,140
up,34,64,278.6,77.92,142
down,33,64,286.12,80.92,144
left,39,64,285.84,78.38,146
down,31,64,300.96,85.22,148
left,32,64,295.96,82.74,150
down,33,64,291.4,79.26,152
left,48,64,306.92,88.28,154
left,47,64,302.64,83.86,156
up,47,64,315.36,88.32,158
left,35,64,324.28,91.66,160
up,47,64,338.2,99.88,162
down,33,128,318.88,85.76,164
down,32,128,319.56,85.26,166
up,25,128,328.04,88.52,168
right,32,128,325.96,87.1,170
up,40,128,323.08,83.82,172
left,32,128,317.84,79.1,174
right,39,128,321.8,81.2,176
down,37,128,337.44,89.54,178
up,41,128,330.4,85.94,180
down,28,128,330.64,83.08,182
left,38,128,318.8,74.3,184
up,27,128,333.24,81.52,186
down,36,128,332.04,82.26,188
up,35,128,340.64,84.72,190
left,34,128,334.36,82,192
left,37,128,337.72,79.76,194
down,32,128,331.32,77.74,196
right,27,128,327.2,72.88,198
up,48,128,344.24,81.08,200
up,36,128,329.72,72.58,202
left,27,128,323.56,69.16,204
right,32,128,324.64,67.34,208
down,33,128,337.04,71.28,212
up,31,128,341.04,72.96,214
up,34,128,334.68,66.32,218
left,26,128,334.76,65.26,220
right,35,128,346.52,69.56,222
left,31,128,352.36,72.4,224
up,35,128,350.28,70.92,226
right,25,128,346.68,68,228
down,36,128,347,65.98,230
up,25,128,359.88,73.9,232
down,35,128,348.88,64.88,234
down,46,128,354.76,67.76,236
up,50,128,357.88,69.16,238
left,39,128,351.2,63.3,240
down,37,128,357.04,66.9,242
down,39,128,354.24,64.38,244
up,172,128,347.56,57.48,246
left,45,128,352.68,60.5,248
right,46,128,353.68,59.12,252
left,40,128,348.52,55.02,254
right,30,128,351.56,56.22,258
up,35,128,366.88,62.82,260
left,32,128,357,54.56,262
down,36,128,357.32,53.82,266
left,17,128,351.2,48.22,270
up,28,128,361.84,51.5,272
left,24,128,353.32,44.76,274
up,26,128,363.4,50.82,276
down,26,128,366.08,50.36,278
left,33,128,364.32,48.06,282
down,33,128,370.96,50.26,284
up,25,128,382.04,55.84,286
left,25,128,377.44,51.48,288
right,26,128,381.52,52.36,290
right,33,128,390.24,57.3,292
down,35,128,408.92,64.48,294
right,40,128,423,70.06,296
right,42,128,437.32,78.9,298
up,48,128,439.52,80.18,300
left,39,128,459.08,86.96,302
down,41,256,435.12,72.88,304
up,36,256,444.56,78.16,308
down,34,256,442.92,74.2,310
left,35,256,445.88,75.44,312
up,37,256,447,75.36,316
down,24,256,443.68,71.54,318
left,49,256,450.84,75.16,320
right,40,256,450.24,73.62,322
down,23,256,449.76,72.46,324
up,25,256,449.72,71.94,326
up,44,256,446.68,66.34,328
right,38,256,457.24,72.18,330
down,35,256,448.2,66.88,332
left,47,256,449.72,65.54,336
down,33,256,449.16,63.64,338
right,19,256,436.32,56.28,340
down,29,256,451.64,63,342
left,36,256,456.28,64.66,344
down,29,256,457,65.18,346
up,21,256,444.96,55.74,348
up,38,256,462.2,64.78,350
down,27,256,466,63.78,354
right,39,256,466.08,63.72,358
left,41,256,450.16,51.28,360
down,26,256,460.96,55.64,362
right,23,256,466.84,59.76,364
right,37,256,463.36,55.3,366
left,40,256,459.08,52.38,370
up,32,256,457.88,50.38,372
down,44,256,467.92,52.92,374
up,42,256,464.4,52.16,378
down,35,256,467.6,50.6,380
left,36,256,469.32,52.14,382
right,33,256,466.16,48.62,384
up,34,256,459.16,44.3,386
down,29,256,453.6,38.9,390
left,30,256,464,41.7,392
left,41,256,481.84,51.2,396
right,29,256,480,48.34,398
up,35,256,491.4,53.7,400
down,35,256,505.04,59.44,402
up,33,256,491.52,49.32,404
right,33,256,500.64,54.24,406
right,36,256,501.76,53.92,408
right,29,256,510.36,57.44,410
down,30,256,517.76,61.04,412
left,23,256,526.56,63.84,414
right,42,256,527.72,64,416
down,39,256,526.04,60.58,418
up,32,256,529.72,64.98,420
right,29,256,528.04,61.58,422
down,29,256,526.32,57.96,424
right,37,256,531.84,59.9,426
down,42,256,531.76,59.42,428
up,42,256,530.92,57.94,430
left,34,256,534.88,59.04,432
right,28,256,535.6,58.34,434
right,33,256,540.96,60.36,436
up,31,256,529.16,52.66,438
up,32,256,530.08,51.88,442
right,25,256,530.24,49.38,446
down,27,256,531.36,48.8,448
right,23,256,526.04,43.94,450
down,29,256,547.56,57.26,452
right,24,256,541.32,50.6,454
down,41,256,532.6,44.38,456
up,33,256,542.52,49.44,458
up,31,256,545.12,50.72,460
left,40,256,535.36,44.08,462
up,24,256,533.84,42.14,464
up,27,256,532,40.02,466
right,30,256,542.08,44.76,470
down,19,256,534.36,38.08,472
down,33,256,537.2,37.74,474
up,15,256,526.12,30.66,476
down,23,256,529.72,31.14,478
left,21,256,535.84,33.7,480
down,25,256,551.4,42.18,482
up,35,256,549.24,39.78,484
right,31,256,556.24,39.84,486
right,28,256,548.68,33.98,488
left,23,256,568.8,47.2,490
left,27,256,570.72,46.02,492
down,26,256,556.96,37.08,494
up,27,256,560.36,38.96,496
right,28,256,555.04,34.38,498
right,18,256,556.36,34.8,500
left,17,256,552.04,29.14,502
down,27,256,559.52,32.38,504
right,32,256,571.52,38.82,506
up,30,256,573.52,40.58,508
right,26,256,575.92,39.66,510
