Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,64,4,277.36,145.98,10
down,63,4,275.6,142.52,12
right,33,4,284.52,147.38,14
down,43,4,278.48,142.92,16
right,54,4,272.56,137.24,20
right,56,4,271.08,133.7,22
left,45,4,272.04,136.2,24
up,43,4,275,138.4,26
up,51,8,280.36,138.38,30
down,35,8,270.24,130.12,32
down,52,8,266.48,129.4,34
down,62,8,295.32,140.52,36
right,45,8,266.52,123.26,38
up,24,8,266.4,122.56,40
right,40,8,289.04,136.74,42
up,38,8,284.88,133.58,44
right,36,8,277.92,126.76,46
up,46,16,276.48,124.54,50
left,33,16,275.08,120.7,52
down,49,16,264.68,116.26,54
down,51,16,276.44,121.32,56
right,46,32,276.52,119.94,58
right,51,32,279.12,122.12,62
left,23,32,260.52,107.98,64
up,38,32,280.12,118.44,66
down,51,32,284.04,118.34,68
up,30,32,268.6,109.16,70
left,47,32,264.92,107.42,72
right,42,32,264.48,104.72,74
right,46,32,279.72,113.68,76
up,46,32,279.36,111.7,78
left,53,32,263.92,101.26,80
left,49,32,281.68,109.46,84
down,47,32,279.72,107.44,86
up,50,32,269.4,100.34,88
up,46,32,284.32,107.6,90
down,239,32,264.72,96.42,92
left,31,32,292.84,109.68,94
down,37,32,288.44,106.24,96
right,41,32,277.12,97.94,98
up,41,32,269.28,93.52,100
up,43,32,310.28,118.14,102
right,38,64,277.16,94.58,104
left,34,64,289.76,101.6,106
left,48,64,288.84,99.18,108
down,44,64,291.88,100.3,110
up,47,64,301.88,105.42,112
left,46,64,289.72,98.12,114
down,38,64,296.2,100.6,116
left,45,64,290.92,97.54,118
left,41,64,292.08,97.18,120
right,41,64,290.8,94.3,122
right,41,64,283.28,87.48,124
left,45,64,283.56,89.3,126
left,44,64,289.36,91.42,128
right,38,64,294.2,92.12,130
up,46,64,279.12,83.26,132
down,55,64,276.72,79.46,134
left,24,64,286.44,85.08,136
right,36,64,288.68,85.4,138
down,34,64,277.52,78.98,140
up,32,64,277.08,75.96,142
left,36,64,297.2,86.26,144
up,38,64,285.6,79.72,146
up,50,64,286.16,77.92,148
right,46,64,311.56,90.06,150
right,40,64,308.16,87.38,152
up,34,64,297.2,79.76,154
down,36,64,309.64,85.28,156
down,45,64,310.56,84.74,158
left,33,64,325.2,90.68,160
down,39,64,325.4,88.84,162
right,60,64,322.28,87.18,164
left,52,64,326.2,88.06,166
right,40,64,321.68,86.7,168
right,58,64,325.04,86.16,170
down,45,128,326.12,86.5,172
right,43,128,330.4,86.9,174
up,53,128,316.2,78.96,176
up,63,128,315.64,78.28,180
right,46,128,331.64,85.28,182
down,29,128,334.28,84.3,184
down,57,128,329.32,79.68,186
left,47,128,326.8,81.02,190
left,47,128,322.28,73.94,192
right,35,128,303.96,61.46,194
left,36,128,323.56,73.9,196
right,27,128,309.36,63.48,198
up,36,128,316.6,64.6,200
left,38,128,318.28,66.9,202
right,30,128,321.96,67.62,204
left,39,128,316.36,63.08,206
up,38,128,317.28,64.38,208
right,39,128,325.52,65.78,210
up,42,128,322.12,65.24,212
down,31,128,327.64,65.48,214
down,33,128,321.88,61.08,216
right,21,128,309.08,52.54,218
right,23,128,321.56,58.2,220
right,32,128,330.48,62.3,222
up,37,128,336.8,64.68,224
left,29,128,350.32,71.68,226
left,29,128,324.8,55.62,228
down,26,128,341.32,65.74,230
down,32,128,324.16,52.42,232
up,38,128,337.28,58.84,234
right,30,128,340.88,59.74,236
left,45,128,357.48,66.1,238
right,39,128,347.88,61.6,240
right,37,128,364.44,69.42,242
up,36,128,350.72,61.46,246
right,35,128,354.84,62.04,248
up,43,128,352.88,60.08,250
left,29,128,347.36,55.1,252
down,32,128,358.08,60.06,254
