Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,44,4,289.2,154.74,8
down,34,4,274.4,143.02,10
left,32,4,266.64,136.82,12
up,37,8,295.8,154.54,14
down,32,8,257.72,130.34,16
right,42,8,287.64,146.12,18
left,41,8,264.84,131.92,22
left,39,8,272.2,136.32,24
right,38,8,263.04,129.08,26
left,27,8,270.16,130.22,28
right,47,8,293.52,144.28,30
down,40,8,275.04,134.16,32
right,44,8,278.84,134.02,36
up,38,8,278.44,131.5,38
left,39,8,279.6,131.56,40
left,40,8,279.48,129.76,42
right,32,8,297.68,138.38,44
left,33,8,278.72,127.24,46
right,39,8,267.44,121.94,48
up,39,16,285.32,129.36,50
down,35,16,269.16,116.86,52
left,41,16,266.68,116.62,54
left,41,16,271.76,117.36,56
left,42,16,275.72,122.72,58
down,37,16,274.32,117.36,60
left,40,16,286.2,123.98,62
up,59,32,259,106.68,64
down,28,32,264.96,108.3,68
right,38,32,272.12,110.26,70
right,40,32,273.12,110.68,72
left,40,32,281.4,115.04,74
right,22,32,284.4,113.6,76
up,30,32,276.4,110.68,78
left,32,32,276.76,108.64,80
right,37,32,282.12,110.42,82
up,32,32,263.8,100.1,84
down,35,32,278.36,106.18,88
down,37,32,277.52,102.5,90
left,37,32,275.84,102.36,92
down,29,32,271.2,97.12,94
right,33,32,295.8,109.48,98
up,30,32,285.68,105.64,100
right,30,32,285.6,101,102
left,37,32,278.56,97.66,104
right,31,32,273.44,93.84,106
down,21,32,278.8,94.46,108
right,36,64,291.12,100.42,110
down,36,64,295.4,104.6,112
left,26,64,274.08,89.5,114
up,35,64,288.96,97.74,116
right,36,64,283.8,90.4,118
down,34,64,274.72,86.48,122
left,31,64,285.24,90.12,124
down,30,64,290.2,92.76,126
right,28,64,288.08,88.58,128
right,30,64,306.4,95.26,130
down,35,64,301.88,94.98,132
left,32,64,284.12,84.02,134
left,22,64,273.4,78.58,136
left,28,64,268.48,73.44,138
down,29,64,288.04,83.9,140
left,21,64,282.52,80.08,142
right,29,64,284.88,79.78,144
right,32,64,319.36,98.78,146
down,25,64,313.68,92.1,148
right,31,64,310.88,90.14,150
right,30,64,299.44,82.8,152
down,28,64,308.8,86.48,154
up,34,64,323.68,95.04,158
down,29,64,310.4,83.46,160
right,26,64,306.64,82.74,162
left,27,64,318.08,86.42,164
up,28,64,317.16,83.96,166
right,30,64,318.92,83.16,168
right,25,64,302.76,77.42,172
left,28,64,325.04,86.14,174
up,27,128,323.44,83.6,176
down,29,128,331.84,86.16,180
left,21,128,328.44,83.96,182
right,30,128,325.28,79.62,184
down,29,128,330.36,81.84,186
left,22,128,315.76,72,188
down,21,128,333.92,82.08,192
up,20,128,328.16,76.02,194
left,23,128,330.12,74.68,196
up,26,128,325.2,71.28,198
left,26,128,336.76,77.32,200
down,23,128,324.32,68.6,202
left,24,128,327.64,70,204
up,24,128,325.56,68.92,206
down,22,128,333.2,71.22,208
left,21,128,324,63.68,210
right,20,128,324.08,62.32,212
up,22,128,332.8,70.3,214
up,24,128,336.48,71.54,216
left,23,128,338.36,67.7,218
down,25,128,334.36,65.02,220
right,15,128,362.4,78.08,222
up,33,128,353.76,72.62,224
