Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,67,2,277.4,146.62,6
left,67,4,266.76,137.94,8
down,74,4,266.32,140.94,10
left,68,4,279.76,145.54,12
up,50,8,269.76,141.24,14
up,62,8,276.04,141.48,16
down,220,8,264.16,133.26,18
up,167,8,293.56,147.72,20
left,136,8,279.32,139.54,22
up,129,8,272.76,133.7,24
down,132,8,267.68,132,26
left,97,16,273.68,133.14,28
up,53,16,273.28,133.1,30
up,81,16,273.2,131.78,32
right,55,16,277.04,130.52,34
down,84,16,274,129.64,36
up,62,16,272.72,129.92,38
up,61,16,268.88,123.2,42
down,71,16,260.04,118.06,44
left,260,16,267.76,120.84,46
down,70,16,283.56,128.64,48
left,58,16,281,126.64,52
left,53,16,283.04,126.94,54
right,50,16,273.48,121.96,56
right,239,16,287.2,126.34,58
down,45,16,279.6,120.28,60
up,37,16,281.88,121.06,62
down,43,16,264.64,110.6,64
right,45,16,278.24,116,66
up,56,16,280.64,117.26,68
left,57,32,274.24,112.18,70
up,44,32,278.52,112.32,72
down,57,32,269.84,107.86,76
right,39,32,267.16,103.7,78
down,66,32,283.72,112.48,80
right,59,32,280.28,109.52,82
down,54,32,273.44,103.66,86
up,44,32,280.64,106.94,88
right,41,32,276.76,105.54,90
left,44,32,280.88,105,92
right,59,32,293,110.92,94
left,44,32,279.76,102.56,96
up,43,32,280.88,102.82,100
left,35,32,293.96,106.2,102
left,61,64,277.96,97.9,104
right,36,64,271.04,90.86,106
left,37,64,268.28,88.3,108
right,43,64,273.52,90.58,110
down,56,64,285.28,96.8,112
right,52,64,277.44,91.34,114
left,36,64,277.72,89.32,116
down,63,64,285.52,93.2,118
down,92,64,297.88,99.88,120
up,62,64,283.52,91.88,122
left,38,64,274.08,85,124
down,51,64,280.92,85.16,126
up,61,64,286,89.66,128
down,55,64,276.08,81.62,130
right,42,64,288.2,87.36,132
left,33,64,271.2,76.16,134
up,30,64,278.48,79.94,138
left,46,64,278.52,78.38,140
up,51,64,282.16,77.58,142
right,49,64,284.96,77.9,144
left,41,64,293.56,83.26,146
right,48,64,277.92,73.04,148
down,56,64,281.44,75.5,150
right,37,64,290.52,78.7,152
up,47,64,287.76,75.88,154
up,63,64,306.36,86.26,156
left,22,64,295.36,77.52,158
up,45,64,317.16,86.52,160
down,49,64,319.72,88.26,162
right,71,64,325.72,90.04,164
left,44,64,320.52,85.66,168
right,50,64,311.88,79.58,170
up,51,64,320.84,82.58,172
down,72,64,330.4,88.16,174
right,46,64,331.32,88.1,176
right,42,64,318.44,78.56,178
left,44,64,322.6,79.66,180
left,40,64,323.76,79.86,184
right,56,64,311.52,72.34,186
up,41,64,317.6,72.34,188
left,41,128,316.6,71.88,190
right,35,128,325.44,76.82,192
left,34,128,330.52,74.82,194
down,30,128,330.96,76.06,196
left,45,128,337.08,79.62,198
left,36,128,343.6,81.92,200
right,48,128,316.16,65.08,202
left,42,128,337.52,76.24,204
right,29,128,329.64,71.02,206
down,55,128,328.64,68.8,208
down,60,128,341.24,74.54,210
right,44,128,349.4,77.66,212
left,33,128,363.8,83.5,216
up,60,128,358.48,79.42,218
right,47,128,349.92,73.92,220
right,44,128,376.4,88.08,222
up,30,128,363.92,78.58,224
up,34,128,357,74.84,226
left,41,128,370.72,82.16,228
right,38,128,344.4,65.94,232
up,37,128,357.76,71.68,234
down,23,128,341.6,61.4,236
up,31,128,368.08,73.94,238
left,41,128,355.28,65.3,240
right,35,128,364.24,69.62,242
up,36,128,372.72,72.4,244
right,49,128,363.76,65.96,246
left,38,128,368.88,68.08,248
up,51,128,374.2,71.98,250
left,40,128,357.08,60.34,252
up,32,128,357.8,60.42,256
right,88,128,362.84,59.76,260
up,58,128,362.56,57.42,262
down,59,128,371.12,62.56,264
right,42,128,363.12,56.18,266
left,54,128,366.16,58.36,268
up,62,128,376.8,61.96,270
right,86,128,422.48,83.02,274
left,49,128,401.56,68.92,276
up,48,128,422.76,80.18,280
right,42,128,426.52,81.24,282
down,65,128,446,89.12,284
left,43,128,442.84,86.98,286
down,56,256,458,95.12,288
up,52,256,450.08,90.06,292
left,49,256,448.68,87.12,294
down,47,256,444.44,83.7,296
right,61,256,455.72,89.08,298
down,55,256,450.72,84.96,300
up,46,256,448.76,82.08,302
up,52,256,455.24,85.58,304
left,48,256,443.36,78.4,306
down,39,256,446.36,76.84,308
left,38,256,466.12,86.62,310
right,57,256,440.68,74.06,312
up,43,256,448.16,76.64,314
right,44,256,456.48,80.04,316
left,36,256,452.12,75.18,318
right,38,256,451.52,74.12,320
