Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
up,66,2,274.12,143.56,6
up,51,4,274.36,143.48,8
up,53,4,276.12,143.52,10
down,48,4,273.72,142.8,12
right,68,4,274.68,141.04,14
down,56,4,282.32,143.38,16
right,51,8,287.12,145.24,18
left,44,8,272.08,136.02,22
up,44,8,284.84,144.3,24
right,30,8,263.68,130.22,26
down,37,8,283.12,138.18,28
right,57,8,288.04,141.08,30
down,50,8,267.36,129.44,32
right,60,8,274.92,130.02,34
down,45,8,283.92,135.22,36
up,57,8,293,139.44,38
right,53,8,285.64,134.3,40
up,34,16,264.92,122.42,42
left,42,16,270.88,124.54,44
right,35,16,263,117.36,48
right,43,16,268.92,122.16,50
left,36,16,264.28,117.6,52
down,73,16,281.16,124.94,54
left,46,16,270.2,118.68,56
right,47,16,285,125.48,58
up,47,16,270.52,114.76,60
left,52,16,280.96,118.54,62
right,40,16,275.84,118,64
left,53,16,277.96,118.44,66
left,43,16,257.32,102.58,68
up,39,16,294.32,122.74,70
left,31,32,288.2,120.96,72
left,44,32,283.32,114.72,74
right,38,32,263,103.2,76
right,40,32,268.6,104.78,78
up,50,32,287.6,115.32,80
down,65,32,286,111.98,82
right,44,32,284.56,111.04,84
down,38,32,288.28,109.88,86
down,46,32,291.64,113.46,88
down,42,32,293.52,110.9,90
left,41,64,295.36,113.06,92
left,38,64,275.16,99.94,94
down,44,64,283.2,104.96,96
up,29,64,282.72,102.34,98
left,38,64,301.32,110.66,100
down,52,64,291.24,104.24,102
up,52,64,281.84,97.6,104
down,44,64,287.88,100.56,106
left,35,64,299.8,105.7,108
right,41,64,270.92,87.64,110
right,38,64,293.12,101.16,112
left,28,64,282.28,92.42,114
right,30,64,286.84,95.08,116
left,31,64,285.48,93.44,118
left,38,64,295.96,97.36,120
up,39,64,276.92,86.9,122
left,42,64,287.64,90.9,124
down,41,64,295.44,94.4,126
right,40,64,275.92,82.76,128
down,33,64,281.4,83.32,130
left,27,64,283.72,84.84,132
left,33,64,288.48,88.84,134
left,41,64,302.08,92.7,138
down,37,64,290,83.72,140
left,49,64,291.44,84.88,142
right,52,64,285.76,79.34,144
left,37,64,293.52,85.06,146
right,43,64,279.56,73.92,150
left,20,64,270.68,68.14,152
right,36,64,275.92,69.26,154
right,38,64,277.76,69.24,156
up,32,64,300.08,79.2,158
right,34,64,296.2,76.18,160
down,32,64,299.2,77.6,162
left,36,64,296.88,73.68,164
up,43,64,316.76,85.2,166
left,46,64,337.8,94.6,168
