Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,44,4,278.52,147.76,6
up,44,4,276.64,144.64,8
left,54,4,274.6,144,12
down,74,4,270.68,138.12,14
left,54,8,284.08,143.94,16
up,48,8,274.76,140.9,18
right,44,8,272.64,136.84,20
down,48,8,272.32,135.08,22
down,61,8,288.52,144.36,24
right,52,8,278.68,138.88,28
up,47,8,264.08,127.82,30
up,43,8,280.96,134.62,32
right,48,8,277.4,134.14,34
down,35,16,270.4,129.04,36
right,37,16,261.92,123.66,38
up,45,16,277.48,130.64,40
right,43,16,266.84,123.56,42
down,45,16,276.68,128.2,44
right,42,16,289.28,132.96,46
up,44,32,268.8,120.16,48
up,47,32,279.88,125.68,52
up,43,32,281.84,125.5,54
up,37,32,277.64,120.58,56
left,41,32,266.12,114.48,58
down,36,32,272,116.22,60
up,160,32,279.96,120.08,62
left,44,32,293.6,128.06,64
down,38,32,270.52,114.5,66
down,39,32,265.08,108.42,68
left,41,32,285.08,117.74,70
right,22,32,268.32,109.08,72
left,39,32,272.96,110.72,74
down,31,32,263.84,103.32,76
left,38,32,266.24,104.74,78
up,41,32,277.6,110.26,80
left,31,32,276.32,107.28,82
down,29,32,268.2,101.52,86
up,44,32,270.8,102.2,88
down,45,32,268,99.48,90
left,37,32,264.16,93.98,92
down,54,32,275.24,100.04,94
right,39,32,277.88,100.82,96
right,40,32,286.8,103.1,98
up,200,32,275.28,99.44,100
left,56,32,282.4,101.16,102
right,43,32,277.96,97.26,104
down,26,32,270.4,92.48,108
up,42,32,289.4,100.28,110
left,30,64,287.32,97.44,112
right,31,64,283.08,97.22,116
right,41,64,301.8,103.26,118
up,40,64,287.96,95.4,120
right,33,64,283.28,89.74,124
up,34,64,280.8,85.96,126
down,32,64,286.4,88.84,128
left,27,64,267.92,78.04,130
down,34,64,271.36,78.16,132
right,35,64,286.76,87.1,136
up,37,64,274.32,77.64,138
left,27,64,290.64,84.48,142
right,41,64,296.64,86.18,144
up,34,64,281.88,78.02,146
right,32,64,279.84,74.74,148
left,27,64,290.6,78.42,150
up,37,64,309.64,90.04,152
up,35,64,318.6,92.98,154
up,37,64,326.08,95.84,158
left,35,64,334.2,97.18,160
left,40,64,328.4,91.94,162
right,43,64,331.56,94.54,164
up,43,128,329.96,89.58,166
left,32,128,322.44,84.98,168
left,39,128,325.16,87.52,170
up,27,128,317,81.98,172
up,32,128,314.24,78.32,174
down,24,128,314.48,77.04,176
left,42,128,330.28,83.66,178
left,36,128,321.56,80.58,180
up,29,128,323.16,77.22,182
right,37,128,333.64,82.96,184
down,34,128,327.88,78.4,186
right,35,128,329.16,78,188
right,33,128,329.8,76.46,190
down,38,128,326.44,74.34,192
right,33,128,327.96,74.24,196
left,33,128,325.44,71.9,198
down,34,128,329.04,72.26,200
left,36,128,334.04,74.38,202
right,37,128,344.04,79.38,204
up,26,128,331.88,73.02,206
right,33,128,329.88,71.74,210
down,34,128,341.08,72.1,212
right,37,128,330.72,67.12,214
up,34,128,337.64,70.54,216
right,30,128,321.92,59.82,218
down,38,128,348.04,72.36,220
up,30,128,342.72,67.78,222
up,38,128,353.24,73.74,224
right,26,128,333.52,61.58,226
right,33,128,349.6,68.32,228
up,39,128,350.76,67.16,230
down,41,128,355.52,69.54,232
down,47,128,358.32,70.3,234
up,24,128,368.4,75,236
right,29,128,350.4,64.9,238
right,40,128,348.32,61.66,240
down,37,128,343.88,57.08,242
up,51,128,358.28,67.38,244
right,60,128,346.76,57.68,246
up,41,128,366.64,67.6,250
down,30,128,353.92,59.2,252
right,28,128,352.96,56.5,254
left,33,128,361.28,59.04,258
right,25,128,353.8,54.5,260
up,37,128,360.32,57.98,262
left,29,128,359.84,55.34,264
down,29,128,363.76,56.64,266
right,24,128,371.2,58.72,268
up,30,128,379.76,62.42,270
right,34,128,383.76,63.3,272
down,31,128,371.08,55.32,274
down,50,128,404.84,73.88,276
left,29,128,389.48,62.92,278
up,24,128,379.68,54.72,280
left,31,128,413.12,71.38,282
up,37,128,423.92,77.16,284
left,39,128,438.8,84.22,286
left,40,128,450.68,90.84,288
down,39,256,441.04,82.82,290
down,36,256,450.44,89.04,292
up,44,256,447.36,85.12,296
right,38,256,450.92,83.28,298
right,36,256,448.12,81.28,302
down,37,256,449.24,81.32,304
right,41,256,448.28,79.88,306
