Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,34,4,274.52,145.42,6
down,26,4,264.68,137.36,8
up,58,4,280.24,146.5,10
right,55,4,292.44,151.98,12
left,48,4,272.04,140.32,14
down,40,4,281.68,142.68,16
up,55,8,284.8,146.28,20
up,43,8,283.12,141.28,22
left,43,8,283.88,140.88,24
down,34,8,293.16,146.9,26
right,45,16,284.92,142.6,28
down,41,16,277.76,135.26,30
left,37,16,278.6,135.88,32
up,42,16,293.2,143.76,34
down,40,16,267.8,124.94,36
right,40,16,261.72,120.72,38
down,34,16,288.6,135.96,40
right,35,16,272.56,125.96,42
up,32,16,288.44,135.34,44
down,22,16,263.08,117.48,46
up,27,16,273.72,121.62,48
right,30,16,285.28,126.9,50
up,43,16,288.72,132.08,52
left,42,16,277.92,122.66,54
down,41,16,281.36,125.32,56
right,36,32,285.36,125.56,58
down,40,32,290.32,127,60
left,35,32,274.44,116.96,62
up,33,32,264.88,110.44,64
right,39,32,273.64,113.9,66
right,31,32,271.32,112.8,68
down,38,32,272.72,112.18,70
right,39,32,269.24,108.64,72
left,32,32,285.28,116.44,74
right,42,32,281.56,113.66,76
left,36,32,282.2,110.52,78
up,39,32,290.44,117.48,80
down,30,32,263.4,98.26,82
up,30,32,272.64,103.52,84
down,32,32,269.16,101.14,86
right,32,32,266.16,97.6,88
left,38,32,275.84,102.88,90
left,34,32,275.48,100.82,92
up,28,32,269.08,98.86,94
left,49,32,262.64,92.88,98
down,41,32,274.4,96.42,100
down,36,32,273.08,95.4,104
down,35,32,264.36,87.72,108
down,42,32,271.6,89.26,112
right,32,32,278.2,93.2,114
up,30,32,277.12,91.1,118
up,34,32,270.96,83.28,120
left,22,32,274.64,83.6,122
right,22,32,272.36,83.8,124
down,22,32,291.8,94.6,126
left,23,32,274.64,82.82,128
up,32,32,270.24,77.46,130
left,26,32,284.32,86.04,132
up,29,32,302.52,93.84,134
up,31,32,293.2,88.4,136
down,28,32,281.88,80.82,138
right,21,64,282.56,78.88,140
left,29,64,303.12,89.52,142
left,23,64,284.8,79.64,144
down,22,64,282.48,74.78,146
left,33,64,288.28,78.2,148
down,24,64,287.24,77.48,150
up,26,64,299.92,83.64,152
right,20,64,306.08,85.64,154
up,22,64,303,81.62,158
down,30,64,322.96,89.92,160
left,34,128,320.64,87.64,162
up,31,128,334,94.74,164
left,22,128,336.32,96.12,168
up,27,128,324.08,85.38,170
right,31,128,325.44,83.38,172
up,25,128,338.28,93.46,174
left,30,128,332.16,87.4,176
down,26,128,321.68,80.54,178
up,27,128,330.56,85.96,180
left,29,128,322.56,77.58,182
left,32,128,329.2,81.04,184
up,32,128,333.48,84.08,186
right,15,128,323.04,75.92,188
left,29,128,328.96,78.48,190
down,28,128,339.4,84.16,194
down,25,128,329.28,74.38,196
down,29,128,340.48,80.96,198
left,20,128,335.64,75.94,200
right,27,128,333.68,74.64,202
left,27,128,333.24,73.36,204
down,35,128,346.88,79.62,206
right,31,128,343.6,77.06,208
up,30,128,361.88,85.4,212
