Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,85,2,280.52,148.3,6
down,132,4,267.76,141.42,8
down,86,4,276.36,145.04,10
down,95,4,273.68,139.12,12
left,757,4,269.6,139.3,14
right,50,4,285.96,147.22,18
down,43,4,273.52,138.42,22
up,48,8,283.88,139.6,24
down,51,8,276.72,138.78,26
left,46,8,274.16,135.12,28
right,24,8,258.2,122.56,30
left,52,8,274.64,131.06,32
left,55,8,272.92,131.16,34
right,52,8,276.44,132.4,36
down,67,16,273.88,126.08,38
left,46,16,275.96,128.5,40
down,47,16,268.16,122.08,44
left,82,16,279.56,127.5,46
left,56,16,264.76,116.98,48
down,45,16,262.96,116.08,50
right,59,16,275.12,122.22,52
left,54,16,284.48,125.98,54
down,48,16,288.2,126.86,56
up,59,16,276.8,120.78,58
right,46,32,282.08,121.1,62
left,70,32,280.88,120.96,64
left,75,32,273.32,113.76,66
up,46,32,281.88,119.32,68
up,41,32,263.88,109.36,72
right,214,32,272.72,108.12,74
down,45,32,278.76,112.8,76
left,60,32,272.48,107.58,78
up,34,32,272.12,104.86,80
up,49,32,268.96,102.82,82
left,41,32,276.16,105.68,84
right,52,32,288.28,112.72,86
right,54,32,279.6,105.5,88
right,42,32,278.52,106.84,90
up,45,32,266.48,95.02,92
up,66,32,269.96,96.98,94
left,34,32,254.92,89.52,96
right,56,32,278.48,100.26,98
down,41,32,291.04,104.86,100
left,72,32,271.72,93.14,102
up,38,32,299.64,109.04,104
left,45,32,278.48,96.62,106
down,55,64,285,97.1,108
right,51,64,282.36,95.36,110
left,41,64,290.88,99.06,112
down,49,64,282.68,92.88,114
down,49,64,289.12,96.7,116
left,39,64,294.16,99.5,118
up,39,64,289.6,94.68,120
right,52,64,298.88,99.12,122
right,49,64,285.12,88.96,124
down,49,64,280.56,87.96,126
right,82,64,284.04,87.24,128
down,64,64,290.88,89.92,130
up,45,64,295.08,91.62,132
down,67,64,286.4,85.12,134
right,63,64,304.36,94.76,136
up,31,64,280.12,79.84,140
left,44,64,288.68,81.86,142
right,75,64,296.28,86.8,144
left,54,64,289.28,82.3,146
down,33,64,291.2,80.2,148
left,43,64,282.36,74.98,152
right,21,64,276.52,70.5,154
down,39,64,301.72,81.22,156
up,31,64,275.92,68.6,160
down,51,64,286.2,69.34,162
right,27,64,272.32,62.5,164
right,27,64,274.6,61.5,166
down,27,64,284.76,67.28,168
down,33,64,288.8,68.86,170
right,38,64,294.96,70.82,172
right,48,64,314.68,79.92,174
left,26,64,293.12,65.16,178
down,43,64,315.44,76.74,180
left,38,64,326.88,83.56,182
down,46,128,324.92,79.18,186
left,43,128,321.68,74.42,188
up,48,128,327.24,78.42,190
right,35,128,328.48,76.62,192
down,49,128,328.16,75.56,194
up,52,128,329.56,76.34,196
up,48,128,331.52,74.52,200
down,32,128,332.52,72.86,204
left,31,128,331.92,72.58,206
left,21,128,306.28,56.56,208
right,16,128,326.32,67.04,212
up,29,128,340.96,73.96,214
down,32,128,334.4,68.72,216
left,30,128,331.4,65.36,218
right,32,128,336.44,67.22,220
down,33,128,337.36,65.48,222
right,20,128,335.32,63.62,224
left,31,128,337.04,62.54,226
up,32,128,337.4,61.82,228
left,32,128,352.4,69.1,230
left,30,128,352.84,67.1,232
up,29,128,351.28,65.46,234
right,29,128,350.72,64.96,236
up,82,128,354.96,66.5,238
down,56,128,340.72,57.24,240
up,28,128,349.72,60.84,242
down,55,128,372.8,73.44,244
left,46,128,356.44,63.52,246
down,31,128,356.68,61.26,248
up,33,128,361.2,63.2,250
left,30,128,352.08,56.12,252
right,35,128,357,59.02,254
up,26,128,359.28,59.36,256
right,43,128,366.04,61.72,258
left,31,128,355.2,54.58,260
up,30,128,380.08,70.32,262
right,19,128,364.88,57.74,264
down,27,128,368.36,58.64,266
up,35,128,375.44,61.2,268
down,28,128,380.4,63.12,270
left,35,128,376.04,58.72,272
up,33,128,382.84,60.6,274
up,36,128,372.6,56.98,276
down,27,128,375.16,54.56,278
right,24,128,380.64,58.2,280
up,23,128,414.2,73.14,282
right,48,128,430.44,83.7,284
left,37,128,431.4,83.72,286
right,41,128,436.44,81.08,288
left,41,128,443.16,84.82,290
down,35,128,447.44,88.68,294
right,44,128,456.12,89.84,296
down,35,128,436.68,78.04,298
left,40,128,441.44,78.2,300
up,42,256,445.88,80.42,302
right,44,256,449.24,82.18,304
down,39,256,435.4,72.7,306
left,35,256,442.32,76.5,308
right,49,256,446.32,76.3,312
left,46,256,456.76,79.78,314
up,46,256,441.12,72.32,316
left,52,256,452.52,74,318
left,38,256,448.88,71.84,320
up,47,256,441.24,67.34,322
left,33,256,448.24,70.5,324
left,38,256,451.4,69.86,326
up,33,256,449.56,70.2,328
down,34,256,449.44,69.78,330
left,38,256,460.92,72.02,332
up,39,256,453.12,67.04,334
left,40,256,469.44,74.24,336
left,33,256,461.6,70.3,338
left,30,256,461,67.16,340
down,47,256,474.32,74.82,342
down,60,256,467.2,68.82,344
down,35,256,466.2,69.5,348
down,43,256,474.72,72.34,350
left,31,256,476.08,69.96,352
right,30,256,467.24,63.1,354
up,21,256,470.24,66.28,356
up,31,256,467.4,62.48,358
left,31,256,477.2,66.24,360
down,28,256,475,64.76,362
down,133,256,471.84,62.16,364
right,125,256,482.16,65.9,366
left,114,256,479.6,65.32,368
up,58,256,479.48,63.28,370
right,27,256,475.88,59.66,372
right,34,256,474.68,57.48,374
right,36,256,480.72,60.34,376
down,39,256,474.92,57.32,380
down,26,256,468.04,48.68,382
down,25,256,480.16,55.38,384
down,39,256,477.4,53.9,386
left,37,256,480.04,52.62,388
down,26,256,487.48,56.86,390
down,33,256,492.52,57.74,392
down,31,256,485.92,54.02,394
left,54,256,478.24,48.36,396
left,29,256,478.72,47.82,398
up,22,256,479.28,46.12,400
right,29,256,491.32,51.38,402
up,32,256,513.52,61.86,404
up,36,256,517.48,63.96,406
left,35,256,521.76,65.18,408
down,35,256,517.08,60.1,410
down,46,256,525.88,65.16,412
down,35,256,522.84,63.3,416
left,26,256,530.28,63.22,418
up,29,256,529.68,62.28,420
up,28,256,527.8,61.12,422
right,39,256,536.4,62.36,424
left,24,256,525.36,58.14,426
right,43,256,526.24,56.7,428
right,33,256,534.36,60.6,430
down,23,256,523.12,52.94,434
right,34,256,533.8,55.14,436
right,49,256,527.32,51.1,438
left,31,256,530.92,50.92,440
up,24,256,534.68,54.24,444
right,180,256,533.68,51.72,448
down,32,256,535,49.82,450
left,23,256,532.6,46.68,452
right,24,256,534.76,46.44,454
right,31,256,536,46.34,456
up,29,256,533.96,44.98,458
down,36,256,542.6,47.22,462
right,31,256,542.64,45.58,464
right,42,256,546.12,47.26,466
down,37,256,547.64,46.38,468
down,27,256,545.2,42.12,470
down,29,256,549.48,46.12,472
up,29,256,552.44,45.64,474
down,31,256,559.2,48.4,476
up,29,256,560.28,47.78,478
down,25,256,555.6,45.5,480
up,24,256,559.36,46.14,482
up,33,256,550.36,38.72,484
right,18,256,549.84,38.34,486
up,27,256,565.72,45.8,488
left,29,256,554.76,39.06,490
down,26,256,562.64,41.88,494
up,30,256,556.2,34.9,496
right,25,256,558,37.28,500
up,23,256,571.2,40.14,502
left,26,256,571.76,39.7,506
right,34,256,558.56,30.26,508
left,24,256,577.88,40.6,510
down,24,256,578.64,39.22,512
left,34,256,584.08,41.26,516
down,24,256,588.08,41.34,518
left,20,256,583.2,36.72,520
down,27,256,581.96,36.06,522
left,28,256,591.68,39.98,524
up,16,256,582.8,33.94,526
left,26,256,580.32,31.68,528
down,23,256,582.76,33.32,530
up,15,256,593.32,36.22,532
down,22,256,587.6,32.88,534
up,21,256,597,35.22,536
left,22,256,599.6,37.2,538
down,38,256,616.28,44.32,542
down,27,256,613.32,40.8,544
right,16,256,614.32,39.52,546
left,33,256,624.12,43.58,548
left,26,256,629.28,46.22,550
left,35,256,620.92,38.94,554
up,30,256,625.16,42.22,558
