Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,73,4,279.84,147.28,6
down,51,4,269.4,141.08,8
left,69,4,271.76,143.04,12
up,56,4,268.96,136.18,14
right,46,4,274.4,138.64,16
left,54,8,281.68,144.44,18
up,50,8,273.32,136.1,22
left,41,8,271.08,134.96,24
down,49,8,279.48,137.6,26
right,84,8,264.04,128.86,28
left,65,8,289.52,141.62,30
right,56,8,275.92,133.52,32
down,100,16,272.52,129.62,34
down,42,16,280.8,133.8,36
left,54,16,276.32,132.06,38
down,53,16,280.8,130.8,40
down,74,16,280.56,129.52,42
right,58,16,259.24,117.94,44
up,43,16,266.04,120.34,46
up,57,16,282.4,129.06,48
left,39,16,271.68,121.66,50
right,44,16,272.44,122.14,52
up,61,16,275.2,123.4,54
up,39,16,259.88,112.02,56
down,69,16,280.52,121.26,58
right,52,16,281.68,121.94,60
down,74,16,266.32,111.56,62
left,39,32,278.84,120.18,64
left,50,32,283.4,119.48,66
down,55,32,271.52,111.32,68
down,60,32,281.64,117.9,70
right,25,32,272.24,113.18,72
right,58,32,289.88,117.38,74
right,66,32,298.08,121.54,76
up,49,32,288,116.12,78
left,45,32,292.44,118.28,80
up,66,32,275.2,108.36,82
left,41,32,287.84,113.62,84
right,60,32,281.96,109.2,86
down,43,32,281.92,108.32,88
up,31,32,290.04,109.74,90
up,47,32,290,109.08,92
right,35,64,288.24,108.54,94
down,37,64,285.96,105.38,96
up,54,64,284.64,104.18,98
right,30,64,293.8,108.68,100
down,53,64,281.4,101.08,102
left,60,64,288.52,104.2,104
right,51,64,279.8,96.9,106
up,56,64,288.76,102.86,108
down,30,64,263.68,84.12,110
up,53,64,282.44,93.74,112
right,51,64,273.4,89.7,114
up,35,64,278.24,89.7,118
left,57,64,283.56,91.82,122
right,55,64,283.76,90.36,124
up,273,64,285.72,88.34,126
left,141,64,281.72,87.14,128
left,136,64,301.92,95.2,130
right,162,64,274.56,81.46,134
right,917,64,289.08,86.46,136
