Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,177,2,252.16,133.84,6
down,122,4,279.4,147,8
right,113,4,286.6,147.88,10
up,97,4,268.68,141.28,12
left,66,4,277.48,143.08,14
down,83,8,280.2,144.86,16
up,86,8,274.28,139.98,18
left,39,8,287.6,145.22,20
down,49,8,274.44,137.8,22
right,44,8,277.16,139.3,24
up,53,8,277.04,138.38,26
left,50,8,267.92,131.52,28
right,47,8,265.04,128.86,30
right,55,8,291.16,142.98,32
right,55,8,282.96,135.3,34
left,46,8,272.6,128.16,36
right,51,8,272.64,128.16,38
left,53,8,277.64,129.66,40
down,44,16,284.76,132.44,42
up,39,16,267.88,120.06,44
left,33,16,287.88,130.82,46
left,48,16,281.04,127.72,48
right,45,16,287,131.92,50
left,50,16,279.64,123.52,52
left,50,16,295.4,131.4,54
down,52,16,285.84,124.24,56
right,37,16,269.36,114.7,58
left,47,16,276.6,120.08,60
right,47,16,272.2,116.84,64
up,35,16,273.76,114.76,66
right,46,16,262.72,106.44,68
down,41,16,277.92,114.84,70
left,40,32,272.56,112.76,74
up,35,32,279.12,112.24,76
right,23,32,266,104.72,78
left,44,32,276.44,106.92,80
down,34,32,304.6,125.8,82
left,42,32,278.56,106.72,84
down,42,32,264.12,99.96,86
left,40,32,294.92,113.48,88
right,33,32,280.76,105.92,90
right,38,32,279.6,103.18,92
left,36,32,284.24,106.92,94
up,27,32,268.56,96.88,96
right,31,32,269.36,95.4,98
down,19,32,277.24,100.04,100
left,29,32,289.64,105.34,102
up,24,32,286.36,103.28,104
right,38,32,283.48,99.74,106
left,21,32,274.84,93.58,108
left,37,32,273.76,92.2,110
up,36,32,283.92,94.64,112
left,35,32,284.04,93.74,116
left,29,32,273.2,87.94,118
right,30,32,281.16,90.14,120
up,25,64,280.56,88.54,122
up,36,64,291.28,93.54,124
right,38,64,291.36,93.04,126
down,35,64,294.6,93.04,128
left,30,64,301.8,96.78,130
right,36,64,296,92.06,132
down,27,64,303.12,95.76,134
down,34,64,293.72,89.42,136
up,36,64,297.84,90.04,138
right,35,64,288.24,84.14,140
right,32,64,288.36,81.52,142
left,25,64,304.56,89.82,146
down,29,64,312.32,93.64,148
down,31,64,306.72,88.74,150
right,27,64,322.6,94.2,152
left,31,64,317.44,89.9,154
left,34,64,329.64,96.6,158
right,29,64,324.44,92.34,160
up,36,64,315.48,85.62,162
left,31,64,318.24,87.44,164
down,35,64,319.24,86,166
up,18,64,307.96,79.2,168
right,23,64,302.96,74.86,170
down,24,64,315.44,80.78,172
right,22,64,305.44,74.5,174
left,31,64,313.12,77.38,178
right,27,64,318.84,78.96,180
left,24,64,320.12,76.26,182
up,20,64,324.12,79,184
down,28,64,326.28,79.42,186
down,24,64,331.84,80.94,188
up,21,64,335.04,83.34,190
right,22,64,314.24,68.58,192
up,24,128,325.44,74.26,194
right,27,128,328.72,76.84,198
right,24,128,326.88,70.52,200
down,17,128,318.64,66.72,202
left,28,128,338.24,76.46,204
up,25,128,326.6,67.94,206
left,28,128,331.44,70.36,210
up,24,128,331.68,68.42,212
down,23,128,338.48,71.74,214
up,20,128,338.28,70.2,216
down,20,128,328.68,62.72,220
