Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,59,4,272.92,144.64,8
down,59,4,265.76,139.92,12
right,49,4,257.68,131.56,14
up,50,4,288.8,146.9,16
right,50,4,280.64,141.52,18
left,62,8,279.4,140.74,20
left,60,8,276.24,138.54,22
up,65,8,274.32,135.32,24
down,57,8,285.72,141.84,26
right,25,8,288.68,141.68,28
down,49,8,268.6,131.24,30
left,43,8,264,125.58,32
right,50,8,271.24,127.5,34
left,59,8,270.2,125.64,36
right,38,8,298.12,140.96,38
right,51,8,286.28,134.02,40
down,56,8,293.52,137.56,42
down,41,8,268.48,123.3,44
left,58,8,281.76,126.08,46
left,43,8,276.84,123.62,48
down,50,8,268.88,118.24,50
right,53,8,266.08,118.2,52
left,48,8,280.68,123.4,54
down,54,8,288.12,127.84,56
up,53,8,275.28,120.72,58
right,43,16,270.16,117.38,62
down,39,16,271.64,115.82,64
left,39,16,280.48,118.48,66
down,40,32,272.72,112.74,68
right,56,32,285.44,118.56,70
up,42,32,274.76,111.36,72
down,24,32,274.92,111.32,74
left,24,32,271.04,108.1,76
right,40,32,264.08,102.22,78
left,52,32,273.2,106.04,80
down,48,32,266.28,100.84,84
down,37,32,272.48,103.14,86
up,28,32,264.96,99.54,88
down,36,32,282.24,106.5,90
left,39,32,289.28,109.72,92
right,39,32,274.72,98.76,94
up,62,32,302.2,116.3,96
down,69,32,280.52,100.58,98
right,51,32,268.28,95.1,102
up,50,32,269.96,95.14,104
up,41,32,277.44,95.48,106
right,39,32,266.4,89.58,108
down,22,32,268.96,89.64,110
left,28,32,264.72,82.32,112
right,35,32,277.72,90.74,114
down,34,64,288.92,98.2,116
down,37,64,290.32,96.1,120
right,33,64,290.04,93.06,122
down,31,64,302.72,101.16,124
left,33,64,273.56,83.44,126
left,33,64,283.4,87.3,128
right,34,64,299.32,95.8,130
up,35,64,293.44,91.1,132
up,34,64,296.64,90.56,134
right,34,64,295.28,88.18,136
up,37,64,302.64,90.92,138
down,58,64,313.44,96.54,140
up,41,64,311.8,94.74,142
down,41,64,317.64,96.54,144
left,25,64,307.44,86.94,146
down,41,64,341,107.08,148
left,25,64,313.24,90.84,150
down,44,64,325.72,96.18,152
down,46,64,331.8,99.2,154
left,26,64,318.52,90.88,156
down,49,64,322.16,91.84,158
up,20,64,313.24,83.76,160
left,52,128,343.28,100.92,162
down,38,128,325.44,88.5,164
down,51,128,334.64,93.88,166
right,36,128,326.44,88.54,168
right,35,128,325.88,87.34,170
up,36,128,332.84,89.56,172
right,35,128,330.76,88.76,176
right,34,128,322.32,81.76,178
left,28,128,321.84,81.02,182
left,36,128,331.84,84.16,184
left,44,128,325.2,78.86,186
up,25,128,327.88,77.94,188
right,36,128,322.08,73.94,190
up,27,128,320.52,71.58,192
right,36,128,328.52,75.02,194
right,40,128,332.08,77.78,196
right,46,128,343.56,83.04,198
down,185,128,337.84,78.12,200
down,34,128,337.24,75.42,202
right,28,128,331.08,70.94,204
up,34,128,339.28,73.64,206
up,34,128,341.24,75.52,208
up,33,128,349.36,77.38,210
left,36,128,361.68,85.7,212
right,35,128,360.68,82.62,214
left,23,128,354.12,77.12,216
up,30,128,347.88,73.94,218
up,41,128,351.84,75.5,220
down,43,128,356.32,76.22,222
up,27,128,357.28,74.92,224
down,33,128,355.72,74.02,226
right,33,128,351.84,71.82,228
right,34,128,367.92,78.42,230
right,33,128,359.24,72.72,232
down,34,128,370.72,76.36,234
up,34,128,364.68,72.64,236
down,26,128,357.84,67.12,238
left,27,128,364,70.08,240
down,32,128,360.72,68.62,242
right,23,128,353.92,61.4,244
up,25,128,359.36,64.22,246
left,28,128,353.12,59.78,248
left,38,128,362.16,63.68,250
down,31,128,358.28,61.2,252
up,34,128,370.32,66.62,254
right,31,128,362.4,60.64,258
right,34,128,370.64,63.26,260
left,26,128,364.08,57.7,264
up,33,128,362.4,54.66,266
up,25,128,355.84,51.32,268
right,16,128,359.16,51.78,270
left,29,128,369.6,56.06,272
right,22,128,369.44,53.98,274
up,33,128,384.72,61.54,276
up,32,128,399.72,68.1,278
up,23,128,392.6,63.56,280
left,38,128,406,70.78,284
left,33,128,440.44,87.34,286
down,32,128,435.6,84.4,288
right,24,128,436.48,82.12,290
down,36,128,456.84,91.78,292
right,37,128,443.12,81.5,294
down,38,256,447.44,84.24,296
left,39,256,449.88,85.12,298
down,35,256,453.68,86.22,300
down,35,256,446.6,79.66,302
left,42,256,459.04,88.62,304
down,30,256,439.48,74.54,306
right,38,256,468.4,89.98,308
