Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
up,37,4,270.88,142.72,8
up,32,8,276.16,144.96,10
right,42,8,278.4,144.68,12
right,43,8,269.52,136.86,14
left,44,8,277,141.48,16
up,46,8,282.36,143.8,18
left,33,8,274.96,136.84,20
down,50,8,281.8,140.14,22
down,46,8,274.36,136.48,24
down,49,8,294,147.64,26
up,34,8,282.28,137.84,28
left,43,8,282.76,137.78,30
right,41,8,267.96,128.72,32
left,36,8,276.16,132.4,34
down,39,8,285.52,134.14,36
right,42,8,292.44,139.32,38
left,42,8,283.92,134.04,42
right,31,8,278.52,127.98,44
right,42,8,265.32,119.28,46
up,32,8,267.56,119.68,48
down,34,8,266.92,118.94,50
right,43,8,274.6,122.1,52
right,40,8,272.52,119.66,54
up,35,16,262.08,112.66,56
left,38,16,280.52,121.66,58
down,37,16,278.96,120.9,60
right,38,16,285.16,122.6,62
left,34,16,275.4,115.98,64
right,41,16,271.48,115,68
up,30,32,280.6,115.98,70
left,35,32,267.88,106.58,72
up,34,32,274.6,110.64,74
left,38,32,265.64,103.72,76
up,35,32,280.08,112.76,78
down,35,32,268.24,104.46,80
right,31,32,276.84,106.72,82
up,38,32,284,110.86,84
right,33,32,259.56,95.62,86
up,38,32,283.64,109.94,88
up,40,32,287.76,108.76,90
up,39,32,282.52,107.54,92
right,28,32,267.68,97.4,94
right,38,32,275.8,99.34,98
left,33,32,258.52,88.8,100
up,49,32,275,96.6,102
down,27,32,291.68,103.82,104
right,35,32,278.64,97.76,106
left,27,32,269.4,91.1,108
up,37,32,272.8,92.42,110
down,28,32,270.72,89.28,112
right,36,32,277.52,91.06,114
left,15,32,266.56,83.6,116
down,25,32,258.04,80.28,120
up,23,32,264.2,79.86,122
right,35,32,283.96,89.3,124
left,28,32,274.48,84.56,126
right,27,32,279.84,86.28,128
left,29,32,278.32,84.3,130
up,18,32,266.4,75.84,132
right,31,32,286.36,86.44,134
up,20,64,286.12,82.82,136
left,29,64,290.92,85.44,138
right,37,64,301.36,88.2,140
up,35,64,299.64,87.56,142
left,22,64,290.44,84.5,144
right,28,64,295.92,85,146
left,23,64,301.24,85.6,148
down,27,64,300.84,83.54,150
up,29,64,319.44,90.84,152
right,22,64,313.24,88.8,154
left,22,64,318.68,89.72,156
left,32,64,323.76,91.78,160
right,31,64,346.48,102.86,162
left,27,64,324.44,89.72,164
right,27,64,325.92,90.46,166
up,31,128,325.8,88.58,168
left,28,128,334.2,92.94,170
up,29,128,337.44,93.48,174
left,30,128,315.28,78.86,176
left,29,128,323.12,81.94,178
right,27,128,334.32,86.26,180
left,22,128,331.64,84.78,182
left,29,128,325.44,79.76,184
up,30,128,307.8,68.38,186
right,25,128,325.28,77.76,188
right,24,128,318.08,72.5,190
up,20,128,314.08,68.94,192
up,24,128,317.28,69.96,194
left,19,128,330.88,76.94,196
left,24,128,325.28,72.42,198
up,25,128,326.72,71.04,200
up,24,128,323.52,68.42,202
down,24,128,329.8,70,204
right,18,128,320.72,65.18,206
right,25,128,334.32,71.72,208
right,25,128,325.36,65.74,210
down,24,128,333.36,67.62,212
up,25,128,336.88,68.56,214
left,17,128,330.04,64.36,216
down,19,128,339.6,67.86,218
up,23,128,352.12,75.38,220
right,24,128,349.4,72.52,222
left,18,128,348.24,69.7,224
up,23,128,348.04,70.6,226
left,19,128,346.52,69.26,228
down,15,128,344.28,65.34,230
right,24,128,352.96,70.1,232
down,24,128,363.8,72.94,234
up,17,128,337.36,57.86,236
down,15,128,353.08,64.94,238
right,22,128,356.48,66.3,240
right,19,128,352.8,63.06,242
left,18,128,353.92,62.06,244
down,21,128,357.44,63.92,246
right,21,128,378.76,73.94,248
left,20,128,360.28,64.3,250
left,25,128,360.76,62.66,252
down,19,128,360.88,62.2,254
right,22,128,380.48,70.76,256
up,19,128,364.68,60.64,258
left,24,128,358.32,57.72,260
right,22,128,376.24,65.52,262
down,23,128,372.16,62.18,264
right,41,128,368.12,58.2,266
left,24,128,386.48,66.26,268
down,18,128,372.84,59.08,270
up,17,128,384.16,63.12,272
right,22,128,387.16,64.78,274
up,31,128,389.08,65.46,276
right,28,128,413.56,77.72,278
up,25,128,398.52,67.8,280
left,19,128,413.76,74.28,282
down,29,128,438.36,84.64,284
right,36,128,448.4,91.54,288
left,34,128,446.92,88.28,290
up,23,256,453.72,90.32,292
right,21,256,436.72,80.54,294
right,28,256,451.48,87.9,298
down,23,256,456.88,86.82,300
up,28,256,452.04,82.8,302
up,29,256,454.8,85.74,304
right,30,256,445.48,78.24,308
right,30,256,453.76,82.38,310
up,29,256,457,81.26,312
down,22,256,449.4,76.44,314
up,20,256,448.28,74.52,316
up,28,256,454.36,76.66,320
up,29,256,443.6,68.92,322
up,28,256,447.24,71.48,324
up,25,256,444.72,69.02,326
down,22,256,450.36,69.02,328
up,19,256,456.96,73,330
left,22,256,453.8,67.5,332
down,28,256,460.6,71.94,334
down,20,256,459.56,70.08,336
up,22,256,465.08,73.16,338
left,31,256,473.44,74.32,340
up,29,256,469.56,72.04,342
down,23,256,465.04,70.76,344
up,24,256,471,71.12,346
down,20,256,473.12,71.04,348
right,23,256,477.44,72.28,352
left,23,256,458.44,58.84,354
left,22,256,467.08,65.14,356
right,15,256,471.32,63.96,358
right,25,256,471.56,62.66,360
up,23,256,462.08,58.9,362
up,26,256,468.44,59.44,364
up,24,256,474.28,63.48,366
left,23,256,464.24,55.06,368
down,22,256,467.2,56.06,370
up,21,256,460.96,51.34,372
right,21,256,465.8,54.32,374
left,23,256,474.44,56.8,376
up,16,256,470.16,54.32,378
up,17,256,465.52,49.32,382
