Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,52,4,274.32,145.84,8
right,60,4,290,151.88,10
left,64,4,270.76,139.6,12
up,79,4,274.72,141.22,14
down,43,4,249.96,126.86,16
right,47,4,275.72,139.98,20
up,62,8,271.52,135.92,22
right,53,8,272.76,133.66,26
left,58,8,288.2,141.98,28
right,42,8,284.08,138.2,32
up,35,8,278.72,134.64,34
up,41,8,278.28,131.9,36
up,51,8,262.88,123.4,38
right,43,8,281.2,132.86,40
left,50,16,303.24,143.84,42
right,43,16,272.68,125.16,44
down,45,16,280.96,130.1,46
up,46,16,286.6,132.38,48
down,28,16,263.52,117.2,50
left,38,32,270.96,119.38,52
left,46,32,283.4,125.16,54
left,50,32,276.24,122.68,56
up,53,32,288.96,128.22,58
right,46,32,284.6,122.3,60
down,59,32,274.48,117.62,64
right,39,32,267.04,110.48,66
left,38,32,288.92,122.92,68
down,49,32,265.52,106.08,70
right,60,32,286.76,117.62,72
up,50,32,282.8,117.12,74
left,35,32,277.8,110.68,76
down,25,32,276,108.8,78
right,43,32,264.52,103.2,80
left,38,32,276.36,107.94,82
down,49,32,262.48,99.94,84
up,39,32,283.68,110.96,86
right,41,32,284.48,107.9,90
down,52,32,274.64,100.76,92
right,31,64,292.36,109.82,94
down,35,64,286.84,107.2,96
left,35,64,283.72,104.88,100
up,40,64,286.92,103.16,102
up,54,64,286.24,102.3,104
left,34,64,302.24,109.72,106
down,38,64,275.96,93.56,108
left,37,64,283.28,96.4,110
down,37,64,278.8,92.9,112
right,47,64,277.36,91.2,114
left,37,64,292.6,98.68,116
right,35,64,272.6,86.68,118
down,36,64,287.64,94.22,120
right,219,64,300.6,100.46,122
right,29,64,274.44,85.84,124
down,36,64,298.04,96.72,126
right,37,64,292.44,93.14,130
left,41,64,269.88,77.1,132
left,39,64,262.52,71.54,134
up,33,64,260.68,70.08,136
right,42,64,292.4,87.32,138
down,42,64,301.52,90.68,140
down,44,64,277.08,75.42,142
up,42,64,282.88,77.9,144
left,27,64,276.36,73.72,146
up,33,64,283.64,75.44,148
down,25,64,279.96,74.3,150
down,35,64,288.8,76.32,152
right,31,64,288.24,76.02,154
down,47,64,312.92,89.08,156
left,35,64,304.52,81,158
right,36,64,305.64,82.84,162
down,39,64,310.52,80.98,164
left,38,64,324,90.5,166
up,34,64,311.52,81.04,168
down,33,64,315.84,81.62,170
left,44,64,318.36,81.44,172
left,36,64,334.28,89.72,174
right,39,64,326.68,85.28,176
right,35,64,331.04,86.44,178
right,33,64,332.04,87.58,180
up,34,128,319.72,79.16,182
left,29,128,328.36,79.1,184
down,43,128,338.12,84.36,186
right,35,128,332.84,82.8,188
up,30,128,328.2,79.56,190
down,39,128,331.44,78.52,192
up,42,128,334.48,79.5,194
down,33,128,346.04,83.84,196
left,34,128,328.56,73.16,198
right,31,128,330.12,75.18,200
left,31,128,339.92,78.14,202
right,20,128,328.8,69.94,204
up,39,128,333.52,72.82,208
up,47,128,328.84,66.68,210
up,38,128,349.92,78.66,212
left,32,128,336.4,70.22,214
left,34,128,323.68,60.7,218
left,34,128,332.24,66.56,220
right,38,128,337.48,66.32,224
left,35,128,333.32,60.78,226
up,37,128,347.92,69.62,228
down,30,128,336.52,60.64,230
up,40,128,348.92,68.56,232
right,30,128,342.2,61.42,234
down,25,128,336.36,57.9,236
right,36,128,358.88,69.38,240
left,34,128,360.92,67.74,242
down,40,128,352.52,62.54,244
right,42,128,361.92,65.84,246
down,44,128,366.04,66.94,248
left,43,128,357.96,60.88,250
right,34,128,375.72,70.62,252
left,32,128,370,65.7,254
down,36,128,367.96,63.58,256
up,41,128,367.88,62.92,258
up,32,128,360.84,56.92,260
right,34,128,391.12,70.56,262
left,39,128,377.56,64.16,264
up,40,128,384.16,65.68,268
down,44,128,391.88,69.1,270
right,46,128,393.68,67.8,272
up,24,128,419.2,82.68,274
right,31,128,431.6,87.64,276
up,55,128,439.16,89.74,278
left,43,128,447.6,94.68,280
down,40,256,432.24,83.3,282
right,45,256,452.84,93.26,284
left,27,256,445.96,89.96,286
up,21,256,446.96,87.76,288
up,38,256,456.28,91.74,290
down,43,256,449.28,86.76,292
up,45,256,448.36,87.16,294
left,51,256,451.92,86.88,296
down,47,256,452.56,86.44,298
up,44,256,450.52,84.32,300
left,42,256,457.16,87.78,302
right,34,256,449.76,81.82,304
right,40,256,439.44,74.7,306
right,34,256,457.84,83.06,308
up,47,256,455.4,81.8,310
down,47,256,455.04,78.32,312
right,39,256,464.92,86.42,314
down,41,256,450.36,77.8,316
down,41,256,446.96,72.96,318
up,42,256,451.32,75.42,320
up,52,256,448.6,72.76,322
down,40,256,452.6,72.58,324
left,42,256,457.92,76.92,328
up,39,256,446.68,66.58,330
left,46,256,458.52,72.8,332
