Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,55,2,272.08,143.96,6
up,52,4,267.44,139.66,8
down,220,4,270.44,141.2,10
right,40,4,277.2,144.4,12
down,48,4,262.64,134.42,14
up,51,4,268.64,136.32,16
right,56,8,285.64,145.3,18
left,49,8,264.72,132.08,20
up,46,8,269.56,134.46,22
right,39,8,283.16,140.76,26
up,47,16,270.72,132.78,28
right,35,16,271.64,131.98,32
down,46,16,274.28,131.32,34
left,682,16,257,120.48,36
left,50,16,271.84,127.64,40
down,35,16,289.28,136.6,42
right,53,16,268.4,121.92,44
down,45,16,285.08,129.38,46
up,63,16,281.48,129.36,48
left,43,16,280.44,126.28,52
down,54,16,293.52,135.6,54
left,35,16,262.84,114.14,56
right,55,16,268.28,115.28,58
left,43,16,288.76,126.82,60
up,48,16,277.16,119.32,64
down,45,16,264.04,108.96,66
right,34,16,272.68,112.4,70
left,49,16,268.44,110.44,72
left,52,16,270.44,109.08,74
right,40,16,273.64,109.14,76
left,45,16,280.2,112.9,78
down,35,32,270.28,107.28,80
right,38,32,290.52,116.5,84
down,54,32,263.92,99.14,86
up,51,32,271.92,100.4,90
right,28,32,266.32,96.46,92
down,52,32,276.28,100.34,94
up,39,32,280.2,102.3,96
left,28,32,266.28,91.78,98
right,39,32,290.92,107.12,100
up,42,32,287.12,103.4,102
left,39,32,280.24,97.12,104
right,41,32,279,97.34,106
right,51,32,284.56,96.98,108
left,38,32,287.92,98.08,110
right,34,32,286.12,97.18,112
up,45,32,275.56,92.54,114
down,39,32,292.64,97.68,116
left,46,32,287.6,92.92,118
right,35,32,272,86.92,120
down,32,32,271.4,83.08,122
right,32,32,270.6,82.72,124
right,38,32,289.8,92.36,126
left,34,32,281.92,85.96,128
right,52,32,287.28,89.78,130
down,38,32,284.8,85.9,132
up,36,32,293.16,91.12,134
down,40,32,267.36,75.7,136
right,31,32,268.64,74.76,140
left,37,64,284.24,80.12,142
up,46,64,271.48,73.08,144
left,31,64,274.88,73.46,146
down,30,64,280.08,76.42,148
up,39,64,300.12,83.76,150
down,37,64,284.88,75.1,152
up,34,64,275.12,68.34,154
right,35,64,294.32,78.1,156
down,35,64,293.28,77.28,158
left,40,64,302.56,79.36,160
down,57,64,306.64,79.12,162
down,54,64,323.32,88.2,164
left,31,64,313.4,82.48,166
right,41,64,324.6,87.68,168
left,37,64,323,88.12,170
up,33,64,329.92,89.86,172
left,40,128,313,78.22,174
down,41,128,332.84,87.68,176
up,45,128,332.08,87.2,180
left,41,128,325,78.54,182
left,42,128,327.2,79.56,184
left,45,128,331.72,83.04,186
up,39,128,332.04,81.88,190
left,43,128,335.48,80.6,194
up,43,128,333,77.56,196
left,40,128,328.4,74.48,198
down,50,128,328.52,73.32,200
left,56,128,344.16,79.82,202
down,46,128,360.76,89.64,204
right,33,128,341.36,76.46,206
down,41,128,338.72,73.42,208
up,38,128,346.08,77.08,210
up,38,128,335.6,71.04,212
down,40,128,338,70.02,214
right,42,128,349.68,73.52,218
right,41,128,340.72,68.36,220
down,32,128,333.12,62.4,222
left,18,128,326.2,58.08,224
right,33,128,324.08,55.98,226
up,45,128,351.64,70.74,228
right,34,128,335.88,59.92,230
left,33,128,350.44,67.7,232
up,30,128,363.96,73.94,234
down,45,128,360.04,70.96,236
down,34,128,353.64,65.74,238
left,43,128,371.16,75.54,240
right,39,128,349.44,61.98,242
down,38,128,369.32,72.44,244
down,49,128,371.8,73.54,246
up,42,128,375.24,71.44,250
down,46,128,370.28,66.66,252
right,25,128,365,63.3,256
up,32,128,376.28,68.26,258
left,29,128,377.2,68.26,260
right,30,128,367.8,60.64,264
left,21,128,376.32,63.88,266
right,43,128,351,46.9,268
right,35,128,356.72,49.42,272
right,34,128,360.24,50.8,274
down,28,128,374.04,55.72,278
right,28,128,391.16,61.62,280
down,34,128,390.4,62.82,282
right,30,128,401.16,66.98,284
up,41,128,407.32,69.54,286
left,33,128,436.04,83.6,288
down,31,128,438.04,82.98,290
right,50,128,441.4,84.56,292
up,33,128,442.84,83.64,294
down,49,128,450.12,86.8,296
right,38,256,439.64,79.56,298
left,41,256,448.2,85,302
down,40,256,437.36,75.02,304
left,40,256,434.64,72.96,308
left,39,256,438.68,72.32,310
up,40,256,444.24,74.06,312
right,41,256,446.64,74.96,316
right,41,256,450.96,76.76,318
down,45,256,460.92,79.54,320
left,29,256,444.48,68.94,322
up,47,256,452.72,73.66,324
left,51,256,447.92,68.4,326
down,31,256,450.32,68.22,328
right,28,256,445.76,67.44,330
down,38,256,459.12,73.36,332
up,29,256,449.36,64.46,334
right,29,256,458.56,70.24,336
down,37,256,457.72,67.78,338
down,39,256,460.52,68.44,340
down,35,256,462.08,68.82,342
right,27,256,470.52,70.98,344
down,49,256,482.48,77.22,346
right,34,256,466.4,66.8,348
left,34,256,464.24,64,350
down,31,256,466.04,64.42,352
up,39,256,466.44,63.84,356
down,40,256,473.04,64.92,358
right,31,256,462.92,58.48,360
down,35,256,464.76,58.66,362
right,31,256,467.84,59.94,364
left,31,256,474.6,60.42,366
up,28,256,469.08,57.48,368
down,39,256,466.4,55.88,370
left,21,256,478.68,62.02,372
down,29,256,465.48,52.78,374
right,22,256,466.04,52.04,376
right,34,256,478.44,56.26,378
down,32,256,492.24,64.24,380
left,32,256,485,59.1,382
down,34,256,482.56,57.14,384
down,39,256,485.76,58.38,386
left,41,256,481.56,53.76,388
left,35,256,482.88,54.02,390
right,209,256,481.88,53.12,392
up,30,256,475.72,45.84,394
left,29,256,487.68,53.8,396
left,34,256,491.88,55.8,398
right,28,256,500.52,56.56,402
down,27,256,489.36,49.42,404
left,34,256,495.48,51.34,406
left,44,256,501.68,54.78,408
up,30,256,498.48,50.5,410
right,32,256,496.88,51.08,412
left,30,256,493.76,46.9,414
right,35,256,506.12,52.78,416
down,28,256,515.4,56.8,418
right,28,256,513.44,53.66,420
up,35,256,528.52,60.92,422
left,23,256,523.72,56.32,424
down,34,256,531.92,60.92,426
right,30,256,524.56,54.68,428
up,35,256,522.08,53.14,430
down,34,256,528.48,55.34,432
right,26,256,544.12,63.54,434
right,28,256,534.56,57.12,436
down,33,256,534.8,54.72,438
up,39,256,530.24,51.94,440
left,30,256,534.64,54.14,442
right,35,256,527.88,48.62,444
right,36,256,538.04,54.78,446
down,29,256,535.64,50.34,448
down,31,256,531.6,46.88,450
down,31,256,536.76,48.88,452
down,31,256,530.68,45.28,454
right,33,256,540.8,48.6,456
right,26,256,545.32,51.94,458
down,22,256,537.88,45.42,460
left,28,256,545.12,47.72,462
up,26,256,547.2,49.52,464
right,118,256,541.72,43.38,466
left,101,256,533.88,39.92,468
right,33,256,535.36,39.44,470
left,26,256,541.52,39.98,472
left,32,256,544.92,41.18,476
left,26,256,529,33.98,478
down,19,256,531.24,29.72,480
left,28,256,547.36,38.6,484
up,28,256,546.88,35.9,486
right,29,256,560.4,43.62,488
up,27,256,559.92,42.2,490
up,31,256,561.24,40.58,494
right,26,256,567.76,42.98,496
down,18,256,557.8,35.78,498
up,19,256,563.96,38.84,500
right,26,256,564.48,37.96,502
right,36,256,573.04,41.28,504
