Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,74,4,265.28,138.44,8
right,47,4,267.68,139.1,10
left,46,4,278.68,144.58,12
up,46,8,287.4,147.94,14
down,49,8,264.6,135.76,16
down,64,8,273.92,139.22,18
right,65,8,294.12,147.64,20
left,54,8,272.84,134.98,22
down,49,8,261.48,127.94,24
up,32,8,277.6,138.48,28
down,50,8,270.44,129.78,32
up,40,8,259.92,123.2,34
left,50,8,257.84,120.94,38
up,56,16,274.36,126.16,40
left,34,16,265.04,122.76,42
up,43,16,276.56,125,44
down,44,16,270.52,124.5,46
right,43,16,276.88,125.42,48
left,42,16,266.96,120.16,50
up,40,16,264,117.76,52
down,58,16,269.96,119.2,54
left,43,16,281.52,122.84,58
up,57,16,295.24,128.6,60
down,48,16,271.48,116.32,64
right,37,16,279.44,118.6,66
up,35,16,263.92,106.32,68
down,41,16,280.8,116.62,70
up,39,16,284.92,117.74,72
up,42,16,276.08,109.9,74
right,33,16,269.84,107.44,76
down,46,16,278.56,110.66,80
left,38,32,268.44,103.74,82
down,39,32,279.2,106.48,84
up,56,32,274.32,104.74,86
down,57,32,283.32,108.36,88
right,29,32,273.4,100.34,90
left,45,32,270.4,98.94,92
right,37,32,274.44,100.22,94
left,35,32,268,95.22,96
down,38,32,276,98.4,98
left,39,32,262.28,90.52,100
up,37,32,284.92,101.2,102
right,39,64,279.36,98.22,104
up,27,64,268.68,91.78,106
left,50,64,291.44,101.24,108
down,33,64,290.4,100.4,110
right,27,64,271.24,88.26,112
right,35,64,290.96,99.12,116
down,35,64,288.52,96.46,118
left,37,64,292.12,95.84,120
left,34,64,286,90.84,122
down,37,64,289.28,93.82,124
up,20,64,280.56,87.52,126
left,34,64,290.2,90.64,128
up,47,64,276.96,82.68,130
up,33,64,279.12,82.22,132
right,33,64,279.4,82.58,134
left,38,64,301.4,92.74,138
down,28,64,287.24,84.44,140
right,28,64,285.48,80.26,142
down,43,64,299.12,85.92,146
up,34,64,306.44,89.28,148
right,31,64,308.48,88.94,150
down,35,64,294.24,81.02,152
up,28,64,288.56,76.02,154
down,43,64,287,73.7,156
left,102,64,291.72,78.1,158
up,78,64,298.04,78.66,160
up,101,64,307.28,82.28,162
right,46,64,291.44,71.64,164
right,44,64,309.4,79.18,166
down,103,64,325.24,88.7,168
down,40,64,323.12,85.4,170
right,36,128,314.48,80.8,172
up,27,128,320.52,82.48,174
down,38,128,317.8,78.06,176
up,35,128,338.28,90.36,178
left,43,128,327.84,82.62,180
down,46,128,328.36,83.06,182
right,27,128,322.84,78.2,186
down,27,128,322.4,76.62,188
left,22,128,317,71.56,190
down,34,128,324,74.14,192
right,27,128,341.32,83.86,196
left,21,128,323.04,72.52,198
right,36,128,327.24,72.26,200
down,40,128,308.24,60.9,202
up,33,128,313.08,62.18,204
left,34,128,329.88,69.12,206
left,322,128,337.68,77.54,208
up,38,128,329.64,68.18,210
down,42,128,328.48,68,212
right,42,128,325.04,63.72,214
left,39,128,313.52,54.86,216
right,41,128,323.72,59.36,218
up,43,128,322,56.94,220
up,42,128,325.12,58.88,222
left,41,128,325.56,59.5,224
up,33,128,317.48,55.52,226
right,21,128,311.2,47.44,228
up,26,128,327.72,57.14,230
right,29,128,327.68,55.7,234
down,20,128,305.16,40.88,236
down,31,128,314.64,44.8,238
right,21,128,319,46,240
up,26,128,334.28,52.24,242
down,25,128,326.56,48.46,246
up,23,128,318.52,42.82,248
right,29,128,320.8,41.66,252
right,32,128,343.24,53.12,254
up,20,128,338.68,47.88,256
left,27,128,349.2,51.72,258
down,32,128,353.12,54.16,260
right,39,128,350.68,51.94,264
up,39,128,363.12,56.12,268
down,24,128,349.28,47.46,270
right,27,128,361.08,51.16,272
down,25,128,362.6,50.12,274
left,34,128,371.44,53.7,276
right,31,128,389.64,62.92,278
left,29,128,391.04,62.48,282
up,26,128,374.88,54.18,284
left,33,128,387.52,57.88,286
right,31,128,414,70.9,288
up,41,128,454.56,91.66,290
right,40,128,434.04,78.88,292
down,32,128,452.2,88.02,296
up,33,128,454.32,88.3,298
left,36,256,438.84,77.94,302
right,41,256,442.36,78.82,304
up,35,256,444.4,78.14,306
left,21,256,441.4,74.54,308
right,35,256,447.12,77.24,310
up,42,256,448.28,76.7,312
up,33,256,464.32,85.68,314
up,35,256,450.68,76.04,316
up,36,256,450.48,75.22,318
right,38,256,455.2,75.7,320
up,39,256,439.2,66.6,324
right,38,256,447.68,69.5,326
left,29,256,443.72,66.48,328
down,27,256,455.4,72.52,330
up,37,256,460.84,72.4,332
left,40,256,455.52,70.04,334
up,33,256,450.84,64.6,336
right,39,256,453.32,67.14,338
right,35,256,452.28,62.3,342
up,34,256,462.6,68.46,344
down,35,256,457.36,63.18,348
up,30,256,458.68,63.86,350
left,29,256,456.44,59.76,352
down,27,256,453.92,57.4,354
down,34,256,456.8,59.24,356
left,39,256,455.44,57.8,358
up,36,256,467.12,61.68,360
left,38,256,469.72,62.84,362
up,40,256,460.68,55.66,366
down,30,256,461.16,54.52,368
left,28,256,467.36,57.04,370
right,24,256,464.76,53.1,372
down,28,256,466.04,53.32,374
right,34,256,469.28,54.28,376
up,30,256,458.84,48.1,378
right,218,256,467.56,51.8,380
down,25,256,464.64,48.62,382
down,30,256,474.72,52.84,386
left,16,256,456.88,41.1,388
right,18,256,469.4,45.04,390
down,21,256,476.96,48.8,392
down,26,256,479.12,48.16,394
down,30,256,484.24,52.26,398
left,32,256,482.2,47.38,402
down,35,256,482.84,47.06,406
right,32,256,484.64,45.04,408
up,31,256,488.16,46.38,410
left,18,256,511.68,57.12,412
up,20,256,501.08,48.3,416
right,30,256,523.92,61.34,418
up,24,256,524.12,57.9,420
left,19,256,523.24,56.84,422
up,26,256,526.08,58.18,424
down,27,256,520.2,55.12,428
up,25,256,525.04,54.22,430
up,33,256,529.88,57.52,432
right,39,256,528.2,53.52,436
left,27,256,532.56,54.4,438
right,27,256,530.24,54.46,440
up,37,256,528.88,51,442
right,31,256,521.72,43.38,444
right,32,256,530.92,49.14,446
up,25,256,527.48,46.36,448
up,18,256,520.28,41.9,450
down,22,256,531.96,46.94,452
left,18,256,538.92,49.4,454
left,24,256,528.48,42.14,456
right,23,256,538.64,47.16,458
left,33,256,538.12,46.22,460
right,21,256,536.16,43.56,462
right,26,256,539.6,44.12,464
down,28,256,539.96,42.72,466
right,30,256,549.84,48.64,468
right,30,256,552.16,46.82,472
up,26,256,555.72,47.62,474
left,33,256,558.16,47.78,476
down,34,256,558.16,46.26,478
right,29,256,558.8,45.26,480
down,30,256,556.36,43.54,482
right,30,256,567.16,48.02,484
down,28,256,569.64,48.9,486
right,35,256,566.48,45.36,488
left,36,256,563.28,42.12,490
right,33,256,573.76,49.34,492
left,19,256,559.52,38.58,494
left,27,256,577.2,47.22,496
up,28,256,565.36,38.98,498
left,28,256,571.36,41.48,500
down,28,256,567.68,39.54,502
left,30,256,564.8,37.52,504
up,29,256,569.8,37.74,506
