Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,81,4,272.72,145.32,8
left,35,4,270.32,141.92,12
left,46,8,280.68,144.46,14
right,56,8,261.88,134.78,16
left,59,8,287.08,146.76,18
left,56,8,268.24,133.82,20
down,89,8,277.4,139.62,22
right,46,8,271.4,135.98,24
right,46,8,273.68,135.82,28
up,51,8,268.16,129.68,30
up,53,8,271.92,129.84,32
right,60,16,287.16,137.96,34
left,47,16,281.88,133.16,36
up,35,16,278.56,131.3,38
up,45,16,270.72,124.44,40
right,44,16,262.8,119.12,42
up,54,16,277.8,127.02,44
left,50,16,289.84,133.66,46
up,44,16,284.12,128,48
down,39,16,270.6,121.18,50
up,36,16,271.88,119.24,52
down,51,16,277.36,123.16,54
right,49,16,278.32,121.08,56
right,31,16,264.8,113.18,58
up,34,16,270.08,116.66,60
left,28,16,282.04,121.42,62
down,45,32,274.2,114.02,64
left,34,32,277.68,115.78,66
down,48,32,295.08,125.46,68
right,29,32,259,104.62,70
left,219,32,273.8,110.54,72
left,53,32,264.84,104.3,74
down,52,32,284.28,116.8,76
down,51,32,287.12,115.02,78
down,63,32,274.28,109.7,80
right,47,32,265.12,101.26,82
up,48,32,290.32,114.04,84
down,45,32,279,104.56,86
down,43,32,279.76,106.86,88
down,50,32,272.2,101.24,90
left,40,32,256.96,92.22,92
up,37,32,265.68,95.44,94
right,50,32,284.32,106.46,96
down,53,32,272.48,97.7,98
right,40,32,273.8,97.92,100
down,40,32,273.56,96.48,102
down,43,32,277.84,97.72,106
left,40,32,272.36,91.6,108
down,43,32,296.28,103.88,110
left,41,32,291.04,100.22,112
right,29,32,279,91.54,114
left,45,32,285.88,94.7,116
right,41,32,281.48,91.02,118
up,32,32,284.76,91.82,120
right,35,64,294.24,95.96,122
down,40,64,290.08,93.36,124
down,56,64,314.12,106.02,126
left,43,64,290.12,91.1,128
down,52,64,288.72,90.6,132
right,34,64,284.44,84.48,136
down,34,64,279.92,80.98,138
up,20,64,297.44,88.98,140
down,38,64,307.36,92.42,142
left,37,64,297.8,84.32,144
down,32,64,298.36,85.92,146
right,42,64,315.48,93.98,148
left,20,64,294.12,81.72,150
right,56,64,303.44,85.52,152
up,30,64,306.16,85.1,154
right,36,64,296.92,79.62,158
up,41,64,286.16,71.94,160
right,40,64,308.88,82.68,162
left,42,64,309.8,83.28,164
down,38,64,330,91.9,168
right,28,64,321.8,83.9,172
down,43,128,327.2,85.6,174
right,41,128,342.4,93,176
left,32,128,331.92,85.62,178
right,44,128,322.72,81.2,180
right,43,128,322.64,79.78,182
down,45,128,328.52,80.26,186
left,29,128,327.48,79.18,190
right,37,128,328.88,78.5,192
left,28,128,329.36,76.92,194
up,29,128,335.52,77.98,196
down,41,128,346.64,84.24,198
right,33,128,336.88,78.2,200
down,43,128,337.88,78.42,202
up,48,128,330.84,72.5,204
right,28,128,341.6,77.12,206
down,37,128,332.76,69.6,208
down,35,128,352.04,81.08,210
left,43,128,341.64,72.72,214
up,47,128,342.96,73.84,216
right,38,128,330.08,64.22,218
up,54,128,346.88,71.96,220
up,35,128,343.84,68.72,222
left,43,128,333.96,63.2,224
left,35,128,350.76,70.28,226
up,40,128,357.92,74.74,230
left,40,128,351.56,67.98,232
left,34,128,356.72,70.68,234
up,42,128,355,66.02,236
right,36,128,365.24,72.34,238
up,33,128,354.56,66.16,240
down,30,128,356.44,65.34,242
right,33,128,342.16,55.4,244
up,31,128,349.52,60.84,246
down,32,128,354.2,61.04,248
left,36,128,359.44,64.52,250
right,30,128,350,57.06,254
down,27,128,356.2,57.88,256
down,34,128,362.96,59.98,258
left,29,128,368.6,63.66,260
right,28,128,349.68,49.82,264
right,34,128,373.48,60.82,266
down,35,128,367.96,57.56,268
right,27,128,366.88,56.36,270
down,36,128,361.72,52.8,272
up,19,128,355.76,46.88,274
right,24,128,365.76,51.08,276
up,31,128,373,54.06,278
down,38,128,371.68,53,280
right,26,128,379.88,58.62,282
left,26,128,383.16,57.44,284
up,41,128,396.24,63.42,286
right,24,128,391.92,59.34,288
down,34,128,408.6,67.44,290
left,26,128,405.56,65.3,292
right,35,128,416.64,69.94,294
right,37,128,416.12,68.88,296
left,31,128,422.88,71.3,298
down,29,128,423,69.68,302
right,33,128,435.92,74.86,304
down,37,128,441.28,76.1,306
left,39,256,449.28,80.34,308
left,40,256,458.48,84.16,310
up,33,256,444.88,74.4,314
right,37,256,445.6,72.04,316
left,33,256,459.44,78.88,318
right,26,256,443.8,70.18,320
right,42,256,452.72,72.62,322
down,28,256,454.72,74.5,324
down,35,256,444.72,68.36,326
left,36,256,453.28,71.34,328
right,32,256,454.8,71.34,330
down,37,256,453.36,67.48,332
right,37,256,458.88,71.34,334
left,26,256,446.36,62.84,336
right,33,256,462.52,71.04,340
up,38,256,456.24,65.48,342
left,31,256,462.92,67.96,344
left,34,256,468.4,69.44,346
up,32,256,467.24,68.4,348
right,24,256,459.68,61.82,350
right,31,256,470.4,67.88,352
down,30,256,474.72,67.2,354
down,33,256,472.4,65.92,356
up,24,256,462.48,60.68,358
left,31,256,463.88,59.56,360
right,32,256,464.2,58.8,362
right,41,256,474.12,62.16,366
up,30,256,477.04,62.18,368
right,31,256,477.76,62.02,370
up,31,256,472.92,57.8,372
up,28,256,470.52,56.42,374
down,24,256,467,51.52,376
down,28,256,461.56,49.92,378
up,20,256,466.88,49.36,380
right,30,256,466.24,50.5,382
left,32,256,466.2,47.48,384
right,27,256,476.92,53.66,386
down,21,256,477.76,52,388
down,25,256,480.68,51.6,390
up,31,256,484.72,53.8,392
up,30,256,475.64,48.86,394
left,23,256,470.6,42.34,396
right,26,256,471.36,43.38,398
left,28,256,478.04,45.48,400
up,28,256,481.72,46.36,402
right,25,256,479.76,44.36,404
down,24,256,474.92,42,406
up,30,256,481.36,43.36,408
up,28,256,488.16,46.38,410
up,24,256,474.92,38.92,414
down,22,256,480.36,39.12,416
left,25,256,496.64,45.92,418
left,25,256,496,44.58,422
down,66,256,501.44,45.24,424
right,31,256,511.28,49.66,426
left,47,256,504.56,44.94,428
up,32,256,507.6,46.64,430
right,23,256,517.76,48.8,432
up,28,256,523.44,50.68,434
