Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
down,54,2,282.6,147.08,6
left,53,4,278.92,145.42,8
right,68,4,293.36,153.5,10
down,48,4,279.6,144.04,12
right,35,8,270.88,140.64,14
left,61,8,284.04,145.46,16
down,41,8,270.2,139.66,20
down,50,8,273.76,138.28,22
right,56,16,292.08,146.46,24
right,56,16,268.6,131.26,26
down,51,16,265.2,128.7,28
down,68,16,272.32,132.72,30
up,79,16,277.12,133.82,34
right,69,16,277,131.52,36
left,47,16,284.92,134.2,38
up,51,16,269.48,124.94,40
right,62,16,273.16,129.58,42
down,46,16,280.68,128.06,44
up,44,16,280.24,126,48
right,51,16,289.12,131.94,52
right,52,16,268.44,119.4,54
up,53,16,286.12,128.38,56
down,23,16,246.08,102.92,58
up,50,16,276.4,118.2,60
up,51,16,277.04,118.64,62
left,47,16,288.96,123.02,64
down,52,32,272.96,112.28,66
right,54,32,271.16,111.44,68
up,44,32,292.44,122.48,70
down,44,32,287.52,117.38,72
up,42,32,277.88,114.56,74
down,34,32,286.36,115.68,76
down,45,32,287.2,114.06,78
down,54,32,274,107.7,80
down,50,32,263.8,102.54,82
right,43,32,294,116.34,84
up,59,32,287.72,112.54,86
left,34,32,292.32,114.44,88
up,35,32,255.56,92.9,90
right,46,32,276.84,105.32,92
left,28,32,272.44,100.04,94
right,40,32,283.72,106.26,96
down,43,32,270.6,96,98
right,43,32,280.76,100.38,100
up,36,32,268.04,92.26,104
left,26,32,275.48,93.8,106
down,37,32,294.48,103.2,108
down,42,32,281.12,95.82,110
down,47,32,279.68,93.96,112
left,43,32,288.36,97.48,114
left,42,32,289.92,96.94,116
up,45,64,278.72,89.36,120
down,29,64,279.84,88.06,122
up,30,64,277.84,85.62,124
down,43,64,276.76,86.24,126
up,31,64,264.84,78.6,128
down,31,64,263.52,74.84,130
right,35,64,269.72,77.74,132
left,44,64,287.04,86.24,136
down,34,64,283.8,82.66,138
down,48,64,299.32,91.78,140
right,44,64,292.16,83.32,142
left,38,64,282.88,79.14,146
down,26,64,296.44,83.9,148
down,37,64,286.76,79.02,150
down,29,64,287.04,74.82,152
right,31,64,284.48,74.66,154
down,37,64,280.96,71.68,158
right,26,64,273.84,63.56,160
down,37,64,296.52,76.1,162
left,32,64,324.48,90.12,164
right,40,64,328.4,89.9,166
down,33,64,333.28,91.26,168
left,34,128,329.36,89.68,170
left,47,128,327.76,88.34,172
down,35,128,313.4,78.08,174
down,37,128,338.68,92.68,178
right,25,128,329.12,84.36,180
up,36,128,328.72,82.52,184
right,30,128,331.4,83.06,186
left,27,128,319.68,74.6,188
down,28,128,324.32,75.52,190
left,30,128,343.72,85.34,192
right,38,128,328.92,76.76,194
up,30,128,323.04,71.98,198
down,30,128,327.12,71.14,200
right,49,128,324.88,69.4,202
down,31,128,334.76,75.82,204
right,33,128,323.76,66.44,206
up,34,128,314.24,60.86,210
right,30,128,323.4,65.2,212
down,25,128,312.36,56.64,214
right,36,128,325.84,63.66,216
down,31,128,341.56,69.92,220
left,22,128,321.84,61.08,222
up,32,128,330.6,61.28,224
right,32,128,326,57.04,226
up,27,128,315.16,50.16,228
down,32,128,327.56,57.14,230
left,17,128,339.28,60.7,234
up,26,128,322.76,50.28,236
left,35,128,344.96,59.2,238
down,34,128,348.32,62.12,240
right,29,128,352.92,64.86,242
down,37,128,361.12,65.86,244
right,35,128,349.96,60.16,246
left,42,128,353.24,59.8,248
down,33,128,346.36,54.64,250
up,31,128,360.76,62.9,252
down,28,128,349.72,55.68,254
right,28,128,352.8,56.78,258
down,33,128,350,52.6,260
right,42,128,342.4,48.14,264
down,34,128,355.92,50.78,266
up,33,128,362.52,56.38,268
left,20,128,358.2,52.56,270
left,27,128,354.76,50.14,272
right,24,128,347.8,43.36,274
up,25,128,368.96,53.86,276
down,20,128,350.56,42.28,278
right,37,128,368.68,50.56,282
right,44,128,372.64,50.82,284
up,31,128,383.84,56.2,286
left,37,128,387.64,56.68,288
down,43,128,421.56,74.68,292
right,46,128,437.68,81.56,294
up,41,128,441.88,81.94,298
down,30,128,427.36,70.92,300
right,23,128,437.56,75.3,302
left,27,256,445.68,80.62,304
up,40,256,441.64,77.82,306
right,41,256,453.96,81.4,308
right,35,256,457.28,82.66,310
down,41,256,453.64,78.94,312
down,45,256,447.76,74.62,314
right,41,256,446,74.96,316
up,40,256,445.88,72.44,318
up,45,256,450.76,74.64,320
up,45,256,449.92,72.74,322
right,39,256,458.76,76.76,326
down,31,256,466,78.72,328
right,49,256,463.52,74.44,330
down,281,256,458.68,71.8,332
up,53,256,453.4,69.62,334
up,45,256,453.88,66.5,338
right,38,256,459.88,71.18,340
up,38,256,455.96,65.56,342
down,31,256,458.92,67.16,344
left,34,256,446.6,58.06,346
up,41,256,454.56,58.8,348
right,42,256,466.44,66.64,350
left,29,256,466.56,66.36,352
down,29,256,467.28,64.44,354
up,23,256,464.8,62.46,358
left,44,256,470.56,62.76,360
right,24,256,463.36,58.24,362
up,26,256,473.8,62.96,366
right,32,256,470.88,60.42,368
up,31,256,472.04,59.78,370
left,25,256,477.12,60.32,372
up,28,256,468,56.56,374
right,27,256,470.2,54.38,376
up,205,256,474.88,58.82,378
left,115,256,474.6,54.48,380
down,130,256,475.76,53.26,382
left,140,256,490.2,60.28,384
up,147,256,473.2,50.76,386
left,135,256,488.88,59.52,388
right,35,256,493.56,60.74,390
left,32,256,482.36,52.42,392
right,27,256,484.8,52.62,394
right,48,256,496,56.5,396
right,38,256,490.8,53.58,398
down,36,256,498,55.64,400
right,33,256,492.6,52.94,402
down,39,256,508.04,61.96,404
up,54,256,499.2,53.52,406
right,46,256,513.4,62.02,408
left,20,256,509.56,57.4,410
right,27,256,517.44,58.9,412
down,35,256,529.28,64.36,416
left,43,256,527.64,62.96,418
down,41,256,526.48,60.82,420
left,30,256,530.32,61.38,422
left,56,256,530.48,61.98,424
right,39,256,526.36,57.76,426
down,57,256,524.52,55.38,428
up,22,256,528.16,58.3,430
down,54,256,532.48,57,432
up,50,256,528.2,53.26,436
left,21,256,527.64,50.52,438
up,45,256,537.92,55.06,442
down,57,256,535.2,52.98,446
up,85,256,534.84,50.66,448
down,44,256,533.92,48.54,450
right,32,256,527.32,45.16,452
left,18,256,526.2,43.56,454
right,55,256,542.08,48.36,456
up,24,256,539.52,45.58,458
down,21,256,549.96,52.9,460
right,18,256,536.96,43.08,462
up,24,256,544.6,47.2,464
right,21,256,545.08,46.64,466
down,24,256,558.4,53.72,468
right,31,256,556.92,52.38,470
up,39,256,560.16,51.92,474
up,30,256,564.76,51.8,476
left,22,256,567.28,52.3,478
right,38,256,571.92,54.72,480
up,43,256,563,47.82,482
down,49,256,565.64,48.16,484
down,20,256,567.12,49.88,486
down,19,256,571.32,48.56,488
down,25,256,582.16,54.16,490
right,25,256,574.92,48.62,492
up,28,256,572.68,45.4,494
right,28,256,573.12,46.1,496
down,30,256,570.4,42.84,498
left,29,256,568.32,41.16,500
down,36,256,558.04,33.98,504
right,16,256,552.76,27.74,506
left,29,256,569.28,37.12,510
down,26,256,577.56,38.48,512
left,25,256,578.6,38.34,514
down,20,256,584.36,40.06,516
right,47,256,585.28,40.24,520
left,45,256,573.56,29.58,522
left,48,256,578.92,32.64,524
left,24,256,581.16,33.28,526
down,23,256,590.64,36.82,528
down,27,256,591.36,37.78,530
down,26,256,583.76,30.32,534
right,22,256,597.88,36.48,536
down,23,256,600.36,36.28,538
up,35,256,608.52,41.16,540
up,22,256,597.8,34.78,542
down,21,256,602.16,34.68,544
left,23,256,602.96,35.18,546
down,28,256,601.2,33.54,548
up,18,256,617.68,39.98,550
left,20,256,618.88,41.16,552
right,11,256,607.12,31.76,554
up,19,256,618.76,37.68,556
up,21,256,617.24,34.42,558
left,22,256,655.68,56.52,560
up,23,256,662.48,60.2,564
left,28,256,651,49.1,566
down,29,256,689.68,70.74,568
left,27,256,679.8,62.5,570
left,32,256,695.88,70.54,572
left,33,256,696.4,70.74,574
right,25,256,691.36,65.36,576
right,37,256,703.04,71.34,578
up,36,256,701.52,68.34,580
right,33,512,717.44,76.58,582
down,39,512,695.72,63.56,584
left,42,512,703.72,68.5,586
up,24,512,710.24,70.96,588
left,22,512,708.48,68.86,590
down,32,512,703.24,63.08,592
right,23,512,721.08,71,594
up,35,512,709.44,63.42,598
up,29,512,717.2,66.58,600
right,39,512,710.04,62.66,604
down,35,512,711.04,59.38,606
up,29,512,719.4,62.76,608
down,33,512,716.92,62.16,610
up,18,512,708.32,55.4,614
right,19,512,711.92,55.28,618
down,28,512,717.48,56.44,620
left,28,512,726.24,59.74,622
right,22,512,722.68,57.12,624
down,27,512,725.04,55.88,628
left,20,512,727.16,55.3,630
up,31,512,731.16,56.58,632
up,31,512,742.08,63.32,634
up,30,512,738.16,58.82,636
left,31,512,739.56,58.78,638
right,22,512,718.52,46.74,642
left,45,512,732.88,52.44,646
left,25,512,734,51.04,650
right,26,512,717.28,38.38,652
up,32,512,728,42.72,656
left,33,512,751.48,54.28,658
down,29,512,761.2,56.66,660
up,34,512,765.2,59.52,662
right,36,512,767.68,58.76,666
right,31,512,779.16,63.18,668
down,19,512,777.28,61.12,670
right,34,512,779.88,61.72,672
right,40,512,783.44,63.42,674
left,36,512,780.4,59.96,676
right,38,512,783.28,59.86,680
left,35,512,779.16,57.22,684
up,34,512,785.68,56.66,686
left,27,512,783,54.86,688
right,26,512,781.2,51.86,690
down,28,512,783.28,52.3,692
left,33,512,784.36,51.38,694
down,40,512,788.36,52.56,696
right,43,512,787.48,52.1,698
down,28,512,789.68,52.18,702
right,31,512,789.28,49.68,704
down,30,512,786.16,47.34,706
left,45,512,795.88,51.38,708
up,25,512,787.36,45.24,710
right,31,512,798.32,51.06,712
right,29,512,793.04,45.04,714
up,32,512,793.88,45.4,716
down,30,512,796.92,46.02,718
up,34,512,803.08,47.7,720
up,29,512,796.92,43.02,722
right,29,512,800.72,43.4,724
left,31,512,805.24,47.44,726
up,36,512,804.16,44.26,728
right,201,512,803.84,42.34,730
up,27,512,817.92,50.84,732
up,34,512,806.2,41.84,734
right,33,512,809.52,42.22,738
left,22,512,817.16,44.28,740
left,32,512,822.84,47.12,744
down,25,512,821.6,44.12,746
down,21,512,825.76,44.14,748
down,21,512,826.28,44.54,750
left,28,512,825.84,43.64,752
left,25,512,825.76,42.18,754
up,33,512,831.6,44.88,756
up,34,512,830.44,42.74,758
left,29,512,823.96,39.4,760
up,37,512,831.68,41.82,762
up,35,512,825.12,36.36,764
down,25,512,829.36,37.4,766
up,28,512,823.64,33.86,768
down,24,512,828,35.42,770
right,35,512,833.72,37.58,772
right,36,512,830.24,33.68,774
up,22,512,832.84,35.38,776
left,30,512,822.4,26.88,778
up,24,512,827.84,29.9,780
left,23,512,829.28,29.18,782
up,33,512,830.48,27.42,784
right,22,512,832.84,28.46,786
down,17,512,834.08,28.76,788
right,20,512,835.76,27.48,790
up,25,512,834.24,26.04,792
right,30,512,844.4,31.14,794
left,17,512,846.96,30.02,796
right,26,512,850.8,31.64,798
right,28,512,858.76,33.42,800
down,27,512,866.84,35.88,802
left,22,512,878.64,44.12,804
left,23,512,873,39.1,806
up,24,512,883.12,43.42,808
left,39,512,894.96,48.78,810
up,56,512,906.76,53.42,812
right,36,512,906.84,53.3,814
right,23,512,906.24,51.64,818
left,32,512,913,55.22,820
down,30,512,908.84,49.26,822
up,25,512,915.08,52.7,824
left,32,512,913.64,51.22,826
left,31,512,918.68,51.64,830
down,27,512,914.04,46.38,832
left,31,512,915.4,47.16,834
up,31,512,924.16,50.58,836
left,36,512,920.52,47.6,838
down,32,512,923.6,49.9,840
up,23,512,916.28,42.48,842
down,45,512,921.84,44.96,844
up,28,512,924.68,46.34,846
up,26,512,925.96,46.7,850
left,26,512,920.72,39.62,852
up,25,512,935.44,47.66,854
down,27,512,931.28,43.56,856
left,33,512,931.92,44.06,858
up,22,512,928.72,39.8,860
right,30,512,945.2,48.88,862
left,36,512,939.56,44.24,864
down,28,512,940.6,44.62,868
left,30,512,947.96,46,870
right,32,512,944.16,41.54,872
left,31,512,954.08,47.2,874
down,21,512,948.6,41.48,876
down,30,512,956.92,47.1,878
down,26,512,952.48,42.32,880
right,24,512,953.64,42.5,882
left,22,512,948.56,37.68,884
up,28,512,953.32,39.44,886
left,34,512,954.4,38.94,888
down,37,512,954.48,38.76,890
down,27,512,951.12,35.38,892
left,22,512,960,40.48,894
right,29,512,959.48,37.3,896
up,27,512,962.76,39.56,898
down,26,512,958.52,35.62,902
left,26,512,962.76,35.26,904
up,34,512,965.64,37.3,906
down,30,512,966.12,34.6,908
left,47,512,967.88,34.04,910
up,33,512,979.4,39.46,912
down,27,512,966.44,30.48,914
right,23,512,979.24,37.14,916
up,35,512,988.4,41.04,918
right,25,512,988.88,39.5,920
left,40,512,989.68,42.24,922
right,22,512,989.28,38.92,924
right,29,512,995.2,40.74,926
down,39,512,996.28,38.5,928
left,20,512,1000.32,40.18,932
left,28,512,1002.96,40.1,934
down,38,512,1008.8,41.96,936
up,24,512,1001.28,37.78,938
left,28,512,1006.64,40.1,942
up,28,512,1003.6,34.62,944
right,22,512,1005.44,35.82,946
down,26,512,1004.76,33.64,948
right,30,512,1007.6,35.48,950
down,33,512,1014.24,37.26,954
down,28,512,1012.08,34.96,956
left,16,512,1018.92,36.98,958
up,25,512,1020.52,35.96,960
right,23,512,1020.2,36.24,962
up,33,512,1024.24,37.58,964
up,28,512,1026.16,36.42,966
left,25,512,1027.2,36.88,968
right,22,512,1022.6,32.4,970
down,41,512,1029.72,33.88,972
left,17,512,1030.92,33.56,974
right,29,512,1040.8,38.68,976
up,21,512,1035,34.08,978
left,26,512,1046,38.34,980
right,22,512,1051.56,41.3,982
up,18,512,1042.8,35.66,984
right,29,512,1044.12,33.16,986
