Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
right,46,4,280.92,149.36,6
down,50,4,269.28,140.8,8
down,64,4,294.08,155.36,10
left,55,4,279.48,143.68,12
down,46,8,262.8,135.56,14
down,46,8,275.88,142.1,16
up,44,8,279.36,140.36,18
up,42,8,269.32,134.82,22
left,49,8,284.68,141.66,24
up,60,8,271.48,131.96,26
right,55,8,276.16,134.96,28
right,56,8,280.24,138.1,30
down,49,8,282,138.6,32
down,53,8,282,135.46,34
right,52,8,282.16,133.74,38
left,51,8,280.48,129.76,40
down,51,16,270.28,124.72,42
right,35,16,278.8,128.38,44
right,40,16,278.12,126.58,46
up,45,16,269.12,120.44,50
up,53,16,277.6,123.68,52
left,42,16,268.28,117.86,54
down,36,16,287.2,126.9,56
left,52,16,272.68,119.38,58
up,57,16,277.04,119.3,60
right,57,16,282.44,121.52,62
left,47,32,279.2,118.18,64
down,50,32,283.68,119.66,68
down,57,32,293.28,125.58,70
right,24,32,258.28,103.26,72
down,43,32,263.2,103.9,74
up,43,32,269.72,107.14,76
up,53,32,283,116.22,78
down,39,32,261.72,101.1,80
up,35,32,280.2,107.62,82
down,46,32,273.8,105.78,84
down,42,32,281.08,108.6,86
left,30,32,279.32,107.22,88
left,47,32,268.96,99.92,90
right,41,32,293.28,111.7,92
down,29,32,271.2,98.52,94
left,46,32,273.64,97.4,96
down,34,32,262.2,91.78,98
down,49,64,286.92,104.98,100
right,50,64,283.16,99.82,102
left,45,64,290.36,103.12,104
right,27,64,276.76,95.06,106
up,34,64,286.84,98.16,110
right,29,64,286.8,97.7,112
right,46,64,278.48,91.9,114
down,60,64,289.44,97,118
up,38,64,293.04,96.02,120
right,44,64,292.8,94.78,122
up,37,64,300.6,97.44,124
left,36,64,285.76,89.52,126
down,33,64,281.64,86.36,128
up,38,64,287.4,87.74,132
right,42,64,294.64,89.86,134
left,32,64,291.36,87.28,136
right,38,64,289.32,84.5,138
up,44,64,289.64,84.56,140
right,31,64,304.6,90.42,144
left,33,64,304.88,90.46,146
down,32,64,295.36,82.9,148
down,36,64,299.2,83.9,150
down,46,64,292.12,79.22,154
right,17,64,278.04,69.36,158
left,37,64,297.72,78.46,162
right,33,64,301.8,78.14,164
left,30,64,304.8,78.38,166
up,29,64,311.8,80.58,168
left,44,64,303.88,76.52,170
up,48,64,324.12,86.14,172
left,34,64,337.64,91.3,174
up,32,128,338.76,90.92,176
up,33,128,324.12,81.24,178
right,32,128,325.56,82.7,180
left,36,128,325.52,80.02,182
right,29,128,319.64,73.78,184
up,30,128,336.72,83.88,186
right,29,128,328.16,80.44,188
left,38,128,328.44,78.94,192
right,19,128,312.96,68.02,194
down,20,128,316.36,69.4,196
left,34,128,322.28,69.64,198
down,35,128,326.72,71.94,200
left,36,128,336,76.62,202
down,32,128,333,73.06,204
right,27,128,329.44,69.06,206
down,37,128,332.8,71.56,208
left,37,128,344.44,77.26,210
up,28,128,334.6,68.94,212
right,47,128,339.8,72.7,214
down,26,128,338.32,69.9,216
up,29,128,344.6,71.82,218
left,27,128,340.6,69.76,220
down,29,128,343.48,68.26,224
left,29,128,360.36,75.4,226
down,28,128,352,70.66,228
right,37,128,345.72,66.52,230
up,35,128,341.8,60.2,232
left,34,128,347.8,66.08,234
down,35,128,349.72,66.26,236
right,37,128,366.48,73.46,240
down,37,128,359.32,66.28,244
left,33,128,352.36,61.62,246
left,34,128,355.48,62.08,248
right,33,128,353.84,60.82,250
down,40,128,364.68,65.28,252
up,34,128,370.4,67.22,254
left,38,128,354.68,57.04,258
up,25,128,353.96,55.44,260
up,33,128,361.92,57.16,264
down,22,128,372.68,62.68,266
right,16,128,352.04,50.02,268
up,17,128,359,52.28,270
left,25,128,365.32,55.02,272
right,33,128,372.24,56.04,274
right,35,128,378.4,58.96,276
up,26,128,386.32,62.9,278
left,34,128,396.08,64.92,280
up,34,128,416.16,74.14,284
right,36,128,419.8,76.16,286
down,39,128,432.24,80.28,288
down,41,128,435.4,81.14,290
down,34,128,431.88,77.8,294
right,49,128,445.28,84,296
down,50,128,438.16,78.42,300
left,36,128,435.28,74.56,302
left,34,128,429.56,71.42,304
up,31,128,424.72,67.84,306
down,26,128,436,72.88,308
right,30,128,453.44,81.2,310
up,42,256,453.36,80.08,312
up,53,256,455.68,79.66,314
up,42,256,447.16,70.76,318
right,208,256,445.4,70.38,320
left,44,256,452.32,72.1,322
down,33,256,443.56,68.08,324
down,40,256,449.16,70.44,326
up,42,256,444.48,65.92,328
up,25,256,448.88,67.32,330
down,34,256,453.88,69.92,334
up,144,256,439.64,59.12,336
down,117,256,440.56,60.08,338
right,555,256,451.8,62.18,340
left,40,256,452.68,63.22,342
right,37,256,454.96,63.82,344
up,36,256,456.2,63,346
up,50,256,472.2,69.56,348
left,28,256,460.76,63.44,350
left,42,256,467.08,65.28,352
down,40,256,471.56,69.26,354
down,29,256,462.28,61.3,358
right,30,256,460.36,56.5,360
up,26,256,459.4,55.54,362
left,23,256,467.92,60.26,364
up,34,256,477.88,62.78,366
down,41,256,464.04,55.02,368
up,25,256,468.8,55.76,370
left,30,256,463.84,51.38,372
right,27,256,475.24,57.96,374
up,39,256,467.24,52.46,376
left,32,256,482.6,59.34,378
up,31,256,469.88,51.02,380
down,30,256,475.52,54.94,382
down,32,256,476.52,53.18,384
left,20,256,483.96,57.98,388
up,25,256,480.48,53.4,390
left,30,256,490.2,56.8,392
down,25,256,484.64,53.1,394
right,24,256,491.08,56.32,396
down,32,256,485.08,50.12,398
right,21,256,497.64,54.92,402
down,39,256,509.4,61.86,404
left,31,256,505.16,58.62,406
down,40,256,514.96,60.14,410
left,24,256,510.16,56.5,414
left,26,256,503.28,52.16,416
up,19,256,513.2,54.02,418
left,32,256,513.76,53.1,420
right,34,256,525.08,58.68,422
up,28,256,527.24,60.68,424
down,35,256,527.04,57.1,426
down,33,256,535,60.98,428
right,36,256,525.04,53.54,430
left,26,256,520.6,50.76,432
up,32,256,528.32,52.92,436
down,31,256,532.04,55.36,438
left,34,256,527.6,50.56,440
down,31,256,524.64,48.88,442
up,37,256,547.12,59.44,444
left,53,256,528.64,48.8,448
up,30,256,533.08,48.56,452
left,24,256,534.36,45.98,454
up,25,256,540.52,50.52,456
right,16,256,548.92,53.64,458
down,28,256,541.08,48.04,460
right,24,256,542.4,47.98,462
up,21,256,533.2,40.98,464
left,33,256,538.08,43.6,468
down,27,256,554.4,50.08,470
left,37,256,556.48,49.1,474
up,32,256,541.92,38.12,476
left,32,256,557.8,45.92,478
up,32,256,557.44,46.36,480
down,31,256,555.48,41.28,482
left,32,256,565.04,47.74,484
up,30,256,558.68,42.96,486
down,41,256,566.68,45.3,488
left,23,256,561.56,42.86,490
right,38,256,566.16,43.44,492
up,26,256,569.68,42.68,494
left,34,256,568.92,43.42,498
up,24,256,576.44,45.7,502
left,21,256,571,39.44,504
down,33,256,579.68,42.86,508
up,24,256,577.96,40.14,510
left,23,256,570.88,36.14,512
right,24,256,576.32,34.92,514
right,32,256,586.2,42.22,516
left,24,256,583.28,37.46,518
down,28,256,588.44,41.14,520
left,29,256,592,41,522
down,31,256,597.6,43.6,524
right,35,256,611.72,49.86,526
left,37,256,605.48,45.5,528
up,21,256,598.4,39.72,530
down,26,256,609.24,45.08,532
up,19,256,603.2,41,534
down,16,256,603.96,40.52,536
left,33,256,610.72,42.52,538
right,34,256,624.8,50.72,540
left,30,256,636.04,54.06,542
up,33,256,680,77.06,544
left,39,256,674.04,70.88,546
up,31,256,698.6,83.66,548
right,39,256,693.28,80.44,550
up,39,256,695.4,81.14,554
left,38,256,697.52,78.94,556
left,45,256,700.84,79.3,558
down,43,512,704.24,81.86,562
up,44,512,714.08,85.12,564
right,47,512,697.4,76.4,568
up,33,512,713.32,80.86,570
right,31,512,709.52,79.7,572
down,27,512,716.44,79.2,574
down,49,512,707.32,76.54,576
up,38,512,706.16,70.14,578
right,31,512,709.92,75.62,580
left,21,512,709.76,73.04,582
left,35,512,705.52,67.9,584
left,37,512,705.44,67.7,586
down,37,512,722.32,76.96,588
down,42,512,719.64,73.86,590
right,42,512,717.68,70.42,592
up,34,512,716.88,70.68,594
down,22,512,701.6,60.64,596
left,36,512,710.8,64.32,598
up,20,512,728.16,73.42,600
left,30,512,719.4,66.52,602
right,37,512,724.6,68.92,604
right,34,512,723,68.1,608
up,37,512,723.52,64.28,610
down,34,512,725.24,64.9,612
up,35,512,723.92,61.76,614
right,36,512,725.2,62.94,616
down,28,512,726.76,61.74,618
down,37,512,722.56,58.9,620
up,22,512,718.36,56.18,622
right,40,512,732.28,62.8,624
up,27,512,716.28,51.84,626
down,30,512,722.64,56.06,628
right,24,512,715.92,49.04,632
right,40,512,720.84,50.84,634
left,24,512,724.64,51.48,636
left,27,512,729.12,52.26,638
down,33,512,738.64,57.72,640
right,65,512,736.84,53.76,642
right,77,512,740.88,56.52,644
left,31,512,741.96,55.88,646
down,35,512,750.48,60.44,648
down,29,512,749.8,58.4,650
right,29,512,754.8,59.28,652
left,37,512,741.28,51.88,654
up,43,512,764.12,60.68,658
down,32,512,755.36,56.14,660
right,33,512,761,59.22,662
down,34,512,765.16,57.44,664
left,32,512,772.92,59.98,666
down,33,512,769.92,57.84,670
right,23,512,776.2,59.04,672
right,32,512,789.4,65.28,674
down,41,512,781.72,60.9,676
left,43,512,776.72,56.02,680
down,34,512,782.64,57.8,682
right,28,512,786.16,58.08,684
right,38,512,787.56,58.04,686
down,36,512,782.6,55.26,688
up,33,512,782.52,52.6,690
up,38,512,781.68,49.94,694
down,39,512,789.64,52.64,696
right,27,512,778.8,46.64,698
up,33,512,780.12,46.92,700
right,31,512,787.16,49.58,704
up,51,512,794.8,50.6,706
left,50,512,794.44,50.1,708
down,35,512,792.44,47.44,712
down,270,512,810.76,57.18,714
right,27,512,806.48,52.02,716
down,30,512,812.44,54.24,718
right,42,512,815.04,55.06,720
down,40,512,813.32,53.5,722
up,34,512,810.72,50.78,724
right,31,512,826.08,58.58,726
down,26,512,815.36,50.64,728
up,19,512,809.04,45.24,730
down,22,512,818.88,49.9,732
right,37,512,814.6,45.6,734
left,35,512,813.64,46.34,736
down,33,512,819.12,48.2,738
right,52,512,810.88,42.7,740
up,32,512,807.6,37.7,742
left,21,512,805.8,38.36,744
left,28,512,812.76,39.54,746
right,29,512,814.68,39.78,748
up,25,512,810.28,34.92,750
left,24,512,825.8,44.68,752
up,28,512,827.88,41.98,754
left,28,512,829.4,43.72,756
down,48,512,831.36,42.46,760
right,40,512,837.36,44.56,762
down,44,512,834.24,38.92,764
up,22,512,834.96,40.72,768
right,44,512,831.28,36.16,770
down,50,512,831.64,36.92,772
down,42,512,836.08,36.64,774
down,45,512,840,38.38,776
left,29,512,842.24,38.36,778
left,61,512,843.96,37,780
down,31,512,837.84,34.18,782
left,33,512,841.36,35.26,784
right,29,512,840.8,32.44,786
up,25,512,842.4,32.04,788
up,26,512,853.68,37.32,792
right,17,512,871.4,45,794
left,23,512,869.72,43.44,796
right,25,512,870.44,42.96,798
left,23,512,886.04,50.14,800
down,20,512,883.36,49.02,802
right,20,512,897.04,53.94,806
down,28,512,898.72,53.54,808
left,20,512,904.76,54.9,810
right,28,512,912.64,57.1,814
down,22,512,904.36,52.28,816
left,30,512,906.92,51.8,818
down,26,512,904.44,49.9,820
left,30,512,910.36,51.7,822
up,33,512,902.36,46.06,824
right,40,512,918.4,53.58,826
right,32,512,916.96,51.68,828
left,29,512,912.16,46.9,830
down,22,512,922.04,52.98,832
up,47,512,922.36,51.38,834
left,23,512,924.56,51.72,836
down,31,512,921.64,47.06,838
down,35,512,928.84,50.7,840
up,18,512,924.84,46.12,842
left,19,512,930.56,50.34,846
right,52,512,925.96,43.86,848
up,25,512,934.12,47.7,850
left,38,512,944.6,52.82,852
down,38,512,945.6,51.42,854
right,21,512,938.32,47.38,858
up,26,512,944,48.9,860
up,30,512,938.48,44.26,864
right,26,512,946.16,45.86,866
right,48,512,944.16,43.68,868
up,31,512,946.52,43.26,870
right,29,512,950.16,45.5,872
left,28,512,952.4,46.84,874
down,34,512,958.52,47.66,878
left,35,512,948.04,40.58,880
right,32,512,949,39.88,882
up,27,512,946.76,38.32,886
left,20,512,946.4,34.64,890
up,25,512,953.64,36.24,892
up,20,512,961.04,39.42,894
left,24,512,953.84,33.14,896
down,30,512,957.28,35.04,898
right,27,512,961.08,36.86,902
down,27,512,965.48,37.7,904
up,14,512,955.48,31.04,906
left,21,512,965.36,34.74,908
down,16,512,953.64,25.9,910
right,24,512,964.52,31.08,912
down,22,512,960.84,28.3,914
left,31,512,970.6,34.72,916
right,14,512,974.32,34.68,918
left,15,512,962.04,25.6,920
up,14,512,961.4,23.9,922
up,18,512,969.52,28.32,924
right,20,512,977,30.48,926
down,17,512,994.4,39.1,928
up,18,512,1008.12,47.08,930
right,20,512,997.2,37.9,932
right,26,512,1003.48,40.54,934
up,17,512,1003.32,39.36,936
up,23,512,1005.32,39.98,938
right,21,512,1008.08,40.58,940
right,25,512,1006.28,38.94,944
left,23,512,1001.56,34.02,946
up,29,512,1008.76,35.32,948
down,20,512,1008.28,33.58,950
right,33,512,1012.04,33.9,952
down,18,512,1010.36,32.68,954
left,33,512,1019.24,37.88,956
right,24,512,1015.88,33.54,958
right,26,512,1015.24,34.34,960
left,26,512,1013.84,32.74,962
up,26,512,1023.6,36.14,964
right,20,512,1018.28,30.58,966
down,28,512,1020.8,30.76,968
right,25,512,1028,35.34,970
left,24,512,1022.04,30.36,972
left,26,512,1026.68,30.84,974
right,24,512,1023.24,29.14,976
down,32,512,1030.2,32.54,978
right,14,512,1026.32,28.18,980
right,21,512,1030.6,29.7,982
up,24,512,1031.76,28.8,984
left,22,512,1038,30.5,986
down,32,512,1044.88,33.54,988
right,35,512,1049.6,34.9,990
right,34,512,1048.84,33.4,992
left,32,512,1052,35.24,994
up,23,512,1048.88,32.36,996
left,29,512,1053.04,33.04,998
down,32,512,1052.4,32.52,1000
down,24,512,1050.88,29.72,1002
right,11,512,1040.8,21.74,1004
left,18,512,1046.32,25.42,1006
up,36,512,1055,29.22,1008
down,24,512,1053.12,25.92,1010
right,24,512,1051.96,23.48,1012
up,27,512,1059.44,27.02,1016
left,29,512,1059.24,25.54,1018
right,31,512,1060.84,24.44,1020
left,20,512,1054.84,19.94,1022
down,20,512,1059.92,22.24,1024
down,30,512,1062.4,22.86,1026
left,34,512,1066.88,23.72,1028
up,55,512,1065.44,21.94,1030
up,23,512,1068.72,22.2,1032
left,24,512,1071.64,22.86,1036
up,20,512,1084.24,27.46,1038
right,20,512,1087.72,29,1040
left,24,512,1089.4,29.72,1044
down,20,512,1084.2,23.24,1046
down,25,512,1091.96,26.94,1048
up,21,512,1089.56,24.06,1050
right,25,512,1095.56,26.74,1052
right,24,512,1092.64,24.08,1054
down,19,512,1106.48,31.6,1056
down,22,512,1099.52,24.88,1058
up,15,512,1089.6,17.94,1060
right,21,512,1095.84,20.5,1062
down,21,512,1112.68,28.5,1064
left,46,512,1139.92,43.26,1066
up,28,512,1140.76,41.32,1068
down,30,512,1146.76,43.46,1070
right,35,512,1152.4,45.92,1072
left,28,512,1160.48,49.52,1074
down,24,512,1165.28,51,1076
left,38,512,1166.6,50.54,1078
right,32,512,1183.92,60.56,1080
up,29,512,1194.04,63.44,1082
left,24,512,1213.84,74.06,1084
down,26,512,1216.44,73.68,1088
left,34,1024,1218.68,72.82,1090
down,37,1024,1228.72,77.86,1092
left,35,1024,1222.28,72.2,1094
right,239,1024,1219.4,71,1096
up,42,1024,1223.12,71.18,1098
left,38,1024,1221.44,69.42,1100
left,35,1024,1220.08,67.7,1102
right,27,1024,1225,70.12,1104
up,30,1024,1231.96,70.8,1106
left,38,1024,1231.32,70.3,1108
up,37,1024,1250.76,79.1,1112
up,38,1024,1242.12,73.82,1114
up,41,1024,1235.72,70.54,1116
down,42,1024,1244.16,71.16,1118
down,41,1024,1236.92,66.3,1120
left,26,1024,1236.64,65.08,1122
down,39,1024,1245.8,70.18,1124
down,34,1024,1247.24,67.7,1126
right,36,1024,1239.92,63.66,1130
up,37,1024,1237.84,59.54,1132
down,31,1024,1241.28,61.54,1134
left,28,1024,1249.56,66.18,1136
left,38,1024,1245.32,62.44,1138
left,35,1024,1247.12,59.94,1140
down,29,1024,1247.04,61.32,1142
right,35,1024,1242.76,56.96,1144
left,27,1024,1260,65.3,1146
up,34,1024,1268.88,69.62,1148
down,27,1024,1248.48,56.12,1150
down,37,1024,1247.44,53.82,1152
left,34,1024,1255.56,57.66,1154
up,27,1024,1249.16,53.12,1158
down,32,1024,1251.16,53.3,1160
up,31,1024,1244.28,47.46,1164
down,29,1024,1264.8,57.8,1166
up,26,1024,1258.04,52.02,1168
right,25,1024,1261.2,52.02,1170
down,20,1024,1264.48,52.66,1172
down,35,1024,1278.16,61.48,1174
left,26,1024,1274.4,57.36,1176
right,29,1024,1279.4,58.92,1180
