Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
left,35,4,264.56,139.94,8
right,48,4,266.96,137.96,10
up,55,4,273.16,140.58,12
left,95,8,285.2,148.32,14
right,72,8,281.56,144.26,16
left,67,8,264.2,134.38,18
down,56,8,266.96,136.1,20
down,73,8,278.8,140.64,24
right,76,16,287.8,140.88,26
right,53,16,295.44,144.8,28
down,63,16,275.16,132.6,30
right,71,16,262.28,124.12,32
left,64,16,279.68,132.94,34
left,76,16,286.52,138.62,36
right,44,16,266.72,124.62,38
left,47,16,273.12,128.2,40
up,55,16,266.56,123.04,42
down,56,16,277.84,128.92,44
right,42,16,272.12,124.58,46
right,50,16,275.4,124.28,48
right,56,16,296.12,134.2,50
down,47,16,291.4,131.44,52
down,56,16,276.52,121.86,54
up,774,16,289.72,129.34,56
up,68,16,284.64,124.26,58
down,50,16,278.76,119.64,60
down,59,16,267.08,114.02,62
up,58,16,266.68,112.5,64
left,45,16,286.32,120.34,66
down,61,16,263.12,107.58,68
up,55,16,268.48,110,70
down,62,16,270.44,108.28,72
right,53,16,280.2,115.04,74
left,54,16,273.36,109.3,76
down,35,16,266.2,104.84,78
down,54,16,277.88,110.88,80
up,47,16,277.44,108.6,82
left,44,16,276.8,105.86,84
up,57,16,280.76,108.88,86
up,72,16,277.2,105.64,90
right,46,32,284.68,105.58,92
down,40,32,300.12,113.3,94
up,38,32,282.48,102.94,96
down,46,32,272.8,97.2,98
left,57,64,289.36,104.74,100
right,68,64,283.16,99.68,104
left,49,64,299.84,106.96,106
up,34,64,276.48,93.56,108
right,31,64,281.44,95.94,110
right,33,64,270.96,89.3,114
down,44,64,290.68,96.42,116
down,39,64,290.92,95.84,120
right,29,64,277.6,87.18,122
left,34,64,288.52,91.08,124
down,51,64,283.2,86.58,126
up,49,64,302.88,99.18,128
right,42,64,290.2,90.8,130
down,45,64,294.84,89.18,132
right,49,64,304.52,95.76,134
left,35,64,280.92,78.68,136
left,44,64,301.52,93.46,138
right,44,64,306.12,94,140
left,44,64,305.08,91.26,142
down,42,64,290.16,82.16,144
right,46,64,311.08,94.38,146
left,44,64,298,83.78,148
right,41,64,288.76,77.4,150
down,34,64,308.52,89.24,154
right,30,64,285.96,74.1,158
left,35,64,296,76.44,160
down,26,64,276.2,64.84,162
down,38,64,302.24,77.36,164
left,42,64,304.72,77.48,166
down,55,64,324.64,87,168
right,57,64,316,81.6,170
left,38,64,334,91.1,172
down,44,64,321.88,83.9,174
up,42,64,320.08,81.48,176
down,47,64,305.16,71.42,180
left,41,64,301.12,67.06,182
right,27,64,302,65.54,184
up,37,64,307.92,68.62,186
left,32,64,328.6,79.9,188
down,44,64,333.32,80.18,190
up,41,64,334.68,81.08,192
down,36,64,329.2,76.46,194
left,36,128,314.4,67.22,198
down,47,128,322.76,71.3,200
left,38,128,324.8,70.9,202
up,35,128,323.52,68.8,204
down,34,128,324.36,66.8,206
right,27,128,338.16,73.8,208
down,37,128,323.08,64.34,210
left,27,128,340,70.94,212
down,41,128,352.24,77.82,214
up,23,128,341.76,72,216
right,39,128,332.36,65.54,218
up,30,128,323.88,57.62,220
down,28,128,333,62.86,222
right,27,128,344.44,66.04,224
right,41,128,345.84,69.54,226
down,31,128,338.64,63.16,228
up,35,128,336.32,59.64,230
right,34,128,339.76,60.68,232
right,38,128,339.28,60.92,234
right,41,128,349.48,64.12,236
left,31,128,333.92,55.92,238
right,34,128,343.68,60.14,242
down,27,128,343.36,56.28,244
left,52,128,346,57.74,246
up,27,128,347.88,57.04,248
right,27,128,358.8,61.86,250
down,32,128,372.44,69.1,254
left,41,128,358.16,58.16,256
down,32,128,356.24,56.78,258
up,27,128,348.84,52.16,260
left,24,128,359.96,56.66,264
down,27,128,376.28,63.42,266
down,28,128,377.6,62.74,268
down,37,128,390.72,67.54,270
up,32,128,388.36,67.48,272
down,26,128,355.2,47.42,274
up,28,128,384.48,61.76,278
left,22,128,357.12,44.96,280
right,21,128,348.92,39.2,282
up,27,128,357.76,43.04,284
up,30,128,370.52,48.46,286
right,32,128,385.24,56.62,288
up,29,128,409.8,68.24,290
right,49,128,418.08,72.14,292
down,54,128,415.6,69.2,296
right,52,128,426.68,71.2,298
up,31,128,439.08,78.12,300
right,33,256,444.32,81.06,302
left,199,256,449.84,81.42,304
down,47,256,451.8,82.84,306
up,39,256,438.76,72.86,308
left,39,256,438.4,72.3,310
left,27,256,441.72,71.58,312
left,39,256,441.08,71.56,314
right,46,256,460.8,80.7,316
right,39,256,447.4,72.42,318
down,31,256,453.96,75.64,320
down,40,256,450.76,72.12,324
left,38,256,457.48,75.02,326
right,32,256,456.72,73.54,328
left,33,256,442.44,62.64,330
left,38,256,458.96,73.68,332
up,30,256,447.8,64.56,334
right,31,256,452.24,66.66,336
up,30,256,461.24,70.72,338
down,43,256,458.6,68.76,340
left,34,256,452.04,61.5,342
down,33,256,467.72,69.48,344
left,33,256,478.16,73.28,346
right,40,256,473.4,71.72,348
up,41,256,473.48,69.88,350
left,43,256,475.24,68.96,352
right,42,256,469.96,64.24,354
down,36,256,467.88,63.46,356
right,35,256,468.28,62.94,358
down,38,256,479.68,67.96,362
left,32,256,462.08,58.54,364
down,37,256,472.36,60.94,366
left,39,256,472.08,58.84,368
left,42,256,488.6,66.16,370
left,34,256,476.08,59.36,374
left,55,256,479,58.88,376
right,39,256,490.24,64.64,378
up,24,256,466.6,49.02,380
left,27,256,488.2,59.88,382
down,37,256,485.48,59.12,384
up,35,256,481.16,53.96,386
right,27,256,487.36,56.62,388
left,31,256,481.64,52.2,390
up,32,256,493.28,57.68,392
left,26,256,477.68,47.6,394
left,32,256,489.84,54.5,396
up,32,256,490.64,54.14,398
left,27,256,489.8,51.22,400
right,38,256,477.84,44.62,402
down,31,256,492.68,52.74,404
up,32,256,494.8,51.7,406
down,34,256,502.84,55.92,408
down,42,256,501.56,52.94,410
left,25,256,494.96,47.44,412
down,26,256,506,52.46,414
up,28,256,508.64,54.52,416
up,29,256,515.48,55.94,418
down,33,256,518.84,58.04,420
left,33,256,518.44,55.08,422
up,29,256,523.56,58,424
right,28,256,523.12,56.22,426
up,37,256,523.04,55.14,428
down,24,256,534.32,60.04,430
up,15,256,527.04,55.6,432
right,27,256,523.92,51.28,434
right,48,256,524.2,50.28,436
left,20,256,526.16,51.24,438
down,29,256,536.92,56.06,440
down,28,256,531.68,50.6,442
left,30,256,537.56,53.02,444
right,28,256,539.52,53.14,446
left,22,256,526.48,46.56,450
left,27,256,538.08,50.38,452
right,22,256,539.72,50.12,454
up,28,256,541.84,49.44,456
left,28,256,535.2,44.92,458
left,17,256,535.2,43.58,460
left,35,256,540.4,46.68,462
down,23,256,540,46.12,464
right,33,256,542.92,44.86,466
down,34,256,552.84,48.64,468
right,32,256,550.64,45.84,470
right,22,256,555.12,46.88,472
down,40,256,556.96,47.12,474
left,42,256,556.32,46.78,476
right,35,256,557.32,46.64,478
left,31,256,555.68,43.98,480
down,32,256,561.68,46.98,484
up,30,256,573.32,50.74,488
up,31,256,561.08,42.24,490
right,27,256,568.84,45.78,492
up,27,256,561.92,39.76,494
left,20,256,559.24,37.2,496
right,40,256,575.48,48.66,498
up,23,256,575.6,45.4,500
right,23,256,560.64,34.86,502
down,23,256,572.76,42.08,504
right,22,256,566.96,37.16,506
right,22,256,561.88,31.8,508
down,23,256,567.6,35.26,510
up,14,256,562.36,32.38,512
left,24,256,564.84,30.22,514
down,38,256,575.96,35.18,516
down,33,256,578.04,36.58,518
left,29,256,574.6,33.76,520
down,29,256,576.24,32.36,522
right,24,256,581.64,35.02,524
left,33,256,587.84,37.04,526
down,20,256,583,32.9,528
right,27,256,586.24,33.32,530
up,33,256,578.08,27.4,532
left,22,256,589.32,34.02,534
left,31,256,601.84,38.38,536
right,30,256,608.4,43.2,538
left,32,256,612.8,44.14,540
down,32,256,622.52,47.58,542
up,42,256,625.88,47.04,546
left,26,256,632.28,48.62,548
left,28,256,638.68,52.42,550
right,28,256,661.8,62.24,552
up,37,256,682.84,73.74,554
right,37,256,677.16,67.78,556
down,32,256,694.08,76.7,558
left,28,256,686.2,71.24,560
down,40,256,703.28,79.1,562
right,41,256,702.64,78.72,564
right,36,256,705.6,77.18,566
left,33,256,705.52,76.48,568
down,40,512,692.32,68.14,570
down,33,512,696.12,69.7,572
left,55,512,699.72,70.58,574
down,55,512,692.88,65.18,576
down,48,512,713.8,77.72,578
right,37,512,701.92,69.2,580
left,33,512,700.24,67.18,582
up,33,512,702.08,67.42,586
left,28,512,704.52,65.72,588
down,31,512,708.52,67.04,590
right,30,512,701.52,62.28,592
up,40,512,709.32,66.32,594
up,41,512,703.8,61.56,596
up,37,512,699.4,56.82,598
right,42,512,694.76,54.44,600
left,34,512,700.44,57.02,602
down,38,512,713.4,64.54,606
right,34,512,710.4,57.98,608
right,34,512,714.64,58.88,610
right,36,512,717.56,60.74,612
left,41,512,716.48,60.02,616
right,29,512,718,59.9,618
right,34,512,719.12,58.02,620
right,37,512,721.92,58.06,622
down,32,512,722.44,55.62,624
up,33,512,722.64,58,626
right,25,512,721.4,54.08,628
left,33,512,725.88,55.26,630
down,35,512,725.64,54.12,632
