Best Move,MS To Calculate Best Move,Best Tile in Board,Average Score of Simulations,Average Move Count of Simulations,Current Game Score
up,57,4,288.84,153.3,8
up,61,4,273.52,141,10
right,55,4,278.56,144.48,12
left,49,8,277.56,140.06,16
up,58,8,269.52,136.76,18
right,43,8,287.16,145.36,20
right,35,8,261.48,130.5,22
down,58,8,272.44,138.14,26
right,40,8,270.36,133.38,28
up,47,8,289.88,140.84,30
right,50,8,274.64,130.72,32
left,52,8,289.28,139.2,34
down,48,8,269.76,127.5,36
down,69,8,279.68,132.48,38
left,50,16,274.76,127.06,40
left,61,16,285.48,131.38,44
up,43,16,267.2,121.34,46
down,47,16,282.4,128.26,48
right,36,16,289.8,132.32,50
right,66,16,293.24,133.84,52
left,139,16,275.72,121.2,54
up,144,16,279.44,123.22,58
right,143,16,284.96,124.48,60
left,37,16,272.32,114.46,62
left,68,16,283.96,120.76,64
down,35,32,277.84,118.22,66
left,51,32,285.36,119.06,68
up,67,32,268.88,110.66,70
left,48,32,269.6,108.38,74
up,53,32,279.04,112.78,76
right,54,32,275.48,111.16,78
right,59,32,280.24,110.96,80
left,55,32,254.48,96.36,82
right,58,32,262.8,99.82,84
left,54,32,274.32,103.78,88
right,53,32,295.36,115.2,90
up,37,32,277.36,104.08,92
down,42,32,286.64,106.72,94
right,53,32,286.12,105.04,96
right,56,32,285.88,105.46,98
right,53,32,282.4,103.66,100
down,51,32,283.04,102.3,102
up,44,32,271.52,94.12,104
down,42,32,286.6,102.48,106
up,24,32,275.12,93.92,108
right,44,32,303.36,106.9,110
left,49,32,268,88.18,112
up,43,32,275.88,90.78,114
right,52,32,298.16,100.7,116
left,35,32,276.48,89.02,118
left,43,32,266,82.92,120
down,61,32,269.16,82.78,122
left,47,32,250.92,73.34,124
up,34,32,271.96,83.5,126
left,50,32,273.24,81.6,130
up,44,32,280.84,83.56,134
left,51,32,304,93.06,136
down,41,64,298.76,89.84,138
down,38,64,311.16,94.88,140
right,52,64,317.72,99.68,142
down,43,64,304.48,89.66,144
left,47,64,313.08,92.16,146
down,50,64,321.32,96.64,148
down,38,128,323.12,94.18,150
down,53,128,322.56,94.56,152
left,41,128,326.4,96.28,154
left,51,128,322.84,91.86,156
down,45,128,337.36,99.92,158
left,47,128,318.64,88.14,160
right,46,128,326.44,90.74,162
down,83,128,325.8,90.36,164
down,55,128,331.6,90.88,166
up,229,128,324.16,88.58,168
right,49,128,340.96,95.1,170
right,39,128,330.16,87.74,172
right,41,128,333.44,89.1,174
down,32,128,312.08,76.04,176
left,48,128,331.6,87.28,178
up,37,128,332.44,84.36,180
down,37,128,329,82.76,182
up,42,128,327.32,79.32,184
right,26,128,317.4,75.64,186
up,27,128,327.96,80.14,188
down,34,128,321,73.34,190
up,32,128,334.76,80.26,192
left,29,128,323.16,74.62,196
up,30,128,317.72,66.32,198
right,26,128,331.04,75.02,200
down,35,128,333.52,73.8,202
up,32,128,331.4,74.22,204
up,39,128,327.24,67.48,206
left,41,128,329.92,69.6,208
right,39,128,339.24,73.8,210
down,36,128,329.08,66.52,212
up,50,128,345.96,74.48,214
up,49,128,332.4,65.58,216
right,36,128,347.52,74.52,218
down,39,128,343.04,69.94,220
right,32,128,341.48,67.4,222
down,39,128,354.76,74.4,224
down,40,128,345.2,67.9,226
down,36,128,356.32,72.6,228
left,36,128,347.36,65.02,230
down,45,128,355.16,70.12,232
left,28,128,347.04,63.76,234
up,47,128,353.96,67.1,236
down,27,128,349.4,63.2,238
left,35,128,358.4,67.82,240
